wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;776;149;170;69;t00
dolnoœl¹skie;boles³awiecki;6644;377;2267;222;t0201
dolnoœl¹skie;dzier¿oniowski;5151;318;1788;226;t0202
dolnoœl¹skie;g³ogowski;4258;425;1335;141;t0203
dolnoœl¹skie;górowski;1073;111;201;58;t0204
dolnoœl¹skie;jaworski;2768;222;910;175;t0205
dolnoœl¹skie;jeleniogórski;3409;306;783;78;t0206
dolnoœl¹skie;kamiennogórski;2566;308;917;200;t0207
dolnoœl¹skie;k³odzki;14059;929;4859;538;t0208
dolnoœl¹skie;legnicki;1022;156;211;145;t0209
dolnoœl¹skie;lubañski;2311;123;794;42;t0210
dolnoœl¹skie;lubiñski;9690;613;3315;429;t0211
dolnoœl¹skie;lwówecki;2541;172;812;58;t0212
dolnoœl¹skie;milicki;2701;226;924;174;t0213
dolnoœl¹skie;oleœnicki;4220;471;1528;247;t0214
dolnoœl¹skie;o³awski;4539;301;1468;239;t0215
dolnoœl¹skie;polkowicki;851;167;147;53;t0216
dolnoœl¹skie;strzeliñski;2218;241;363;136;t0217
dolnoœl¹skie;œredzki;1404;149;397;73;t0218
dolnoœl¹skie;œwidnicki;8163;541;2589;235;t0219
dolnoœl¹skie;trzebnicki;5415;397;1918;340;t0220
dolnoœl¹skie;wa³brzyski;2926;135;953;88;t0221
dolnoœl¹skie;wo³owski;2752;258;926;150;t0222
dolnoœl¹skie;wroc³awski;4294;524;899;321;t0223
dolnoœl¹skie;z¹bkowicki;4511;340;1604;158;t0224
dolnoœl¹skie;zgorzelecki;6478;375;2318;126;t0225
dolnoœl¹skie;z³otoryjski;1748;141;497;30;t0226
dolnoœl¹skie;Jelenia Góra;6755;443;2608;246;t0261
dolnoœl¹skie;Legnica;7023;273;2809;102;t0262
dolnoœl¹skie;Wroc³aw;83630;3960;31690;1994;t0264
dolnoœl¹skie;Wa³brzych;16723;575;4402;387;t0265
kujawsko-pomorskie;aleksandrowski;7224;816;2193;402;t0401
kujawsko-pomorskie;brodnicki;3840;384;1127;136;t0402
kujawsko-pomorskie;bydgoski;2795;362;660;186;t0403
kujawsko-pomorskie;che³miñski;2530;142;748;89;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1764;96;544;39;t0405
kujawsko-pomorskie;grudzi¹dzki;928;114;217;79;t0406
kujawsko-pomorskie;inowroc³awski;8116;483;2652;224;t0407
kujawsko-pomorskie;lipnowski;3428;314;1029;97;t0408
kujawsko-pomorskie;mogileñski;1720;166;555;81;t0409
kujawsko-pomorskie;nakielski;2330;290;768;152;t0410
kujawsko-pomorskie;radziejowski;2573;222;855;95;t0411
kujawsko-pomorskie;rypiñski;1804;119;522;29;t0412
kujawsko-pomorskie;sêpoleñski;3532;281;1123;162;t0413
kujawsko-pomorskie;œwiecki;4701;422;1544;261;t0414
kujawsko-pomorskie;toruñski;2819;194;780;87;t0415
kujawsko-pomorskie;tucholski;1956;214;509;117;t0416
kujawsko-pomorskie;w¹brzeski;1782;171;363;71;t0417
kujawsko-pomorskie;w³oc³awski;2928;357;801;165;t0418
kujawsko-pomorskie;¿niñski;3240;213;1042;93;t0419
kujawsko-pomorskie;Bydgoszcz;37662;1766;14676;1068;t0461
kujawsko-pomorskie;Grudzi¹dz;6664;448;2639;332;t0462
kujawsko-pomorskie;Toruñ;15384;746;5708;426;t0463
kujawsko-pomorskie;W³oc³awek;6504;481;2677;335;t0464
lubelskie;bialski;4189;558;925;227;t0601
lubelskie;bi³gorajski;4235;422;1215;265;t0602
lubelskie;che³mski;1846;311;339;203;t0603
lubelskie;hrubieszowski;3228;259;850;125;t0604
lubelskie;janowski;3452;217;1169;107;t0605
lubelskie;krasnostawski;3946;255;1269;114;t0606
lubelskie;kraœnicki;4616;374;1472;259;t0607
lubelskie;lubartowski;4237;234;1546;133;t0608
lubelskie;lubelski;5914;655;1622;359;t0609
lubelskie;³êczyñski;3723;304;1084;154;t0610
lubelskie;³ukowski;4592;399;1343;245;t0611
lubelskie;opolski;2716;225;817;150;t0612
lubelskie;parczewski;2579;171;764;81;t0613
lubelskie;pu³awski;9360;596;3279;355;t0614
lubelskie;radzyñski;3285;250;950;172;t0615
lubelskie;rycki;3221;338;845;166;t0616
lubelskie;œwidnicki;3546;368;1192;211;t0617
lubelskie;tomaszowski;4461;267;1423;111;t0618
lubelskie;w³odawski;2910;307;918;131;t0619
lubelskie;zamojski;3818;395;905;202;t0620
lubelskie;Bia³a Podlaska;6782;344;2839;159;t0661
lubelskie;Che³m;4850;290;1759;129;t0662
lubelskie;Lublin;49542;2434;17506;1485;t0663
lubelskie;Zamoœæ;6575;415;2228;233;t0664
lubuskie;gorzowski;2508;291;525;135;t0801
lubuskie;kroœnieñski;3031;267;915;182;t0802
lubuskie;miêdzyrzecki;4897;277;1773;127;t0803
lubuskie;nowosolski;5192;171;1782;88;t0804
lubuskie;s³ubicki;2176;146;603;78;t0805
lubuskie;strzelecko-drezdenecki;2787;200;843;106;t0806
lubuskie;sulêciñski;2101;112;738;77;t0807
lubuskie;œwiebodziñski;4166;149;1452;99;t0808
lubuskie;zielonogórski;4094;326;1275;178;t0809
lubuskie;¿agañski;2837;333;810;120;t0810
lubuskie;¿arski;6862;322;2490;172;t0811
lubuskie;wschowski;1556;93;509;50;t0812
lubuskie;Gorzów Wielkopolski;9446;430;3408;157;t0861
lubuskie;Zielona Góra;11886;581;3626;432;t0862
³ódzkie;be³chatowski;5356;320;1822;186;t1001
³ódzkie;kutnowski;5557;268;1985;135;t1002
³ódzkie;³aski;1755;155;545;100;t1003
³ódzkie;³êczycki;3900;256;1338;156;t1004
³ódzkie;³owicki;8180;594;2612;297;t1005
³ódzkie;³ódzki wschodni;2063;188;438;115;t1006
³ódzkie;opoczyñski;3410;196;1063;91;t1007
³ódzkie;pabianicki;6311;449;2074;211;t1008
³ódzkie;pajêczañski;1784;158;554;68;t1009
³ódzkie;piotrkowski;2128;350;495;181;t1010
³ódzkie;poddêbicki;2073;149;711;53;t1011
³ódzkie;radomszczañski;6640;419;2485;242;t1012
³ódzkie;rawski;2040;158;704;73;t1013
³ódzkie;sieradzki;5886;372;2079;154;t1014
³ódzkie;skierniewicki;883;243;140;122;t1015
³ódzkie;tomaszowski;5706;356;1761;132;t1016
³ódzkie;wieluñski;4105;445;1247;216;t1017
³ódzkie;wieruszowski;2272;221;764;121;t1018
³ódzkie;zduñskowolski;3229;191;1058;129;t1019
³ódzkie;zgierski;9312;624;3494;297;t1020
³ódzkie;brzeziñski;2972;306;804;196;t1021
³ódzkie;£ódŸ;81595;3952;31142;2168;t1061
³ódzkie;Piotrków Trybunalski;5884;340;2045;98;t1062
³ódzkie;Skierniewice;4832;354;1732;202;t1063
ma³opolskie;bocheñski;3527;278;1106;164;t1201
ma³opolskie;brzeski;4523;349;1344;196;t1202
ma³opolskie;chrzanowski;6784;607;1937;356;t1203
ma³opolskie;d¹browski;3341;250;1109;99;t1204
ma³opolskie;gorlicki;6673;485;2137;292;t1205
ma³opolskie;krakowski;7208;830;1740;442;t1206
ma³opolskie;limanowski;5713;524;1835;292;t1207
ma³opolskie;miechowski;4832;388;1403;114;t1208
ma³opolskie;myœlenicki;4552;401;1219;158;t1209
