wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;10794;416;1292;2;t00
dolnoœl¹skie;boles³awiecki;16085;78;4735;0;t0201
dolnoœl¹skie;dzier¿oniowski;14601;103;3965;0;t0202
dolnoœl¹skie;g³ogowski;13508;71;3252;0;t0203
dolnoœl¹skie;górowski;5047;60;1339;0;t0204
dolnoœl¹skie;jaworski;8610;60;2454;57;t0205
dolnoœl¹skie;jeleniogórski;12795;197;3534;66;t0206
dolnoœl¹skie;kamiennogórski;6108;120;1802;1;t0207
dolnoœl¹skie;k³odzki;35652;276;10766;25;t0208
dolnoœl¹skie;legnicki;6527;1;1566;0;t0209
dolnoœl¹skie;lubañski;6396;66;1765;0;t0210
dolnoœl¹skie;lubiñski;29223;549;8119;0;t0211
dolnoœl¹skie;lwówecki;8190;100;2080;0;t0212
dolnoœl¹skie;milicki;7822;103;2267;0;t0213
dolnoœl¹skie;oleœnicki;13034;156;3277;7;t0214
dolnoœl¹skie;o³awski;14752;261;4009;0;t0215
dolnoœl¹skie;polkowicki;4065;139;1050;0;t0216
dolnoœl¹skie;strzeliñski;8281;194;2403;2;t0217
dolnoœl¹skie;œredzki;5719;28;1590;0;t0218
dolnoœl¹skie;œwidnicki;21844;108;6408;0;t0219
dolnoœl¹skie;trzebnicki;16056;208;4602;30;t0220
dolnoœl¹skie;wa³brzyski;9231;16;2717;0;t0221
dolnoœl¹skie;wo³owski;8831;74;2506;0;t0222
dolnoœl¹skie;wroc³awski;18868;119;4912;0;t0223
dolnoœl¹skie;z¹bkowicki;13568;275;3883;12;t0224
dolnoœl¹skie;zgorzelecki;14411;150;4764;31;t0225
dolnoœl¹skie;z³otoryjski;7050;52;1644;0;t0226
dolnoœl¹skie;Jelenia Góra;20182;195;5316;6;t0261
dolnoœl¹skie;Legnica;16619;154;4787;0;t0262
dolnoœl¹skie;Wroc³aw;226798;3616;62614;342;t0264
dolnoœl¹skie;Wa³brzych;68553;1344;16503;8;t0265
kujawsko-pomorskie;aleksandrowski;38701;335;10493;1;t0401
kujawsko-pomorskie;brodnicki;13356;259;3457;10;t0402
kujawsko-pomorskie;bydgoski;12042;101;3033;6;t0403
kujawsko-pomorskie;che³miñski;8018;44;1944;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;6075;20;1563;0;t0405
kujawsko-pomorskie;grudzi¹dzki;3376;31;946;28;t0406
kujawsko-pomorskie;inowroc³awski;25179;372;6696;0;t0407
kujawsko-pomorskie;lipnowski;10170;20;2703;0;t0408
kujawsko-pomorskie;mogileñski;5268;160;1406;37;t0409
kujawsko-pomorskie;nakielski;7867;60;1819;0;t0410
kujawsko-pomorskie;radziejowski;7545;169;1834;0;t0411
kujawsko-pomorskie;rypiñski;6911;98;1705;0;t0412
kujawsko-pomorskie;sêpoleñski;9376;36;2911;6;t0413
kujawsko-pomorskie;œwiecki;14252;194;3987;1;t0414
kujawsko-pomorskie;toruñski;9985;102;2926;6;t0415
kujawsko-pomorskie;tucholski;6711;30;1828;18;t0416
kujawsko-pomorskie;w¹brzeski;5597;73;1678;0;t0417
kujawsko-pomorskie;w³oc³awski;10658;133;3040;17;t0418
kujawsko-pomorskie;¿niñski;9345;174;2506;0;t0419
kujawsko-pomorskie;Bydgoszcz;95899;1648;25326;31;t0461
kujawsko-pomorskie;Grudzi¹dz;22716;266;4413;0;t0462
kujawsko-pomorskie;Toruñ;37980;493;10472;49;t0463
kujawsko-pomorskie;W³oc³awek;16395;155;4411;8;t0464
lubelskie;bialski;15378;112;4553;11;t0601
lubelskie;bi³gorajski;13505;110;3710;0;t0602
lubelskie;che³mski;8294;152;2341;31;t0603
lubelskie;hrubieszowski;10851;123;3256;0;t0604
