wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;31;30;1;0;t00
dolnoœl¹skie;boles³awiecki;2323;436;175;81;t0201
dolnoœl¹skie;dzier¿oniowski;1548;305;61;34;t0202
dolnoœl¹skie;g³ogowski;1287;174;94;48;t0203
dolnoœl¹skie;górowski;213;102;0;0;t0204
dolnoœl¹skie;jaworski;846;140;89;37;t0205
dolnoœl¹skie;jeleniogórski;758;150;47;47;t0206
dolnoœl¹skie;kamiennogórski;954;92;79;37;t0207
dolnoœl¹skie;k³odzki;4589;548;372;121;t0208
dolnoœl¹skie;legnicki;78;60;0;0;t0209
dolnoœl¹skie;lubañski;766;102;0;0;t0210
dolnoœl¹skie;lubiñski;3049;371;307;186;t0211
dolnoœl¹skie;lwówecki;961;175;210;99;t0212
dolnoœl¹skie;milicki;830;221;72;49;t0213
dolnoœl¹skie;oleœnicki;1342;170;79;0;t0214
dolnoœl¹skie;o³awski;1361;231;105;81;t0215
dolnoœl¹skie;polkowicki;71;65;0;0;t0216
dolnoœl¹skie;strzeliñski;763;216;110;89;t0217
dolnoœl¹skie;œredzki;154;65;0;0;t0218
dolnoœl¹skie;œwidnicki;2890;412;648;198;t0219
dolnoœl¹skie;trzebnicki;1874;401;109;76;t0220
dolnoœl¹skie;wa³brzyski;945;140;85;85;t0221
dolnoœl¹skie;wo³owski;730;147;58;30;t0222
dolnoœl¹skie;wroc³awski;867;292;0;0;t0223
dolnoœl¹skie;z¹bkowicki;1700;184;268;72;t0224
dolnoœl¹skie;zgorzelecki;2922;223;766;132;t0225
dolnoœl¹skie;z³otoryjski;613;167;125;125;t0226
dolnoœl¹skie;Jelenia Góra;2601;286;258;90;t0261
dolnoœl¹skie;Legnica;3035;214;474;113;t0262
dolnoœl¹skie;Wroc³aw;34880;3692;6037;1910;t0264
dolnoœl¹skie;Wa³brzych;4735;713;1058;297;t0265
kujawsko-pomorskie;aleksandrowski;1627;218;255;59;t0401
kujawsko-pomorskie;brodnicki;1119;156;174;53;t0402
kujawsko-pomorskie;bydgoski;471;202;0;0;t0403
kujawsko-pomorskie;che³miñski;770;130;143;71;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;682;120;244;102;t0405
kujawsko-pomorskie;grudzi¹dzki;209;99;48;33;t0406
kujawsko-pomorskie;inowroc³awski;2686;447;238;14;t0407
