wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;146;0;1;0;t00
dolnoœl¹skie;boles³awiecki;2674;0;176;0;t0201
dolnoœl¹skie;dzier¿oniowski;1961;0;79;0;t0202
dolnoœl¹skie;g³ogowski;1777;0;178;0;t0203
dolnoœl¹skie;górowski;326;0;0;0;t0204
dolnoœl¹skie;jaworski;1078;0;112;0;t0205
dolnoœl¹skie;jeleniogórski;1177;0;87;0;t0206
dolnoœl¹skie;kamiennogórski;1057;0;80;0;t0207
dolnoœl¹skie;k³odzki;5868;0;507;0;t0208
dolnoœl¹skie;legnicki;236;11;0;0;t0209
dolnoœl¹skie;lubañski;955;0;58;0;t0210
dolnoœl¹skie;lubiñski;4274;72;596;0;t0211
dolnoœl¹skie;lwówecki;1130;0;255;0;t0212
dolnoœl¹skie;milicki;1143;0;89;0;t0213
dolnoœl¹skie;oleœnicki;1793;0;81;0;t0214
dolnoœl¹skie;o³awski;1708;0;175;0;t0215
dolnoœl¹skie;polkowicki;178;0;0;0;t0216
dolnoœl¹skie;strzeliñski;930;0;110;0;t0217
dolnoœl¹skie;œredzki;237;0;0;0;t0218
dolnoœl¹skie;œwidnicki;3992;0;971;0;t0219
dolnoœl¹skie;trzebnicki;2212;0;177;0;t0220
dolnoœl¹skie;wa³brzyski;1168;0;86;0;t0221
dolnoœl¹skie;wo³owski;1070;0;88;0;t0222
dolnoœl¹skie;wroc³awski;1275;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;1987;0;318;0;t0224
dolnoœl¹skie;zgorzelecki;3468;0;1069;0;t0225
dolnoœl¹skie;z³otoryjski;858;0;262;0;t0226
dolnoœl¹skie;Jelenia Góra;3129;0;452;0;t0261
dolnoœl¹skie;Legnica;3525;0;652;0;t0262
dolnoœl¹skie;Wroc³aw;46465;1151;11949;839;t0264
dolnoœl¹skie;Wa³brzych;6490;192;1357;0;t0265
kujawsko-pomorskie;aleksandrowski;1970;0;326;0;t0401
kujawsko-pomorskie;brodnicki;1485;0;243;0;t0402
kujawsko-pomorskie;bydgoski;739;0;0;0;t0403
kujawsko-pomorskie;che³miñski;1112;0;246;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1013;0;407;0;t0405
kujawsko-pomorskie;grudzi¹dzki;356;0;85;0;t0406
kujawsko-pomorskie;inowroc³awski;3869;0;671;0;t0407
kujawsko-pomorskie;lipnowski;1509;0;336;0;t0408
kujawsko-pomorskie;mogileñski;772;0;125;0;t0409
kujawsko-pomorskie;nakielski;926;0;87;0;t0410
kujawsko-pomorskie;radziejowski;1324;0;391;0;t0411
kujawsko-pomorskie;rypiñski;827;0;224;0;t0412
kujawsko-pomorskie;sêpoleñski;1483;28;247;1;t0413
kujawsko-pomorskie;œwiecki;1884;0;89;0;t0414
kujawsko-pomorskie;toruñski;1117;0;169;0;t0415
kujawsko-pomorskie;tucholski;829;0;167;0;t0416
kujawsko-pomorskie;w¹brzeski;587;0;80;0;t0417
kujawsko-pomorskie;w³oc³awski;929;0;0;0;t0418
kujawsko-pomorskie;¿niñski;1384;0;173;0;t0419
kujawsko-pomorskie;Bydgoszcz;20727;102;4016;0;t0461
kujawsko-pomorskie;Grudzi¹dz;3633;0;898;0;t0462
kujawsko-pomorskie;Toruñ;8163;149;1422;0;t0463
kujawsko-pomorskie;W³oc³awek;3092;0;323;0;t0464
lubelskie;bialski;1341;0;89;0;t0601
lubelskie;bi³gorajski;1656;0;154;0;t0602
lubelskie;che³mski;461;2;0;0;t0603
lubelskie;hrubieszowski;1271;0;257;0;t0604
lubelskie;janowski;1479;0;177;0;t0605
lubelskie;krasnostawski;1623;0;159;0;t0606
lubelskie;kraœnicki;1855;0;85;0;t0607
lubelskie;lubartowski;1691;0;86;0;t0608
lubelskie;lubelski;2007;0;177;0;t0609
lubelskie;³êczyñski;1494;0;260;0;t0610
lubelskie;³ukowski;1867;0;79;0;t0611
lubelskie;opolski;1222;0;246;0;t0612
lubelskie;parczewski;1155;0;171;0;t0613
lubelskie;pu³awski;4353;0;908;0;t0614
lubelskie;radzyñski;1281;0;175;0;t0615
lubelskie;rycki;1103;0;147;0;t0616
lubelskie;œwidnicki;1428;0;89;0;t0617
lubelskie;tomaszowski;2005;0;321;0;t0618
lubelskie;w³odawski;1270;0;250;0;t0619
lubelskie;zamojski;1201;0;88;0;t0620
lubelskie;Bia³a Podlaska;3650;0;643;0;t0661
lubelskie;Che³m;2357;0;383;0;t0662
lubelskie;Lublin;24912;253;4205;3;t0663
lubelskie;Zamoœæ;3262;0;646;0;t0664
lubuskie;gorzowski;885;0;91;0;t0801
lubuskie;kroœnieñski;1356;0;247;0;t0802
lubuskie;miêdzyrzecki;2400;6;332;0;t0803
lubuskie;nowosolski;2377;0;345;0;t0804
lubuskie;s³ubicki;816;0;161;0;t0805
lubuskie;strzelecko-drezdenecki;1032;0;162;0;t0806
lubuskie;sulêciñski;963;0;160;0;t0807
lubuskie;œwiebodziñski;2065;0;459;0;t0808
lubuskie;zielonogórski;1608;0;168;0;t0809
lubuskie;¿agañski;1029;0;172;0;t0810
lubuskie;¿arski;3240;78;595;0;t0811
