wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;891;27;241;1;t00
dolnoœl¹skie;boles³awiecki;6975;0;2450;0;t0201
dolnoœl¹skie;dzier¿oniowski;5311;0;1829;0;t0202
dolnoœl¹skie;g³ogowski;4389;0;1450;0;t0203
dolnoœl¹skie;górowski;1094;0;207;0;t0204
dolnoœl¹skie;jaworski;2864;0;958;0;t0205
dolnoœl¹skie;jeleniogórski;3564;0;860;0;t0206
dolnoœl¹skie;kamiennogórski;2632;0;965;0;t0207
dolnoœl¹skie;k³odzki;14458;102;5205;101;t0208
dolnoœl¹skie;legnicki;1192;98;257;0;t0209
dolnoœl¹skie;lubañski;2413;33;829;0;t0210
dolnoœl¹skie;lubiñski;10167;248;3402;0;t0211
dolnoœl¹skie;lwówecki;2595;0;859;0;t0212
dolnoœl¹skie;milicki;2842;1;1012;1;t0213
dolnoœl¹skie;oleœnicki;4603;98;1618;0;t0214
dolnoœl¹skie;o³awski;4799;0;1523;0;t0215
dolnoœl¹skie;polkowicki;882;0;177;0;t0216
dolnoœl¹skie;strzeliñski;2431;0;472;0;t0217
dolnoœl¹skie;œredzki;1461;0;427;0;t0218
dolnoœl¹skie;œwidnicki;8458;104;2727;84;t0219
dolnoœl¹skie;trzebnicki;5572;0;2032;0;t0220
dolnoœl¹skie;wa³brzyski;3040;0;997;0;t0221
dolnoœl¹skie;wo³owski;3078;169;995;0;t0222
dolnoœl¹skie;wroc³awski;4548;55;990;0;t0223
dolnoœl¹skie;z¹bkowicki;4666;30;1691;30;t0224
dolnoœl¹skie;zgorzelecki;6664;0;2389;0;t0225
dolnoœl¹skie;z³otoryjski;1887;0;565;0;t0226
dolnoœl¹skie;Jelenia Góra;6899;0;2661;0;t0261
dolnoœl¹skie;Legnica;7204;0;2870;0;t0262
dolnoœl¹skie;Wroc³aw;87502;1468;33233;448;t0264
dolnoœl¹skie;Wa³brzych;17727;266;5053;233;t0265
kujawsko-pomorskie;aleksandrowski;8177;213;2655;51;t0401
kujawsko-pomorskie;brodnicki;3991;0;1153;0;t0402
kujawsko-pomorskie;bydgoski;2884;0;696;0;t0403
kujawsko-pomorskie;che³miñski;2672;7;832;7;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1830;10;557;0;t0405
kujawsko-pomorskie;grudzi¹dzki;1003;0;253;0;t0406
kujawsko-pomorskie;inowroc³awski;8566;0;2995;0;t0407
kujawsko-pomorskie;lipnowski;3700;0;1185;0;t0408
kujawsko-pomorskie;mogileñski;1951;18;597;0;t0409
kujawsko-pomorskie;nakielski;2448;0;815;0;t0410
kujawsko-pomorskie;radziejowski;2605;30;885;30;t0411
kujawsko-pomorskie;rypiñski;2116;299;533;0;t0412
kujawsko-pomorskie;sêpoleñski;3698;79;1172;0;t0413
kujawsko-pomorskie;œwiecki;4950;60;1717;30;t0414
kujawsko-pomorskie;toruñski;3060;0;907;0;t0415
kujawsko-pomorskie;tucholski;2095;0;645;0;t0416
kujawsko-pomorskie;w¹brzeski;1900;0;433;0;t0417
kujawsko-pomorskie;w³oc³awski;3185;21;927;9;t0418
kujawsko-pomorskie;¿niñski;3377;0;1152;0;t0419
kujawsko-pomorskie;Bydgoszcz;39962;811;15653;30;t0461
kujawsko-pomorskie;Grudzi¹dz;6793;0;2694;0;t0462
kujawsko-pomorskie;Toruñ;16223;169;6141;19;t0463
kujawsko-pomorskie;W³oc³awek;6655;0;2723;0;t0464
lubelskie;bialski;4717;100;1231;0;t0601
lubelskie;bi³gorajski;4600;0;1468;0;t0602
lubelskie;che³mski;2012;0;470;0;t0603
lubelskie;hrubieszowski;3449;0;966;0;t0604
lubelskie;janowski;3720;98;1305;0;t0605
lubelskie;krasnostawski;4143;0;1409;0;t0606
lubelskie;kraœnicki;4866;0;1581;0;t0607
lubelskie;lubartowski;4486;129;1578;0;t0608
lubelskie;lubelski;6326;58;1767;0;t0609
lubelskie;³êczyñski;3923;0;1096;0;t0610
lubelskie;³ukowski;4976;119;1585;43;t0611
lubelskie;opolski;2926;30;917;0;t0612
lubelskie;parczewski;2720;0;853;0;t0613
lubelskie;pu³awski;9787;152;3445;1;t0614
lubelskie;radzyñski;3497;0;1025;0;t0615
lubelskie;rycki;3488;50;926;0;t0616
lubelskie;œwidnicki;3745;4;1324;3;t0617
lubelskie;tomaszowski;4724;129;1521;29;t0618
lubelskie;w³odawski;3074;0;1004;0;t0619
lubelskie;zamojski;4040;0;1066;0;t0620
lubelskie;Bia³a Podlaska;7148;92;2964;1;t0661
lubelskie;Che³m;5158;92;1852;4;t0662
lubelskie;Lublin;51828;567;18741;338;t0663
lubelskie;Zamoœæ;7035;133;2463;0;t0664
lubuskie;gorzowski;2719;67;703;54;t0801
lubuskie;kroœnieñski;3358;200;986;0;t0802
lubuskie;miêdzyrzecki;5482;118;1957;14;t0803
lubuskie;nowosolski;5680;247;1901;30;t0804
lubuskie;s³ubicki;2286;0;645;0;t0805
lubuskie;strzelecko-drezdenecki;2942;77;865;0;t0806
lubuskie;sulêciñski;2213;18;750;0;t0807
lubuskie;œwiebodziñski;4372;30;1540;0;t0808
lubuskie;zielonogórski;4365;0;1364;0;t0809
lubuskie;¿agañski;2979;0;886;0;t0810
lubuskie;¿arski;7190;140;2524;0;t0811
lubuskie;wschowski;1649;0;522;0;t0812
lubuskie;Gorzów Wielkopolski;9953;0;3770;0;t0861
lubuskie;Zielona Góra;12651;241;4137;220;t0862
³ódzkie;be³chatowski;5679;54;1979;52;t1001
³ódzkie;kutnowski;5819;0;2200;0;t1002
³ódzkie;³aski;1924;40;597;0;t1003
³ódzkie;³êczycki;4027;0;1392;0;t1004
³ódzkie;³owicki;8503;75;2768;51;t1005
³ódzkie;³ódzki wschodni;2119;0;472;0;t1006
³ódzkie;opoczyñski;3513;0;1107;0;t1007
