wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4680;54;971;42;t00
dolnoœl¹skie;boles³awiecki;10743;252;4134;96;t0201
dolnoœl¹skie;dzier¿oniowski;9628;259;3478;45;t0202
dolnoœl¹skie;g³ogowski;9045;308;2892;171;t0203
dolnoœl¹skie;górowski;2712;112;964;43;t0204
dolnoœl¹skie;jaworski;5559;198;1889;43;t0205
dolnoœl¹skie;jeleniogórski;7584;344;2739;141;t0206
dolnoœl¹skie;kamiennogórski;4264;113;1652;88;t0207
dolnoœl¹skie;k³odzki;24478;931;9434;352;t0208
dolnoœl¹skie;legnicki;3197;244;1067;48;t0209
dolnoœl¹skie;lubañski;4293;140;1369;41;t0210
dolnoœl¹skie;lubiñski;18543;587;6238;253;t0211
dolnoœl¹skie;lwówecki;4638;123;1671;53;t0212
dolnoœl¹skie;milicki;5032;191;1760;31;t0213
dolnoœl¹skie;oleœnicki;8012;239;2865;125;t0214
dolnoœl¹skie;o³awski;9218;403;2877;97;t0215
dolnoœl¹skie;polkowicki;2245;166;827;82;t0216
dolnoœl¹skie;strzeliñski;5290;203;1970;71;t0217
dolnoœl¹skie;œredzki;3263;165;1094;101;t0218
dolnoœl¹skie;œwidnicki;15075;468;5387;192;t0219
dolnoœl¹skie;trzebnicki;10092;220;3562;86;t0220
dolnoœl¹skie;wa³brzyski;5610;83;2263;47;t0221
dolnoœl¹skie;wo³owski;5833;234;2050;143;t0222
dolnoœl¹skie;wroc³awski;10272;421;3526;230;t0223
dolnoœl¹skie;z¹bkowicki;8324;202;3145;131;t0224
dolnoœl¹skie;zgorzelecki;10511;262;4118;99;t0225
dolnoœl¹skie;z³otoryjski;4167;146;1393;56;t0226
dolnoœl¹skie;Jelenia Góra;12368;425;4469;180;t0261
dolnoœl¹skie;Legnica;11614;307;4115;141;t0262
dolnoœl¹skie;Wroc³aw;147043;3620;51869;1512;t0264
dolnoœl¹skie;Wa³brzych;39030;843;12473;210;t0265
kujawsko-pomorskie;aleksandrowski;25025;664;8717;220;t0401
kujawsko-pomorskie;brodnicki;8146;226;2894;132;t0402
kujawsko-pomorskie;bydgoski;6536;316;2448;193;t0403
kujawsko-pomorskie;che³miñski;4932;125;1786;59;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3893;182;1318;75;t0405
kujawsko-pomorskie;grudzi¹dzki;2108;42;788;14;t0406
kujawsko-pomorskie;inowroc³awski;16136;440;5746;252;t0407
kujawsko-pomorskie;lipnowski;6582;269;2341;116;t0408
kujawsko-pomorskie;mogileñski;3571;161;1134;11;t0409
kujawsko-pomorskie;nakielski;5119;238;1603;120;t0410
kujawsko-pomorskie;radziejowski;4478;123;1550;14;t0411
kujawsko-pomorskie;rypiñski;4258;288;1354;153;t0412
kujawsko-pomorskie;sêpoleñski;6636;335;2505;169;t0413
kujawsko-pomorskie;œwiecki;8994;269;3443;127;t0414
kujawsko-pomorskie;toruñski;6503;132;2228;53;t0415
kujawsko-pomorskie;tucholski;4281;209;1457;92;t0416
kujawsko-pomorskie;w¹brzeski;3912;118;1381;38;t0417
kujawsko-pomorskie;w³oc³awski;6469;328;2568;163;t0418
kujawsko-pomorskie;¿niñski;6044;204;2161;96;t0419
kujawsko-pomorskie;Bydgoszcz;61131;1340;22571;557;t0461
kujawsko-pomorskie;Grudzi¹dz;11464;253;3940;116;t0462
kujawsko-pomorskie;Toruñ;26199;402;9320;200;t0463
kujawsko-pomorskie;W³oc³awek;11138;375;4027;174;t0464
lubelskie;bialski;9519;491;3351;226;t0601
lubelskie;bi³gorajski;8959;315;3131;86;t0602
lubelskie;che³mski;4801;268;1654;99;t0603
lubelskie;hrubieszowski;7208;299;2439;141;t0604
lubelskie;janowski;6224;190;2322;81;t0605
lubelskie;krasnostawski;6905;247;2692;96;t0606
