wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;7457;0;1225;0;t00
dolnoœl¹skie;boles³awiecki;13998;0;4733;0;t0201
dolnoœl¹skie;dzier¿oniowski;12467;0;3963;0;t0202
dolnoœl¹skie;g³ogowski;11562;0;3250;0;t0203
dolnoœl¹skie;górowski;4147;0;1336;0;t0204
dolnoœl¹skie;jaworski;7640;0;2394;0;t0205
dolnoœl¹skie;jeleniogórski;10805;0;3447;0;t0206
dolnoœl¹skie;kamiennogórski;5127;0;1793;0;t0207
dolnoœl¹skie;k³odzki;31691;0;10695;0;t0208
dolnoœl¹skie;legnicki;5149;0;1531;0;t0209
dolnoœl¹skie;lubañski;5766;0;1764;0;t0210
dolnoœl¹skie;lubiñski;24352;0;8007;0;t0211
dolnoœl¹skie;lwówecki;6889;0;2067;0;t0212
dolnoœl¹skie;milicki;6506;0;2196;0;t0213
dolnoœl¹skie;oleœnicki;10782;0;3261;0;t0214
dolnoœl¹skie;o³awski;13042;0;3932;0;t0215
dolnoœl¹skie;polkowicki;3325;0;1049;0;t0216
dolnoœl¹skie;strzeliñski;7106;0;2335;0;t0217
dolnoœl¹skie;œredzki;4966;0;1586;0;t0218
dolnoœl¹skie;œwidnicki;19479;0;6400;0;t0219
dolnoœl¹skie;trzebnicki;13994;0;4505;0;t0220
dolnoœl¹skie;wa³brzyski;7672;0;2699;0;t0221
dolnoœl¹skie;wo³owski;7552;0;2400;0;t0222
dolnoœl¹skie;wroc³awski;15146;0;4745;0;t0223
dolnoœl¹skie;z¹bkowicki;12028;0;3809;0;t0224
dolnoœl¹skie;zgorzelecki;13145;0;4698;0;t0225
dolnoœl¹skie;z³otoryjski;6125;0;1622;0;t0226
dolnoœl¹skie;Jelenia Góra;17333;0;5201;0;t0261
dolnoœl¹skie;Legnica;14739;0;4675;0;t0262
dolnoœl¹skie;Wroc³aw;190373;71;61215;0;t0264
dolnoœl¹skie;Wa³brzych;59314;562;16152;0;t0265
kujawsko-pomorskie;aleksandrowski;34681;0;10388;0;t0401
kujawsko-pomorskie;brodnicki;11364;0;3414;0;t0402
kujawsko-pomorskie;bydgoski;9972;0;3011;0;t0403
kujawsko-pomorskie;che³miñski;6619;0;1942;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;5357;0;1552;0;t0405
kujawsko-pomorskie;grudzi¹dzki;2987;0;917;0;t0406
kujawsko-pomorskie;inowroc³awski;22222;0;6682;0;t0407
kujawsko-pomorskie;lipnowski;8748;0;2697;0;t0408
kujawsko-pomorskie;mogileñski;4594;0;1356;0;t0409
kujawsko-pomorskie;nakielski;6434;0;1817;0;t0410
kujawsko-pomorskie;radziejowski;6514;0;1833;0;t0411
kujawsko-pomorskie;rypiñski;5789;0;1700;0;t0412
kujawsko-pomorskie;sêpoleñski;8373;0;2828;0;t0413
kujawsko-pomorskie;œwiecki;12464;0;3964;0;t0414
kujawsko-pomorskie;toruñski;8755;0;2813;0;t0415
kujawsko-pomorskie;tucholski;5781;0;1733;0;t0416
kujawsko-pomorskie;w¹brzeski;5074;0;1671;0;t0417
kujawsko-pomorskie;w³oc³awski;8942;0;3016;0;t0418
kujawsko-pomorskie;¿niñski;8071;0;2464;0;t0419
kujawsko-pomorskie;Bydgoszcz;80114;0;25069;0;t0461
kujawsko-pomorskie;Grudzi¹dz;19184;0;4408;0;t0462
kujawsko-pomorskie;Toruñ;32907;0;10318;0;t0463
kujawsko-pomorskie;W³oc³awek;14331;0;4375;0;t0464
lubelskie;bialski;13407;0;4503;0;t0601
lubelskie;bi³gorajski;11920;0;3695;0;t0602
lubelskie;che³mski;7151;0;2161;0;t0603
lubelskie;hrubieszowski;9776;0;3202;0;t0604
lubelskie;janowski;7792;0;2593;0;t0605
lubelskie;krasnostawski;8727;0;3039;0;t0606
lubelskie;kraœnicki;12387;0;3996;0;t0607
lubelskie;lubartowski;12006;0;3920;0;t0608
lubelskie;lubelski;17084;0;5696;0;t0609
lubelskie;³êczyñski;9257;0;2851;0;t0610
lubelskie;³ukowski;12375;0;4106;0;t0611
lubelskie;opolski;9224;0;2907;0;t0612
lubelskie;parczewski;6884;0;2319;0;t0613
lubelskie;pu³awski;21307;0;7016;0;t0614
lubelskie;radzyñski;8159;0;2886;0;t0615
lubelskie;rycki;11550;0;3544;0;t0616
lubelskie;œwidnicki;9023;0;3067;0;t0617
lubelskie;tomaszowski;11452;0;3729;0;t0618
lubelskie;w³odawski;8031;0;2537;0;t0619
lubelskie;zamojski;11452;0;3741;0;t0620
lubelskie;Bia³a Podlaska;15776;0;4279;0;t0661
lubelskie;Che³m;12054;0;3339;0;t0662
lubelskie;Lublin;114340;0;37694;0;t0663
lubelskie;Zamoœæ;19174;22;4908;16;t0664
lubuskie;gorzowski;7042;0;2282;0;t0801
lubuskie;kroœnieñski;9778;0;2681;0;t0802
lubuskie;miêdzyrzecki;13459;0;3772;0;t0803
lubuskie;nowosolski;15065;0;4315;0;t0804
lubuskie;s³ubicki;6663;0;1879;0;t0805
lubuskie;strzelecko-drezdenecki;7786;0;2372;0;t0806
lubuskie;sulêciñski;4907;0;1533;0;t0807
lubuskie;œwiebodziñski;8718;0;3042;0;t0808
lubuskie;zielonogórski;14074;0;3627;0;t0809
lubuskie;¿agañski;8580;0;2638;0;t0810
lubuskie;¿arski;19033;0;5106;0;t0811
lubuskie;wschowski;3625;0;1182;0;t0812
lubuskie;Gorzów Wielkopolski;23569;0;7115;0;t0861
lubuskie;Zielona Góra;29304;0;8684;0;t0862
³ódzkie;be³chatowski;13600;0;4411;0;t1001
³ódzkie;kutnowski;13789;0;4530;0;t1002
³ódzkie;³aski;5642;20;1724;20;t1003
³ódzkie;³êczycki;9611;0;3249;0;t1004
³ódzkie;³owicki;19212;0;6715;0;t1005
³ódzkie;³ódzki wschodni;5750;0;1784;0;t1006
³ódzkie;opoczyñski;9719;12;3100;0;t1007
³ódzkie;pabianicki;17306;0;5196;0;t1008
³ódzkie;pajêczañski;5137;0;1435;0;t1009
³ódzkie;piotrkowski;7422;1;2427;0;t1010
³ódzkie;poddêbicki;5214;0;1532;0;t1011
³ódzkie;radomszczañski;16820;0;5201;0;t1012
³ódzkie;rawski;5621;0;1819;0;t1013
³ódzkie;sieradzki;14478;0;4353;0;t1014
³ódzkie;skierniewicki;4178;0;1326;0;t1015
³ódzkie;tomaszowski;17207;2;5157;0;t1016
³ódzkie;wieluñski;12427;0;3476;0;t1017
³ódzkie;wieruszowski;5711;0;1835;0;t1018
³ódzkie;zduñskowolski;8434;0;2819;0;t1019
³ódzkie;zgierski;20589;0;6777;0;t1020
³ódzkie;brzeziñski;7410;0;2620;0;t1021
³ódzkie;£ódŸ;185643;30;62041;0;t1061
³ódzkie;Piotrków Trybunalski;14410;0;4481;0;t1062
³ódzkie;Skierniewice;12689;0;3710;0;t1063
