wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;406;107;1;0;t00
dolnoœl¹skie;boles³awiecki;5015;340;1559;252;t0201
dolnoœl¹skie;dzier¿oniowski;3508;370;653;139;t0202
dolnoœl¹skie;g³ogowski;2998;148;613;14;t0203
dolnoœl¹skie;górowski;660;61;2;2;t0204
dolnoœl¹skie;jaworski;1945;126;398;33;t0205
dolnoœl¹skie;jeleniogórski;2352;245;354;62;t0206
dolnoœl¹skie;kamiennogórski;1637;117;346;70;t0207
dolnoœl¹skie;k³odzki;9856;680;2421;159;t0208
dolnoœl¹skie;legnicki;599;59;0;0;t0209
dolnoœl¹skie;lubañski;1637;60;397;24;t0210
dolnoœl¹skie;lubiñski;7197;476;2172;256;t0211
dolnoœl¹skie;lwówecki;1916;122;614;56;t0212
dolnoœl¹skie;milicki;1828;170;351;90;t0213
dolnoœl¹skie;oleœnicki;3082;239;823;191;t0214
dolnoœl¹skie;o³awski;3186;230;846;115;t0215
dolnoœl¹skie;polkowicki;481;48;0;0;t0216
dolnoœl¹skie;strzeliñski;1352;66;110;0;t0217
dolnoœl¹skie;œredzki;884;203;164;162;t0218
dolnoœl¹skie;œwidnicki;6108;340;1802;121;t0219
dolnoœl¹skie;trzebnicki;3714;364;799;186;t0220
dolnoœl¹skie;wa³brzyski;2192;287;688;200;t0221
dolnoœl¹skie;wo³owski;1847;148;488;88;t0222
dolnoœl¹skie;wroc³awski;2632;328;137;119;t0223
dolnoœl¹skie;z¹bkowicki;3001;236;767;155;t0224
dolnoœl¹skie;zgorzelecki;5172;297;1789;127;t0225
dolnoœl¹skie;z³otoryjski;1287;42;427;0;t0226
dolnoœl¹skie;Jelenia Góra;5424;229;1855;12;t0261
dolnoœl¹skie;Legnica;5766;550;2355;389;t0262
dolnoœl¹skie;Wroc³aw;68659;1827;24981;407;t0264
dolnoœl¹skie;Wa³brzych;12124;734;2741;131;t0265
kujawsko-pomorskie;aleksandrowski;3395;410;588;0;t0401
kujawsko-pomorskie;brodnicki;2657;238;686;96;t0402
kujawsko-pomorskie;bydgoski;1695;240;62;44;t0403
kujawsko-pomorskie;che³miñski;1894;174;407;73;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1384;102;411;0;t0405
kujawsko-pomorskie;grudzi¹dzki;679;69;85;0;t0406
kujawsko-pomorskie;inowroc³awski;6221;307;1679;134;t0407
kujawsko-pomorskie;lipnowski;2259;73;511;0;t0408
kujawsko-pomorskie;mogileñski;1166;81;224;21;t0409
kujawsko-pomorskie;nakielski;1536;100;345;0;t0410
kujawsko-pomorskie;radziejowski;1962;102;597;36;t0411
kujawsko-pomorskie;rypiñski;1278;46;335;9;t0412
kujawsko-pomorskie;sêpoleñski;2415;319;627;205;t0413
kujawsko-pomorskie;œwiecki;3235;219;523;74;t0414
