wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;6958;335;1225;1;t00
dolnoœl¹skie;boles³awiecki;13656;337;4722;87;t0201
dolnoœl¹skie;dzier¿oniowski;12108;365;3945;72;t0202
dolnoœl¹skie;g³ogowski;11251;312;3249;51;t0203
dolnoœl¹skie;górowski;4115;150;1336;2;t0204
dolnoœl¹skie;jaworski;7591;210;2394;3;t0205
dolnoœl¹skie;jeleniogórski;10483;321;3445;14;t0206
dolnoœl¹skie;kamiennogórski;5067;66;1791;0;t0207
dolnoœl¹skie;k³odzki;30915;785;10682;45;t0208
dolnoœl¹skie;legnicki;4768;260;1424;2;t0209
dolnoœl¹skie;lubañski;5662;175;1745;2;t0210
dolnoœl¹skie;lubiñski;24110;363;8007;74;t0211
dolnoœl¹skie;lwówecki;6280;282;2066;1;t0212
dolnoœl¹skie;milicki;6475;131;2196;9;t0213
dolnoœl¹skie;oleœnicki;10467;344;3259;2;t0214
dolnoœl¹skie;o³awski;12901;421;3852;78;t0215
dolnoœl¹skie;polkowicki;3325;136;1049;1;t0216
dolnoœl¹skie;strzeliñski;6956;200;2321;18;t0217
dolnoœl¹skie;œredzki;4837;178;1546;33;t0218
dolnoœl¹skie;œwidnicki;19124;618;6380;74;t0219
dolnoœl¹skie;trzebnicki;13513;438;4406;121;t0220
dolnoœl¹skie;wa³brzyski;7259;51;2627;0;t0221
dolnoœl¹skie;wo³owski;7441;259;2399;0;t0222
dolnoœl¹skie;wroc³awski;14479;362;4744;43;t0223
dolnoœl¹skie;z¹bkowicki;11543;440;3772;97;t0224
dolnoœl¹skie;zgorzelecki;12824;194;4683;4;t0225
dolnoœl¹skie;z³otoryjski;5856;197;1622;1;t0226
dolnoœl¹skie;Jelenia Góra;16335;537;5191;70;t0261
dolnoœl¹skie;Legnica;14577;234;4659;7;t0262
dolnoœl¹skie;Wroc³aw;186927;4018;60783;575;t0264
dolnoœl¹skie;Wa³brzych;56057;1167;15691;437;t0265
kujawsko-pomorskie;aleksandrowski;33994;879;10180;91;t0401
kujawsko-pomorskie;brodnicki;10651;235;3391;24;t0402
kujawsko-pomorskie;bydgoski;9725;519;3003;11;t0403
kujawsko-pomorskie;che³miñski;6529;179;1942;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;5082;151;1522;3;t0405
kujawsko-pomorskie;grudzi¹dzki;2961;99;917;6;t0406
kujawsko-pomorskie;inowroc³awski;21925;406;6675;45;t0407
kujawsko-pomorskie;lipnowski;8325;263;2695;3;t0408
kujawsko-pomorskie;mogileñski;4595;92;1356;0;t0409
kujawsko-pomorskie;nakielski;6289;156;1817;29;t0410
kujawsko-pomorskie;radziejowski;6098;204;1833;0;t0411
kujawsko-pomorskie;rypiñski;5626;364;1698;101;t0412
kujawsko-pomorskie;sêpoleñski;8218;310;2818;1;t0413
kujawsko-pomorskie;œwiecki;12004;542;3960;3;t0414
kujawsko-pomorskie;toruñski;8505;192;2799;50;t0415
kujawsko-pomorskie;tucholski;5520;148;1687;5;t0416
kujawsko-pomorskie;w¹brzeski;4957;135;1670;3;t0417
kujawsko-pomorskie;w³oc³awski;8716;276;3016;3;t0418
kujawsko-pomorskie;¿niñski;7899;429;2459;42;t0419
kujawsko-pomorskie;Bydgoszcz;78188;2432;25028;212;t0461
kujawsko-pomorskie;Grudzi¹dz;18904;1077;4413;2;t0462
kujawsko-pomorskie;Toruñ;32145;570;10316;111;t0463
kujawsko-pomorskie;W³oc³awek;13963;382;4375;0;t0464
lubelskie;bialski;13026;521;4435;165;t0601
lubelskie;bi³gorajski;11629;226;3612;2;t0602
lubelskie;che³mski;6952;249;2160;19;t0603
lubelskie;hrubieszowski;9684;317;3180;60;t0604
lubelskie;janowski;7680;189;2586;64;t0605
lubelskie;krasnostawski;8673;149;3032;36;t0606
lubelskie;kraœnicki;12018;450;3962;50;t0607
lubelskie;lubartowski;11614;270;3898;1;t0608
lubelskie;lubelski;16564;552;5673;85;t0609
lubelskie;³êczyñski;8818;297;2836;33;t0610
lubelskie;³ukowski;12110;393;4077;33;t0611
lubelskie;opolski;8948;330;2890;35;t0612
lubelskie;parczewski;6785;125;2288;53;t0613
lubelskie;pu³awski;20598;878;7015;29;t0614
lubelskie;radzyñski;7960;130;2855;40;t0615
lubelskie;rycki;11452;343;3534;21;t0616
lubelskie;œwidnicki;8858;164;3032;28;t0617
lubelskie;tomaszowski;11234;215;3726;12;t0618
lubelskie;w³odawski;7669;244;2534;56;t0619
lubelskie;zamojski;11273;258;3705;11;t0620
lubelskie;Bia³a Podlaska;15057;585;4235;76;t0661
lubelskie;Che³m;11637;447;3335;5;t0662
lubelskie;Lublin;112745;2578;37474;300;t0663
lubelskie;Zamoœæ;18375;797;4837;57;t0664
lubuskie;gorzowski;6740;162;2254;1;t0801
lubuskie;kroœnieñski;9545;321;2679;19;t0802
lubuskie;miêdzyrzecki;12530;303;3695;59;t0803
lubuskie;nowosolski;14499;437;4286;32;t0804
lubuskie;s³ubicki;6489;222;1868;2;t0805
lubuskie;strzelecko-drezdenecki;7483;319;2297;63;t0806
lubuskie;sulêciñski;4756;81;1485;0;t0807
lubuskie;œwiebodziñski;8223;58;3008;0;t0808
lubuskie;zielonogórski;11779;569;3595;33;t0809
lubuskie;¿agañski;8478;393;2636;1;t0810
lubuskie;¿arski;17990;650;5075;29;t0811
lubuskie;wschowski;3536;52;1141;0;t0812
lubuskie;Gorzów Wielkopolski;22704;813;6985;124;t0861
lubuskie;Zielona Góra;28788;597;8673;24;t0862
³ódzkie;be³chatowski;13189;368;4401;53;t1001
³ódzkie;kutnowski;13284;366;4528;3;t1002
³ódzkie;³aski;5495;227;1705;29;t1003
³ódzkie;³êczycki;9488;150;3251;4;t1004
³ódzkie;³owicki;18994;553;6678;52;t1005
³ódzkie;³ódzki wschodni;5719;113;1779;2;t1006
³ódzkie;opoczyñski;9567;313;3062;0;t1007
³ódzkie;pabianicki;16756;386;5135;24;t1008
