wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;3992;162;796;6;t00
dolnoœl¹skie;boles³awiecki;9937;180;3913;149;t0201
dolnoœl¹skie;dzier¿oniowski;8862;156;3267;54;t0202
dolnoœl¹skie;g³ogowski;8324;67;2587;52;t0203
dolnoœl¹skie;górowski;2395;23;892;11;t0204
dolnoœl¹skie;jaworski;4913;77;1767;63;t0205
dolnoœl¹skie;jeleniogórski;6714;159;2339;28;t0206
dolnoœl¹skie;kamiennogórski;3986;54;1533;24;t0207
dolnoœl¹skie;k³odzki;22179;313;8602;132;t0208
dolnoœl¹skie;legnicki;2826;78;988;54;t0209
dolnoœl¹skie;lubañski;3948;24;1310;11;t0210
dolnoœl¹skie;lubiñski;16547;328;5592;10;t0211
dolnoœl¹skie;lwówecki;4167;40;1483;12;t0212
dolnoœl¹skie;milicki;4644;130;1686;109;t0213
dolnoœl¹skie;oleœnicki;7464;72;2693;25;t0214
dolnoœl¹skie;o³awski;8302;226;2672;31;t0215
dolnoœl¹skie;polkowicki;1928;30;678;29;t0216
dolnoœl¹skie;strzeliñski;4819;94;1785;56;t0217
dolnoœl¹skie;œredzki;2765;80;911;16;t0218
dolnoœl¹skie;œwidnicki;13797;103;4891;22;t0219
dolnoœl¹skie;trzebnicki;9238;270;3278;103;t0220
dolnoœl¹skie;wa³brzyski;5125;123;2031;56;t0221
dolnoœl¹skie;wo³owski;5182;78;1822;29;t0222
dolnoœl¹skie;wroc³awski;9288;102;3154;76;t0223
dolnoœl¹skie;z¹bkowicki;7703;172;2887;80;t0224
dolnoœl¹skie;zgorzelecki;9861;161;3874;128;t0225
dolnoœl¹skie;z³otoryjski;3685;99;1224;55;t0226
dolnoœl¹skie;Jelenia Góra;11440;193;4184;113;t0261
dolnoœl¹skie;Legnica;10753;174;3683;28;t0262
dolnoœl¹skie;Wroc³aw;135609;2084;47721;649;t0264
dolnoœl¹skie;Wa³brzych;33859;809;11800;26;t0265
kujawsko-pomorskie;aleksandrowski;22212;596;8051;177;t0401
kujawsko-pomorskie;brodnicki;7305;108;2518;48;t0402
kujawsko-pomorskie;bydgoski;5679;83;2024;48;t0403
kujawsko-pomorskie;che³miñski;4555;99;1683;55;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3516;24;1173;6;t0405
kujawsko-pomorskie;grudzi¹dzki;1875;24;703;5;t0406
kujawsko-pomorskie;inowroc³awski;14862;387;5285;220;t0407
kujawsko-pomorskie;lipnowski;6035;77;2115;40;t0408
kujawsko-pomorskie;mogileñski;3292;67;1120;48;t0409
kujawsko-pomorskie;nakielski;4554;12;1403;12;t0410
kujawsko-pomorskie;radziejowski;4124;109;1491;60;t0411
kujawsko-pomorskie;rypiñski;3756;32;1082;6;t0412
kujawsko-pomorskie;sêpoleñski;6019;48;2219;18;t0413
kujawsko-pomorskie;œwiecki;8228;190;3141;82;t0414
kujawsko-pomorskie;toruñski;5966;134;2053;34;t0415
kujawsko-pomorskie;tucholski;3922;24;1316;18;t0416
kujawsko-pomorskie;w¹brzeski;3630;149;1265;109;t0417
kujawsko-pomorskie;w³oc³awski;5672;234;2193;150;t0418
kujawsko-pomorskie;¿niñski;5615;107;1993;58;t0419
kujawsko-pomorskie;Bydgoszcz;57364;650;21337;328;t0461
kujawsko-pomorskie;Grudzi¹dz;10667;70;3622;52;t0462
kujawsko-pomorskie;Toruñ;24571;225;8887;57;t0463
kujawsko-pomorskie;W³oc³awek;10330;158;3765;93;t0464
lubelskie;bialski;8575;192;3053;122;t0601
lubelskie;bi³gorajski;8259;302;2980;162;t0602
lubelskie;che³mski;4158;153;1458;58;t0603
lubelskie;hrubieszowski;6483;208;2168;101;t0604
lubelskie;janowski;5809;124;2208;65;t0605
lubelskie;krasnostawski;6485;138;2556;82;t0606
lubelskie;kraœnicki;8182;169;3164;88;t0607
lubelskie;lubartowski;8022;286;2921;145;t0608
lubelskie;lubelski;11116;325;3992;206;t0609
lubelskie;³êczyñski;6160;144;2248;28;t0610
lubelskie;³ukowski;8605;250;2965;142;t0611
lubelskie;opolski;5747;169;2017;89;t0612
lubelskie;parczewski;4496;98;1691;12;t0613
lubelskie;pu³awski;14750;196;5668;152;t0614
lubelskie;radzyñski;5924;166;2165;91;t0615
lubelskie;rycki;7213;252;2417;149;t0616
lubelskie;œwidnicki;6137;106;2325;25;t0617
lubelskie;tomaszowski;7906;224;2919;116;t0618
lubelskie;w³odawski;5250;142;1862;60;t0619
lubelskie;zamojski;7437;265;2809;132;t0620
lubelskie;Bia³a Podlaska;9779;135;3702;33;t0661
lubelskie;Che³m;8144;203;2741;115;t0662
lubelskie;Lublin;81519;1489;29383;653;t0663
lubelskie;Zamoœæ;11047;228;3775;82;t0664
lubuskie;gorzowski;4583;62;1590;13;t0801
lubuskie;kroœnieñski;5804;218;1986;42;t0802
lubuskie;miêdzyrzecki;7998;190;2820;16;t0803
lubuskie;nowosolski;9478;193;3404;89;t0804
lubuskie;s³ubicki;3996;54;1453;36;t0805
lubuskie;strzelecko-drezdenecki;4908;72;1740;41;t0806
lubuskie;sulêciñski;3500;128;1233;60;t0807
lubuskie;œwiebodziñski;6429;120;2458;71;t0808
lubuskie;zielonogórski;7487;169;2751;80;t0809
lubuskie;¿agañski;5362;65;1990;22;t0810
lubuskie;¿arski;11465;160;4017;37;t0811
lubuskie;wschowski;2687;111;887;38;t0812
lubuskie;Gorzów Wielkopolski;15636;299;5684;79;t0861
lubuskie;Zielona Góra;20352;488;7879;79;t0862
³ódzkie;be³chatowski;9034;213;3411;124;t1001
³ódzkie;kutnowski;9722;101;3739;66;t1002
³ódzkie;³aski;3662;118;1222;71;t1003
³ódzkie;³êczycki;6697;98;2472;55;t1004
³ódzkie;³owicki;13518;213;5231;148;t1005
³ódzkie;³ódzki wschodni;3656;37;1415;23;t1006
³ódzkie;opoczyñski;6392;139;2244;101;t1007
³ódzkie;pabianicki;11546;315;3953;147;t1008
³ódzkie;pajêczañski;3288;30;1129;24;t1009
³ódzkie;piotrkowski;4410;33;1658;27;t1010
³ódzkie;poddêbicki;3598;86;1316;30;t1011
³ódzkie;radomszczañski;10901;180;4213;79;t1012
³ódzkie;rawski;3628;24;1376;11;t1013
³ódzkie;sieradzki;9866;238;3673;84;t1014
³ódzkie;skierniewicki;2379;63;897;20;t1015
³ódzkie;tomaszowski;11160;136;3644;9;t1016
³ódzkie;wieluñski;7918;199;2750;117;t1017
³ódzkie;wieruszowski;3989;28;1465;17;t1018
³ódzkie;zduñskowolski;5913;40;2022;0;t1019
³ódzkie;zgierski;14980;324;5547;196;t1020
³ódzkie;brzeziñski;5453;89;1904;78;t1021
³ódzkie;£ódŸ;130326;2039;50360;810;t1061
³ódzkie;Piotrków Trybunalski;10539;292;3585;116;t1062
³ódzkie;Skierniewice;8482;206;2883;92;t1063
ma³opolskie;bocheñski;7008;114;2354;13;t1201
ma³opolskie;brzeski;8822;186;3047;96;t1202
ma³opolskie;chrzanowski;12544;122;4453;52;t1203
ma³opolskie;d¹browski;5415;111;1891;45;t1204
ma³opolskie;gorlicki;12294;225;4671;136;t1205
ma³opolskie;krakowski;13837;360;5250;242;t1206
ma³opolskie;limanowski;10380;121;3788;60;t1207
ma³opolskie;miechowski;8666;243;2974;40;t1208
ma³opolskie;myœlenicki;9475;246;3055;132;t1209
ma³opolskie;nowos¹decki;13277;327;4633;196;t1210
ma³opolskie;nowotarski;15964;420;5883;180;t1211
ma³opolskie;olkuski;8541;237;3079;127;t1212
ma³opolskie;oœwiêcimski;11291;314;3848;109;t1213
ma³opolskie;proszowicki;4214;151;1597;69;t1214
ma³opolskie;suski;9000;116;3412;92;t1215
ma³opolskie;tarnowski;9787;251;3717;174;t1216
ma³opolskie;tatrzañski;5939;177;2290;73;t1217
ma³opolskie;wadowicki;9327;298;3041;81;t1218
ma³opolskie;wielicki;4930;140;1757;62;t1219
ma³opolskie;Kraków;166042;3002;58075;963;t1261
ma³opolskie;Nowy S¹cz;8620;158;2522;30;t1262
ma³opolskie;Tarnów;15139;323;5147;111;t1263
mazowieckie;bia³obrzeski;3227;88;1168;49;t1401
mazowieckie;ciechanowski;12897;306;4580;115;t1402
mazowieckie;garwoliñski;8096;226;2686;98;t1403
mazowieckie;gostyniñski;4204;60;1535;18;t1404
mazowieckie;grodziski;12924;340;4439;61;t1405
mazowieckie;grójecki;9815;231;3482;100;t1406
mazowieckie;kozienicki;5020;61;1845;26;t1407
mazowieckie;legionowski;5413;164;1980;97;t1408
mazowieckie;lipski;4620;82;1689;35;t1409
mazowieckie;³osicki;2803;112;922;64;t1410
mazowieckie;makowski;5005;98;1796;46;t1411
mazowieckie;miñski;11298;229;3468;133;t1412
mazowieckie;m³awski;7365;145;2657;89;t1413
mazowieckie;nowodworski;11999;267;4448;62;t1414
mazowieckie;ostro³êcki;6288;108;2299;92;t1415
mazowieckie;ostrowski;6741;145;2286;105;t1416
mazowieckie;otwocki;14790;173;6026;41;t1417
mazowieckie;piaseczyñski;19441;468;7061;146;t1418
mazowieckie;p³ocki;8607;172;3407;85;t1419
mazowieckie;p³oñski;7757;160;2839;72;t1420
mazowieckie;pruszkowski;13469;208;4693;36;t1421
mazowieckie;przasnyski;5988;173;2211;59;t1422
mazowieckie;przysuski;4068;42;1411;33;t1423
mazowieckie;pu³tuski;6877;143;2351;76;t1424
mazowieckie;radomski;8521;278;3188;101;t1425
mazowieckie;siedlecki;4338;151;1578;87;t1426
mazowieckie;sierpecki;5000;146;1738;45;t1427
mazowieckie;sochaczewski;6710;163;2260;25;t1428
mazowieckie;soko³owski;6204;59;2213;36;t1429
mazowieckie;szyd³owiecki;2222;12;908;8;t1430
mazowieckie;warszawski zachodni;9259;155;3399;98;t1432
mazowieckie;wêgrowski;6421;245;2289;112;t1433
mazowieckie;wo³omiñski;18282;401;6620;148;t1434
mazowieckie;wyszkowski;8449;139;3137;22;t1435
mazowieckie;zwoleñski;3240;105;1085;17;t1436
mazowieckie;¿uromiñski;4092;79;1467;46;t1437
mazowieckie;¿yrardowski;7144;251;2642;131;t1438
mazowieckie;Ostro³êka;12452;405;4320;328;t1461
mazowieckie;P³ock;20036;422;7315;27;t1462
mazowieckie;Radom;31632;605;11194;118;t1463
mazowieckie;Siedlce;16127;590;4641;125;t1464
mazowieckie;Warszawa;332265;6580;118683;2335;t1465
opolskie;brzeski;8476;166;3059;124;t1601
opolskie;g³ubczycki;6877;100;2878;71;t1602
opolskie;kêdzierzyñsko-kozielski;10030;168;3641;86;t1603
opolskie;kluczborski;5914;47;2158;13;t1604
opolskie;krapkowicki;6825;99;2629;28;t1605
opolskie;namys³owski;3679;30;1276;2;t1606
opolskie;nyski;12903;276;4824;44;t1607
opolskie;oleski;6636;138;2422;63;t1608
opolskie;opolski;8709;209;3166;88;t1609
opolskie;prudnicki;5301;74;1976;66;t1610
opolskie;strzelecki;7291;230;2656;89;t1611
opolskie;Opole;31436;632;10482;359;t1661
podkarpackie;bieszczadzki;1652;0;654;0;t1801
podkarpackie;brzozowski;7379;168;2870;100;t1802
podkarpackie;dêbicki;9968;251;3428;94;t1803
podkarpackie;jaros³awski;6277;139;2231;13;t1804
podkarpackie;jasielski;9136;414;3606;220;t1805
podkarpackie;kolbuszowski;3750;76;1149;12;t1806
podkarpackie;kroœnieñski;8512;414;3202;244;t1807
podkarpackie;le¿ajski;6252;102;2264;50;t1808
podkarpackie;lubaczowski;6295;114;2395;37;t1809
podkarpackie;³añcucki;7105;133;2529;36;t1810
podkarpackie;mielecki;11397;247;3936;89;t1811
podkarpackie;ni¿añski;5523;241;2009;84;t1812
