wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;598;104;75;74;t00
dolnoœl¹skie;boles³awiecki;6267;419;2045;252;t0201
dolnoœl¹skie;dzier¿oniowski;4829;413;1559;315;t0202
dolnoœl¹skie;g³ogowski;3832;270;1194;107;t0203
dolnoœl¹skie;górowski;963;36;144;24;t0204
dolnoœl¹skie;jaworski;2546;191;735;133;t0205
dolnoœl¹skie;jeleniogórski;3103;237;705;145;t0206
dolnoœl¹skie;kamiennogórski;2258;232;717;150;t0207
dolnoœl¹skie;k³odzki;13127;1091;4320;573;t0208
dolnoœl¹skie;legnicki;866;78;66;54;t0209
dolnoœl¹skie;lubañski;2188;126;752;94;t0210
dolnoœl¹skie;lubiñski;9075;585;2875;340;t0211
dolnoœl¹skie;lwówecki;2369;240;754;132;t0212
dolnoœl¹skie;milicki;2457;243;735;169;t0213
dolnoœl¹skie;oleœnicki;3748;197;1280;144;t0214
dolnoœl¹skie;o³awski;4238;283;1212;172;t0215
dolnoœl¹skie;polkowicki;669;116;89;89;t0216
dolnoœl¹skie;strzeliñski;1974;227;227;71;t0217
dolnoœl¹skie;œredzki;1251;154;322;51;t0218
dolnoœl¹skie;œwidnicki;7569;505;2324;202;t0219
dolnoœl¹skie;trzebnicki;4979;216;1578;100;t0220
dolnoœl¹skie;wa³brzyski;2792;132;865;78;t0221
dolnoœl¹skie;wo³owski;2405;259;762;152;t0222
dolnoœl¹skie;wroc³awski;3715;495;558;202;t0223
dolnoœl¹skie;z¹bkowicki;4170;268;1446;69;t0224
dolnoœl¹skie;zgorzelecki;6103;302;2192;127;t0225
dolnoœl¹skie;z³otoryjski;1607;67;467;18;t0226
dolnoœl¹skie;Jelenia Góra;6312;300;2362;211;t0261
dolnoœl¹skie;Legnica;6750;273;2707;139;t0262
dolnoœl¹skie;Wroc³aw;79636;3382;29684;1749;t0264
dolnoœl¹skie;Wa³brzych;16148;792;4016;421;t0265
kujawsko-pomorskie;aleksandrowski;6403;558;1791;294;t0401
kujawsko-pomorskie;brodnicki;3456;403;991;196;t0402
kujawsko-pomorskie;bydgoski;2429;440;473;202;t0403
kujawsko-pomorskie;che³miñski;2370;157;643;87;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1668;101;505;76;t0405
kujawsko-pomorskie;grudzi¹dzki;813;84;138;43;t0406
kujawsko-pomorskie;inowroc³awski;7617;618;2426;438;t0407
kujawsko-pomorskie;lipnowski;3059;287;895;114;t0408
kujawsko-pomorskie;mogileñski;1552;106;474;67;t0409
kujawsko-pomorskie;nakielski;2039;207;615;124;t0410
kujawsko-pomorskie;radziejowski;2351;117;760;55;t0411
kujawsko-pomorskie;rypiñski;1685;184;493;97;t0412
kujawsko-pomorskie;sêpoleñski;3246;300;947;117;t0413
kujawsko-pomorskie;œwiecki;4271;457;1276;310;t0414
kujawsko-pomorskie;toruñski;2542;175;611;97;t0415
kujawsko-pomorskie;tucholski;1742;134;392;35;t0416
kujawsko-pomorskie;w¹brzeski;1611;177;292;77;t0417
kujawsko-pomorskie;w³oc³awski;2571;238;636;176;t0418
kujawsko-pomorskie;¿niñski;3027;209;949;105;t0419
kujawsko-pomorskie;Bydgoszcz;35874;1594;13595;1093;t0461
kujawsko-pomorskie;Grudzi¹dz;6215;207;2306;93;t0462
kujawsko-pomorskie;Toruñ;14635;541;5277;180;t0463
kujawsko-pomorskie;W³oc³awek;6022;390;2342;185;t0464
lubelskie;bialski;3614;207;693;136;t0601
lubelskie;bi³gorajski;3813;296;950;211;t0602
lubelskie;che³mski;1529;115;130;41;t0603
lubelskie;hrubieszowski;2951;283;724;112;t0604
lubelskie;janowski;3235;193;1062;156;t0605
lubelskie;krasnostawski;3689;237;1153;142;t0606
lubelskie;kraœnicki;4234;225;1206;152;t0607
lubelskie;lubartowski;4004;261;1413;143;t0608
lubelskie;lubelski;5269;537;1263;275;t0609
lubelskie;³êczyñski;3419;307;930;218;t0610
lubelskie;³ukowski;4192;327;1097;181;t0611
lubelskie;opolski;2471;231;645;114;t0612
lubelskie;parczewski;2408;160;683;52;t0613
lubelskie;pu³awski;8749;602;2916;254;t0614
lubelskie;radzyñski;3035;256;778;85;t0615
lubelskie;rycki;2883;372;679;252;t0616
lubelskie;œwidnicki;3126;170;929;128;t0617
lubelskie;tomaszowski;4191;252;1309;156;t0618
lubelskie;w³odawski;2603;182;787;110;t0619
lubelskie;zamojski;3423;278;702;159;t0620
lubelskie;Bia³a Podlaska;6438;229;2680;121;t0661
lubelskie;Che³m;4554;282;1629;143;t0662
lubelskie;Lublin;47096;2062;16019;1091;t0663
lubelskie;Zamoœæ;6142;381;1995;124;t0664
lubuskie;gorzowski;2192;313;390;121;t0801
lubuskie;kroœnieñski;2760;200;731;125;t0802
lubuskie;miêdzyrzecki;4620;208;1646;149;t0803
lubuskie;nowosolski;5021;389;1712;293;t0804
lubuskie;s³ubicki;2009;227;514;149;t0805
lubuskie;strzelecko-drezdenecki;2587;286;737;199;t0806
lubuskie;sulêciñski;1989;144;661;96;t0807
lubuskie;œwiebodziñski;4014;315;1352;223;t0808
lubuskie;zielonogórski;3759;354;1095;182;t0809
lubuskie;¿agañski;2504;310;690;200;t0810
lubuskie;¿arski;6541;645;2319;473;t0811
lubuskie;wschowski;1461;48;459;28;t0812
lubuskie;Gorzów Wielkopolski;8906;440;3144;248;t0861
lubuskie;Zielona Góra;11218;708;3142;539;t0862
³ódzkie;be³chatowski;5035;466;1636;248;t1001
³ódzkie;kutnowski;5170;361;1782;200;t1002
³ódzkie;³aski;1592;154;437;67;t1003
³ódzkie;³êczycki;3644;246;1182;88;t1004
