wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;10154;577;1290;0;t00
dolnoœl¹skie;boles³awiecki;15972;404;4735;0;t0201
dolnoœl¹skie;dzier¿oniowski;14043;297;3965;0;t0202
dolnoœl¹skie;g³ogowski;13197;450;3252;0;t0203
dolnoœl¹skie;górowski;4747;176;1339;2;t0204
dolnoœl¹skie;jaworski;8469;129;2397;0;t0205
dolnoœl¹skie;jeleniogórski;12388;529;3468;7;t0206
dolnoœl¹skie;kamiennogórski;5862;274;1801;6;t0207
dolnoœl¹skie;k³odzki;35385;747;10742;3;t0208
dolnoœl¹skie;legnicki;6260;369;1566;3;t0209
dolnoœl¹skie;lubañski;6296;161;1765;0;t0210
dolnoœl¹skie;lubiñski;27990;962;8117;3;t0211
dolnoœl¹skie;lwówecki;7855;149;2080;1;t0212
dolnoœl¹skie;milicki;7504;287;2267;0;t0213
dolnoœl¹skie;oleœnicki;12285;485;3269;0;t0214
dolnoœl¹skie;o³awski;14471;245;3981;25;t0215
dolnoœl¹skie;polkowicki;3774;112;1050;0;t0216
dolnoœl¹skie;strzeliñski;8097;234;2401;20;t0217
dolnoœl¹skie;œredzki;5693;147;1590;0;t0218
dolnoœl¹skie;œwidnicki;21602;431;6408;2;t0219
dolnoœl¹skie;trzebnicki;15675;459;4567;2;t0220
dolnoœl¹skie;wa³brzyski;8918;352;2716;0;t0221
dolnoœl¹skie;wo³owski;8635;125;2506;21;t0222
dolnoœl¹skie;wroc³awski;18004;613;4914;0;t0223
dolnoœl¹skie;z¹bkowicki;13174;193;3871;2;t0224
dolnoœl¹skie;zgorzelecki;14212;317;4733;0;t0225
dolnoœl¹skie;z³otoryjski;6983;142;1644;0;t0226
dolnoœl¹skie;Jelenia Góra;19861;569;5304;23;t0261
dolnoœl¹skie;Legnica;16315;412;4787;0;t0262
dolnoœl¹skie;Wroc³aw;212290;6129;62176;146;t0264
dolnoœl¹skie;Wa³brzych;64857;1627;16480;2;t0265
kujawsko-pomorskie;aleksandrowski;37556;745;10466;60;t0401
kujawsko-pomorskie;brodnicki;12846;411;3447;28;t0402
kujawsko-pomorskie;bydgoski;11751;354;3027;0;t0403
kujawsko-pomorskie;che³miñski;7481;222;1943;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;5977;150;1563;10;t0405
kujawsko-pomorskie;grudzi¹dzki;3348;36;918;0;t0406
kujawsko-pomorskie;inowroc³awski;24425;532;6696;1;t0407
kujawsko-pomorskie;lipnowski;10042;377;2702;0;t0408
kujawsko-pomorskie;mogileñski;5087;177;1360;2;t0409
kujawsko-pomorskie;nakielski;7372;156;1819;0;t0410
kujawsko-pomorskie;radziejowski;7188;154;1834;0;t0411
kujawsko-pomorskie;rypiñski;6624;220;1705;1;t0412
kujawsko-pomorskie;sêpoleñski;9339;142;2903;1;t0413
kujawsko-pomorskie;œwiecki;13884;431;4004;0;t0414
kujawsko-pomorskie;toruñski;9727;298;2920;64;t0415
kujawsko-pomorskie;tucholski;6427;59;1737;0;t0416
kujawsko-pomorskie;w¹brzeski;5526;87;1678;2;t0417
kujawsko-pomorskie;w³oc³awski;10428;360;3023;2;t0418
kujawsko-pomorskie;¿niñski;8998;269;2494;6;t0419
kujawsko-pomorskie;Bydgoszcz;91548;2996;25273;54;t0461
kujawsko-pomorskie;Grudzi¹dz;22342;269;4414;0;t0462
kujawsko-pomorskie;Toruñ;36530;1053;10422;44;t0463
kujawsko-pomorskie;W³oc³awek;15854;278;4403;0;t0464
lubelskie;bialski;15097;378;4539;2;t0601
lubelskie;bi³gorajski;13350;537;3708;5;t0602
lubelskie;che³mski;8099;257;2298;63;t0603
lubelskie;hrubieszowski;10734;249;3255;1;t0604
lubelskie;janowski;8608;374;2600;0;t0605
lubelskie;krasnostawski;9663;215;3042;0;t0606
lubelskie;kraœnicki;13945;327;4063;1;t0607
lubelskie;lubartowski;13219;287;3987;32;t0608
lubelskie;lubelski;19046;375;5740;3;t0609
lubelskie;³êczyñski;10349;382;2862;2;t0610
lubelskie;³ukowski;13779;426;4146;32;t0611
lubelskie;opolski;10238;343;2918;0;t0612
lubelskie;parczewski;7488;117;2370;1;t0613
lubelskie;pu³awski;24556;712;7064;1;t0614
lubelskie;radzyñski;9049;290;2919;0;t0615
lubelskie;rycki;13387;425;3604;1;t0616
lubelskie;œwidnicki;10077;198;3075;0;t0617
lubelskie;tomaszowski;12800;566;3738;6;t0618
lubelskie;w³odawski;9017;310;2552;0;t0619
lubelskie;zamojski;12823;368;3805;1;t0620
lubelskie;Bia³a Podlaska;17299;352;4316;22;t0661
lubelskie;Che³m;13689;449;3345;1;t0662
lubelskie;Lublin;127168;3471;38234;120;t0663
lubelskie;Zamoœæ;22188;812;4998;32;t0664
lubuskie;gorzowski;7964;225;2285;1;t0801
lubuskie;kroœnieñski;11017;431;2686;3;t0802
lubuskie;miêdzyrzecki;15257;474;3986;0;t0803
lubuskie;nowosolski;16968;465;4366;0;t0804
lubuskie;s³ubicki;7409;96;1911;13;t0805
lubuskie;strzelecko-drezdenecki;9002;197;2392;1;t0806
lubuskie;sulêciñski;5440;212;1564;0;t0807
lubuskie;œwiebodziñski;10487;386;3159;0;t0808
lubuskie;zielonogórski;17784;1522;3647;1;t0809
lubuskie;¿agañski;9871;272;2641;0;t0810
lubuskie;¿arski;21975;838;5123;2;t0811
