wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;14348;796;1417;44;t00
dolnoœl¹skie;boles³awiecki;18824;376;5093;30;t0201
dolnoœl¹skie;dzier¿oniowski;17251;191;4552;71;t0202
dolnoœl¹skie;g³ogowski;15833;389;3618;71;t0203
dolnoœl¹skie;górowski;6069;63;1594;12;t0204
dolnoœl¹skie;jaworski;10006;187;2639;0;t0205
dolnoœl¹skie;jeleniogórski;15516;256;4114;80;t0206
dolnoœl¹skie;kamiennogórski;7120;109;1999;37;t0207
dolnoœl¹skie;k³odzki;41038;897;12087;322;t0208
dolnoœl¹skie;legnicki;8073;209;1780;36;t0209
dolnoœl¹skie;lubañski;7350;170;2116;50;t0210
dolnoœl¹skie;lubiñski;36029;1063;8689;201;t0211
dolnoœl¹skie;lwówecki;9763;155;2349;0;t0212
dolnoœl¹skie;milicki;9255;134;2505;29;t0213
dolnoœl¹skie;oleœnicki;15717;225;3588;25;t0214
dolnoœl¹skie;o³awski;16926;370;4578;0;t0215
dolnoœl¹skie;polkowicki;5301;180;1265;51;t0216
dolnoœl¹skie;strzeliñski;10115;367;2776;88;t0217
dolnoœl¹skie;œredzki;6941;194;1922;19;t0218
dolnoœl¹skie;œwidnicki;25513;579;7095;146;t0219
dolnoœl¹skie;trzebnicki;19239;561;5292;124;t0220
dolnoœl¹skie;wa³brzyski;10731;267;2945;33;t0221
dolnoœl¹skie;wo³owski;9907;176;2682;16;t0222
dolnoœl¹skie;wroc³awski;23788;469;5847;240;t0223
dolnoœl¹skie;z¹bkowicki;15878;218;4318;90;t0224
dolnoœl¹skie;zgorzelecki;16258;310;5121;57;t0225
dolnoœl¹skie;z³otoryjski;8563;206;1901;60;t0226
dolnoœl¹skie;Jelenia Góra;24127;461;5828;49;t0261
dolnoœl¹skie;Legnica;19114;636;4957;51;t0262
dolnoœl¹skie;Wroc³aw;267284;5302;67321;461;t0264
