wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;235;0;1;0;t00
dolnoœl¹skie;boles³awiecki;4221;0;1048;0;t0201
dolnoœl¹skie;dzier¿oniowski;2945;66;512;63;t0202
dolnoœl¹skie;g³ogowski;2732;0;529;0;t0203
dolnoœl¹skie;górowski;563;90;0;0;t0204
dolnoœl¹skie;jaworski;1660;0;358;0;t0205
dolnoœl¹skie;jeleniogórski;1804;0;268;0;t0206
dolnoœl¹skie;kamiennogórski;1445;0;258;0;t0207
dolnoœl¹skie;k³odzki;8588;102;2078;100;t0208
dolnoœl¹skie;legnicki;472;0;0;0;t0209
dolnoœl¹skie;lubañski;1430;24;325;0;t0210
dolnoœl¹skie;lubiñski;6246;197;1640;68;t0211
dolnoœl¹skie;lwówecki;1610;0;517;0;t0212
dolnoœl¹skie;milicki;1554;0;261;0;t0213
dolnoœl¹skie;oleœnicki;2705;59;626;0;t0214
dolnoœl¹skie;o³awski;2665;0;607;0;t0215
dolnoœl¹skie;polkowicki;346;0;0;0;t0216
dolnoœl¹skie;strzeliñski;1196;0;110;0;t0217
dolnoœl¹skie;œredzki;613;0;0;0;t0218
dolnoœl¹skie;œwidnicki;5420;0;1681;0;t0219
dolnoœl¹skie;trzebnicki;3038;0;604;0;t0220
dolnoœl¹skie;wa³brzyski;1786;0;438;0;t0221
dolnoœl¹skie;wo³owski;1585;12;353;0;t0222
dolnoœl¹skie;wroc³awski;2062;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;2609;0;576;0;t0224
dolnoœl¹skie;zgorzelecki;4604;0;1607;0;t0225
dolnoœl¹skie;z³otoryjski;1183;0;427;0;t0226
dolnoœl¹skie;Jelenia Góra;4477;348;1344;346;t0261
dolnoœl¹skie;Legnica;4818;376;1637;376;t0262
dolnoœl¹skie;Wroc³aw;63057;2090;23159;1836;t0264
dolnoœl¹skie;Wa³brzych;10289;297;2521;0;t0265
kujawsko-pomorskie;aleksandrowski;2762;0;587;0;t0401
kujawsko-pomorskie;brodnicki;2188;0;516;0;t0402
kujawsko-pomorskie;bydgoski;1218;0;0;0;t0403
kujawsko-pomorskie;che³miñski;1619;0;334;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1252;12;411;0;t0405
kujawsko-pomorskie;grudzi¹dzki;533;0;85;0;t0406
kujawsko-pomorskie;inowroc³awski;5480;30;1529;0;t0407
kujawsko-pomorskie;lipnowski;2020;0;510;0;t0408
kujawsko-pomorskie;mogileñski;1025;0;200;0;t0409
kujawsko-pomorskie;nakielski;1390;0;345;0;t0410
kujawsko-pomorskie;radziejowski;1718;0;549;0;t0411
kujawsko-pomorskie;rypiñski;1095;0;307;0;t0412
kujawsko-pomorskie;sêpoleñski;1992;0;424;0;t0413
kujawsko-pomorskie;œwiecki;2768;0;448;0;t0414
kujawsko-pomorskie;toruñski;1689;0;340;0;t0415
kujawsko-pomorskie;tucholski;1188;0;344;0;t0416
kujawsko-pomorskie;w¹brzeski;962;0;164;0;t0417
kujawsko-pomorskie;w³oc³awski;1435;0;90;0;t0418
kujawsko-pomorskie;¿niñski;1890;0;438;0;t0419
kujawsko-pomorskie;Bydgoszcz;26630;48;8154;0;t0461
kujawsko-pomorskie;Grudzi¹dz;4813;0;1772;0;t0462
kujawsko-pomorskie;Toruñ;10854;161;3068;0;t0463
kujawsko-pomorskie;W³oc³awek;3808;0;766;0;t0464
lubelskie;bialski;2192;0;175;0;t0601
lubelskie;bi³gorajski;2526;0;385;0;t0602
lubelskie;che³mski;846;0;0;0;t0603
lubelskie;hrubieszowski;1925;0;476;0;t0604
lubelskie;janowski;2108;0;446;0;t0605
lubelskie;krasnostawski;2336;53;439;48;t0606
lubelskie;kraœnicki;2589;0;270;0;t0607
lubelskie;lubartowski;2556;211;597;207;t0608
lubelskie;lubelski;3144;0;439;0;t0609
lubelskie;³êczyñski;2210;0;602;0;t0610
lubelskie;³ukowski;2584;0;304;0;t0611
lubelskie;opolski;1730;0;426;0;t0612
lubelskie;parczewski;1810;0;521;0;t0613
lubelskie;pu³awski;6237;125;2046;91;t0614
lubelskie;radzyñski;2029;0;520;0;t0615
lubelskie;rycki;1725;0;286;0;t0616
lubelskie;œwidnicki;2075;0;259;0;t0617
lubelskie;tomaszowski;2718;96;587;93;t0618
lubelskie;w³odawski;1838;0;510;0;t0619
lubelskie;zamojski;2057;0;176;0;t0620
lubelskie;Bia³a Podlaska;4677;48;1394;48;t0661
lubelskie;Che³m;3299;78;1031;48;t0662
lubelskie;Lublin;34353;215;10802;170;t0663
lubelskie;Zamoœæ;4453;66;1355;36;t0664
lubuskie;gorzowski;1339;77;263;74;t0801
lubuskie;kroœnieñski;1870;24;423;24;t0802
lubuskie;miêdzyrzecki;2968;0;598;0;t0803
lubuskie;nowosolski;3481;84;973;82;t0804
lubuskie;s³ubicki;1239;0;336;0;t0805
lubuskie;strzelecko-drezdenecki;1480;0;321;0;t0806
lubuskie;sulêciñski;1409;0;414;0;t0807
lubuskie;œwiebodziñski;2734;29;715;0;t0808
lubuskie;zielonogórski;2243;0;339;0;t0809
lubuskie;¿agañski;1561;0;352;0;t0810
lubuskie;¿arski;4333;25;1126;25;t0811
lubuskie;wschowski;1039;0;345;0;t0812
lubuskie;Gorzów Wielkopolski;6510;79;1527;75;t0861
lubuskie;Zielona Góra;6884;84;1315;83;t0862
³ódzkie;be³chatowski;3431;54;808;54;t1001
³ódzkie;kutnowski;3225;108;529;107;t1002
³ódzkie;³aski;1046;0;262;0;t1003
³ódzkie;³êczycki;2277;0;467;0;t1004
³ódzkie;³owicki;5226;66;1054;58;t1005
³ódzkie;³ódzki wschodni;1068;0;101;0;t1006
³ódzkie;opoczyñski;1913;54;379;26;t1007
