wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;235;18;1;0;t00
dolnoœl¹skie;boles³awiecki;4203;304;1046;148;t0201
dolnoœl¹skie;dzier¿oniowski;2778;257;356;86;t0202
dolnoœl¹skie;g³ogowski;2575;241;452;75;t0203
dolnoœl¹skie;górowski;473;78;0;0;t0204
dolnoœl¹skie;jaworski;1612;130;330;1;t0205
dolnoœl¹skie;jeleniogórski;1737;153;266;42;t0206
dolnoœl¹skie;kamiennogórski;1445;137;258;87;t0207
dolnoœl¹skie;k³odzki;8233;654;1810;302;t0208
dolnoœl¹skie;legnicki;460;142;0;0;t0209
dolnoœl¹skie;lubañski;1340;125;283;48;t0210
dolnoœl¹skie;lubiñski;5599;267;1431;150;t0211
dolnoœl¹skie;lwówecki;1580;90;505;52;t0212
dolnoœl¹skie;milicki;1507;40;228;0;t0213
dolnoœl¹skie;oleœnicki;2476;232;504;122;t0214
dolnoœl¹skie;o³awski;2497;216;515;104;t0215
dolnoœl¹skie;polkowicki;316;34;0;0;t0216
dolnoœl¹skie;strzeliñski;1172;116;110;0;t0217
dolnoœl¹skie;œredzki;523;49;0;0;t0218
dolnoœl¹skie;œwidnicki;5294;360;1579;22;t0219
dolnoœl¹skie;trzebnicki;2888;233;463;100;t0220
dolnoœl¹skie;wa³brzyski;1690;101;438;48;t0221
dolnoœl¹skie;wo³owski;1496;113;303;60;t0222
dolnoœl¹skie;wroc³awski;2027;299;0;0;t0223
dolnoœl¹skie;z¹bkowicki;2610;124;576;18;t0224
dolnoœl¹skie;zgorzelecki;4372;189;1531;33;t0225
dolnoœl¹skie;z³otoryjski;1166;39;427;0;t0226
dolnoœl¹skie;Jelenia Góra;4119;201;998;103;t0261
dolnoœl¹skie;Legnica;4285;169;1140;104;t0262
dolnoœl¹skie;Wroc³aw;58880;3401;19895;2167;t0264
dolnoœl¹skie;Wa³brzych;9468;861;2352;252;t0265
kujawsko-pomorskie;aleksandrowski;2686;177;563;46;t0401
kujawsko-pomorskie;brodnicki;2136;151;488;71;t0402
kujawsko-pomorskie;bydgoski;1216;94;0;0;t0403
kujawsko-pomorskie;che³miñski;1530;107;333;10;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1216;84;411;4;t0405
kujawsko-pomorskie;grudzi¹dzki;533;18;85;0;t0406
kujawsko-pomorskie;inowroc³awski;5222;313;1378;179;t0407
kujawsko-pomorskie;lipnowski;1994;131;508;68;t0408
kujawsko-pomorskie;mogileñski;959;67;162;37;t0409
kujawsko-pomorskie;nakielski;1355;107;310;65;t0410
kujawsko-pomorskie;radziejowski;1652;173;509;118;t0411
kujawsko-pomorskie;rypiñski;1095;25;307;0;t0412
kujawsko-pomorskie;sêpoleñski;1944;131;406;34;t0413
kujawsko-pomorskie;œwiecki;2720;186;419;62;t0414
kujawsko-pomorskie;toruñski;1611;132;340;45;t0415
kujawsko-pomorskie;tucholski;1188;96;344;40;t0416
kujawsko-pomorskie;w¹brzeski;920;66;164;20;t0417
kujawsko-pomorskie;w³oc³awski;1421;123;90;0;t0418
kujawsko-pomorskie;¿niñski;1848;102;396;51;t0419
kujawsko-pomorskie;Bydgoszcz;25986;1272;7699;912;t0461
kujawsko-pomorskie;Grudzi¹dz;4795;323;1772;275;t0462
kujawsko-pomorskie;Toruñ;10224;441;2861;325;t0463
kujawsko-pomorskie;W³oc³awek;3740;453;698;375;t0464
lubelskie;bialski;2129;263;175;18;t0601
lubelskie;bi³gorajski;2457;190;329;4;t0602
lubelskie;che³mski;817;54;0;0;t0603
lubelskie;hrubieszowski;1847;106;435;24;t0604
lubelskie;janowski;1970;149;358;67;t0605
lubelskie;krasnostawski;2203;136;341;61;t0606
lubelskie;kraœnicki;2523;175;270;39;t0607
lubelskie;lubartowski;2208;76;252;0;t0608
lubelskie;lubelski;3029;275;418;78;t0609
lubelskie;³êczyñski;2204;166;602;78;t0610
lubelskie;³ukowski;2489;220;283;93;t0611
lubelskie;opolski;1710;131;415;39;t0612
lubelskie;parczewski;1602;178;433;87;t0613
lubelskie;pu³awski;5949;381;1890;181;t0614
lubelskie;radzyñski;1921;190;436;97;t0615
lubelskie;rycki;1682;142;250;38;t0616
lubelskie;œwidnicki;2033;139;235;38;t0617
lubelskie;tomaszowski;2502;238;392;71;t0618
lubelskie;w³odawski;1778;148;466;72;t0619
lubelskie;zamojski;1969;182;176;18;t0620
lubelskie;Bia³a Podlaska;4428;208;1254;154;t0661
lubelskie;Che³m;3119;208;904;131;t0662
lubelskie;Lublin;32933;1954;9855;1517;t0663
lubelskie;Zamoœæ;4321;233;1278;148;t0664
lubuskie;gorzowski;1239;42;172;0;t0801
lubuskie;kroœnieñski;1763;129;349;60;t0802
lubuskie;miêdzyrzecki;2957;108;598;42;t0803
lubuskie;nowosolski;3294;140;800;49;t0804
lubuskie;s³ubicki;1233;48;336;16;t0805
lubuskie;strzelecko-drezdenecki;1432;132;274;44;t0806
lubuskie;sulêciñski;1403;87;414;29;t0807
lubuskie;œwiebodziñski;2632;98;670;42;t0808
lubuskie;zielonogórski;2236;196;339;56;t0809
lubuskie;¿agañski;1519;136;316;47;t0810
lubuskie;¿arski;4157;198;959;96;t0811
lubuskie;wschowski;1003;41;343;29;t0812
lubuskie;Gorzów Wielkopolski;6214;208;1262;191;t0861
lubuskie;Zielona Góra;6653;221;1144;158;t0862
³ódzkie;be³chatowski;3284;178;717;73;t1001
³ódzkie;kutnowski;3078;154;392;33;t1002
³ódzkie;³aski;998;66;226;35;t1003
³ódzkie;³êczycki;2199;126;408;55;t1004
³ódzkie;³owicki;4933;311;896;89;t1005
³ódzkie;³ódzki wschodni;1062;36;101;0;t1006
³ódzkie;opoczyñski;1850;86;353;8;t1007
³ódzkie;pabianicki;3565;195;713;89;t1008
³ódzkie;pajêczañski;1069;76;267;6;t1009
³ódzkie;piotrkowski;999;102;85;0;t1010
³ódzkie;poddêbicki;1304;74;384;26;t1011
³ódzkie;radomszczañski;4634;219;1438;108;t1012
³ódzkie;rawski;1131;89;164;24;t1013
³ódzkie;sieradzki;4032;215;1121;119;t1014
³ódzkie;skierniewicki;376;67;0;0;t1015
³ódzkie;tomaszowski;3465;245;810;90;t1016
³ódzkie;wieluñski;2201;231;346;65;t1017
³ódzkie;wieruszowski;1177;36;165;0;t1018
³ódzkie;zduñskowolski;1853;163;426;71;t1019
³ódzkie;zgierski;6527;475;2226;267;t1020
³ódzkie;brzeziñski;1362;95;231;48;t1021
³ódzkie;£ódŸ;52998;2888;16089;1953;t1061
³ódzkie;Piotrków Trybunalski;3092;198;490;106;t1062
³ódzkie;Skierniewice;3016;171;742;68;t1063
ma³opolskie;bocheñski;2017;208;287;62;t1201
ma³opolskie;brzeski;2678;270;535;108;t1202
ma³opolskie;chrzanowski;4252;334;742;8;t1203
ma³opolskie;d¹browski;2054;108;611;48;t1204
ma³opolskie;gorlicki;3687;251;581;22;t1205
ma³opolskie;krakowski;3386;297;125;0;t1206
ma³opolskie;limanowski;3246;271;535;89;t1207
ma³opolskie;miechowski;2820;234;707;74;t1208
ma³opolskie;myœlenicki;2590;331;568;141;t1209
ma³opolskie;nowos¹decki;3125;271;255;41;t1210
ma³opolskie;nowotarski;5161;460;1132;165;t1211
ma³opolskie;olkuski;2794;225;506;115;t1212
ma³opolskie;oœwiêcimski;3359;138;689;0;t1213
ma³opolskie;proszowicki;1594;60;416;2;t1214
ma³opolskie;suski;3290;338;842;131;t1215
ma³opolskie;tarnowski;2440;284;69;37;t1216
ma³opolskie;tatrzañski;2357;59;602;6;t1217
ma³opolskie;wadowicki;2643;196;319;83;t1218
ma³opolskie;wielicki;1051;138;0;0;t1219
ma³opolskie;Kraków;62008;3560;16338;2114;t1261
ma³opolskie;Nowy S¹cz;2975;361;770;184;t1262
ma³opolskie;Tarnów;7214;462;2665;424;t1263
mazowieckie;bia³obrzeski;698;48;0;0;t1401
mazowieckie;ciechanowski;4555;375;917;189;t1402
