wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;299;52;1;0;t00
dolnoœl¹skie;boles³awiecki;4678;457;1311;263;t0201
dolnoœl¹skie;dzier¿oniowski;3138;180;514;1;t0202
dolnoœl¹skie;g³ogowski;2852;84;585;12;t0203
dolnoœl¹skie;górowski;599;12;0;0;t0204
dolnoœl¹skie;jaworski;1818;93;365;7;t0205
dolnoœl¹skie;jeleniogórski;2107;164;292;24;t0206
dolnoœl¹skie;kamiennogórski;1519;73;276;18;t0207
dolnoœl¹skie;k³odzki;9172;483;2262;183;t0208
dolnoœl¹skie;legnicki;540;50;0;0;t0209
dolnoœl¹skie;lubañski;1577;100;373;18;t0210
dolnoœl¹skie;lubiñski;6721;234;1917;106;t0211
dolnoœl¹skie;lwówecki;1769;159;535;18;t0212
dolnoœl¹skie;milicki;1649;89;261;0;t0213
dolnoœl¹skie;oleœnicki;2843;113;632;6;t0214
dolnoœl¹skie;o³awski;2956;249;731;124;t0215
dolnoœl¹skie;polkowicki;433;87;0;0;t0216
dolnoœl¹skie;strzeliñski;1286;72;110;0;t0217
dolnoœl¹skie;œredzki;680;57;2;2;t0218
dolnoœl¹skie;œwidnicki;5742;250;1681;0;t0219
dolnoœl¹skie;trzebnicki;3345;240;613;2;t0220
dolnoœl¹skie;wa³brzyski;1905;119;488;50;t0221
dolnoœl¹skie;wo³owski;1698;107;400;47;t0222
dolnoœl¹skie;wroc³awski;2304;188;18;18;t0223
dolnoœl¹skie;z¹bkowicki;2742;123;589;11;t0224
dolnoœl¹skie;zgorzelecki;4875;154;1662;55;t0225
dolnoœl¹skie;z³otoryjski;1243;42;427;0;t0226
dolnoœl¹skie;Jelenia Góra;5195;144;1843;2;t0261
dolnoœl¹skie;Legnica;5216;58;1967;0;t0262
dolnoœl¹skie;Wroc³aw;66824;1831;24574;336;t0264
dolnoœl¹skie;Wa³brzych;11383;556;2610;89;t0265
kujawsko-pomorskie;aleksandrowski;2961;163;588;1;t0401
kujawsko-pomorskie;brodnicki;2419;201;590;74;t0402
kujawsko-pomorskie;bydgoski;1454;176;18;0;t0403
kujawsko-pomorskie;che³miñski;1713;65;334;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1281;29;411;0;t0405
kujawsko-pomorskie;grudzi¹dzki;610;65;85;0;t0406
kujawsko-pomorskie;inowroc³awski;5914;406;1545;16;t0407
kujawsko-pomorskie;lipnowski;2176;122;511;0;t0408
kujawsko-pomorskie;mogileñski;1080;49;202;1;t0409
kujawsko-pomorskie;nakielski;1436;46;345;0;t0410
kujawsko-pomorskie;radziejowski;1860;109;561;12;t0411
kujawsko-pomorskie;rypiñski;1232;113;326;19;t0412
kujawsko-pomorskie;sêpoleñski;2097;89;422;0;t0413
kujawsko-pomorskie;œwiecki;3016;201;449;1;t0414
kujawsko-pomorskie;toruñski;1845;150;340;0;t0415
kujawsko-pomorskie;tucholski;1372;167;346;2;t0416
kujawsko-pomorskie;w¹brzeski;1152;155;164;0;t0417
kujawsko-pomorskie;w³oc³awski;1727;235;90;0;t0418
kujawsko-pomorskie;¿niñski;2021;125;438;0;t0419
kujawsko-pomorskie;Bydgoszcz;28331;874;9175;465;t0461
kujawsko-pomorskie;Grudzi¹dz;4932;100;1778;6;t0462
kujawsko-pomorskie;Toruñ;11637;558;3388;311;t0463
kujawsko-pomorskie;W³oc³awek;3890;76;768;0;t0464
lubelskie;bialski;2467;198;175;0;t0601
lubelskie;bi³gorajski;2761;217;391;6;t0602
lubelskie;che³mski;971;113;0;0;t0603
lubelskie;hrubieszowski;2153;131;522;0;t0604
lubelskie;janowski;2222;90;446;0;t0605
lubelskie;krasnostawski;2682;149;644;64;t0606
lubelskie;kraœnicki;2834;217;318;48;t0607
lubelskie;lubartowski;2820;206;710;101;t0608
lubelskie;lubelski;3429;236;451;12;t0609
lubelskie;³êczyñski;2411;171;615;12;t0610
lubelskie;³ukowski;2815;179;372;68;t0611
lubelskie;opolski;1852;78;427;0;t0612
lubelskie;parczewski;1899;53;532;0;t0613
lubelskie;pu³awski;6540;157;2072;0;t0614
