wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;494;70;1;0;t00
dolnoœl¹skie;boles³awiecki;5847;272;1792;123;t0201
dolnoœl¹skie;dzier¿oniowski;4414;188;1243;122;t0202
dolnoœl¹skie;g³ogowski;3561;90;1087;77;t0203
dolnoœl¹skie;górowski;927;36;120;30;t0204
dolnoœl¹skie;jaworski;2352;84;602;53;t0205
dolnoœl¹skie;jeleniogórski;2865;102;536;21;t0206
dolnoœl¹skie;kamiennogórski;2025;42;567;42;t0207
dolnoœl¹skie;k³odzki;12041;455;3741;195;t0208
dolnoœl¹skie;legnicki;729;24;12;12;t0209
dolnoœl¹skie;lubañski;2062;116;658;35;t0210
dolnoœl¹skie;lubiñski;8491;290;2536;150;t0211
dolnoœl¹skie;lwówecki;2129;59;622;0;t0212
dolnoœl¹skie;milicki;2214;54;566;41;t0213
dolnoœl¹skie;oleœnicki;3551;31;1136;6;t0214
dolnoœl¹skie;o³awski;3955;182;1040;0;t0215
dolnoœl¹skie;polkowicki;553;21;0;0;t0216
dolnoœl¹skie;strzeliñski;1740;158;156;42;t0217
dolnoœl¹skie;œredzki;1080;45;271;11;t0218
dolnoœl¹skie;œwidnicki;7025;236;2121;66;t0219
dolnoœl¹skie;trzebnicki;4752;267;1474;96;t0220
dolnoœl¹skie;wa³brzyski;2647;59;781;0;t0221
dolnoœl¹skie;wo³owski;2120;103;610;78;t0222
dolnoœl¹skie;wroc³awski;3156;60;326;60;t0223
dolnoœl¹skie;z¹bkowicki;3878;91;1363;33;t0224
dolnoœl¹skie;zgorzelecki;5800;138;2065;17;t0225
dolnoœl¹skie;z³otoryjski;1540;151;449;22;t0226
dolnoœl¹skie;Jelenia Góra;5980;131;2151;87;t0261
dolnoœl¹skie;Legnica;6477;249;2568;83;t0262
dolnoœl¹skie;Wroc³aw;76110;1837;27854;841;t0264
dolnoœl¹skie;Wa³brzych;15357;397;3595;263;t0265
kujawsko-pomorskie;aleksandrowski;5845;427;1497;259;t0401
kujawsko-pomorskie;brodnicki;3051;98;795;12;t0402
kujawsko-pomorskie;bydgoski;1989;21;271;11;t0403
kujawsko-pomorskie;che³miñski;2181;42;556;24;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1567;136;429;18;t0405
kujawsko-pomorskie;grudzi¹dzki;729;17;95;10;t0406
kujawsko-pomorskie;inowroc³awski;6998;207;1987;44;t0407
kujawsko-pomorskie;lipnowski;2744;103;755;42;t0408
kujawsko-pomorskie;mogileñski;1446;66;407;21;t0409
kujawsko-pomorskie;nakielski;1832;93;491;62;t0410
kujawsko-pomorskie;radziejowski;2234;59;705;41;t0411
kujawsko-pomorskie;rypiñski;1502;70;369;6;t0412
kujawsko-pomorskie;sêpoleñski;2943;87;830;37;t0413
kujawsko-pomorskie;œwiecki;3815;198;966;169;t0414
kujawsko-pomorskie;toruñski;2367;65;514;43;t0415
kujawsko-pomorskie;tucholski;1608;62;357;6;t0416
kujawsko-pomorskie;w¹brzeski;1433;76;215;29;t0417
kujawsko-pomorskie;w³oc³awski;2329;36;460;24;t0418
kujawsko-pomorskie;¿niñski;2818;120;844;30;t0419
kujawsko-pomorskie;Bydgoszcz;34237;1146;12468;412;t0461
kujawsko-pomorskie;Grudzi¹dz;6006;354;2213;11;t0462
kujawsko-pomorskie;Toruñ;14088;348;5097;234;t0463
kujawsko-pomorskie;W³oc³awek;5626;187;2152;145;t0464
lubelskie;bialski;3407;126;557;25;t0601
lubelskie;bi³gorajski;3517;125;739;24;t0602
lubelskie;che³mski;1414;0;89;0;t0603
lubelskie;hrubieszowski;2668;91;612;68;t0604
lubelskie;janowski;3039;18;906;18;t0605
lubelskie;krasnostawski;3451;86;1010;29;t0606
lubelskie;kraœnicki;4005;123;1054;116;t0607
lubelskie;lubartowski;3743;185;1270;148;t0608
lubelskie;lubelski;4731;208;988;112;t0609
lubelskie;³êczyñski;3112;65;712;17;t0610
lubelskie;³ukowski;3865;55;916;18;t0611
lubelskie;opolski;2240;0;531;0;t0612
lubelskie;parczewski;2248;52;631;12;t0613
lubelskie;pu³awski;8142;303;2662;208;t0614
lubelskie;radzyñski;2779;92;693;81;t0615
lubelskie;rycki;2511;40;427;0;t0616
lubelskie;œwidnicki;2955;144;800;119;t0617
lubelskie;tomaszowski;3938;82;1153;25;t0618
lubelskie;w³odawski;2419;0;677;0;t0619
lubelskie;zamojski;3145;179;543;97;t0620
lubelskie;Bia³a Podlaska;6209;137;2559;104;t0661
lubelskie;Che³m;4272;68;1486;6;t0662
lubelskie;Lublin;45035;1511;14928;610;t0663
lubelskie;Zamoœæ;5761;222;1871;75;t0664
lubuskie;gorzowski;1876;58;269;6;t0801
lubuskie;kroœnieñski;2560;17;606;15;t0802
lubuskie;miêdzyrzecki;4375;234;1460;74;t0803
lubuskie;nowosolski;4631;115;1419;79;t0804
lubuskie;s³ubicki;1782;48;365;12;t0805
lubuskie;strzelecko-drezdenecki;2301;123;538;9;t0806
lubuskie;sulêciñski;1845;127;565;123;t0807
lubuskie;œwiebodziñski;3699;180;1129;146;t0808
lubuskie;zielonogórski;3405;194;913;77;t0809
lubuskie;¿agañski;2194;128;490;43;t0810
lubuskie;¿arski;5894;188;1844;76;t0811
lubuskie;wschowski;1393;19;431;0;t0812
lubuskie;Gorzów Wielkopolski;8377;233;2807;94;t0861
lubuskie;Zielona Góra;10478;500;2591;362;t0862
³ódzkie;be³chatowski;4570;178;1388;96;t1001
³ódzkie;kutnowski;4784;83;1565;17;t1002
³ódzkie;³aski;1438;24;370;18;t1003
³ódzkie;³êczycki;3398;115;1094;48;t1004
³ódzkie;³owicki;7139;219;2043;147;t1005
³ódzkie;³ódzki wschodni;1589;48;146;45;t1006
³ódzkie;opoczyñski;2912;211;836;125;t1007
³ódzkie;pabianicki;5451;276;1608;93;t1008
³ódzkie;pajêczañski;1528;60;468;24;t1009
³ódzkie;piotrkowski;1653;24;262;24;t1010
³ódzkie;poddêbicki;1817;72;581;6;t1011
³ódzkie;radomszczañski;5954;72;2071;36;t1012
³ódzkie;rawski;1664;42;478;41;t1013
³ódzkie;sieradzki;5126;190;1692;184;t1014
³ódzkie;skierniewicki;592;0;0;0;t1015
³ódzkie;tomaszowski;5092;96;1504;78;t1016
³ódzkie;wieluñski;3186;126;716;125;t1017
³ódzkie;wieruszowski;1636;54;294;41;t1018
³ódzkie;zduñskowolski;2815;161;845;47;t1019
³ódzkie;zgierski;8379;208;3064;43;t1020
³ódzkie;brzeziñski;2455;122;514;66;t1021
³ódzkie;£ódŸ;73493;1670;26921;609;t1061
³ódzkie;Piotrków Trybunalski;5170;157;1779;85;t1062
³ódzkie;Skierniewice;4312;163;1427;104;t1063
ma³opolskie;bocheñski;2962;54;792;53;t1201
ma³opolskie;brzeski;3815;88;969;18;t1202
ma³opolskie;chrzanowski;5818;242;1435;155;t1203
ma³opolskie;d¹browski;2847;176;905;72;t1204
ma³opolskie;gorlicki;5680;197;1548;161;t1205
ma³opolskie;krakowski;5598;128;892;76;t1206
ma³opolskie;limanowski;4674;192;1226;77;t1207
ma³opolskie;miechowski;4107;260;1165;97;t1208
ma³opolskie;myœlenicki;3774;193;922;36;t1209
ma³opolskie;nowos¹decki;5151;207;905;141;t1210
ma³opolskie;nowotarski;7344;280;1948;92;t1211
ma³opolskie;olkuski;3920;290;1121;235;t1212
ma³opolskie;oœwiêcimski;4966;129;1442;17;t1213
ma³opolskie;proszowicki;2110;90;698;82;t1214
ma³opolskie;suski;4481;175;1149;82;t1215
ma³opolskie;tarnowski;4063;69;786;40;t1216
ma³opolskie;tatrzañski;3114;115;983;107;t1217
ma³opolskie;wadowicki;3846;96;971;96;t1218
ma³opolskie;wielicki;1884;94;335;38;t1219
ma³opolskie;Kraków;89436;2601;28965;1508;t1261
ma³opolskie;Nowy S¹cz;4008;102;1429;12;t1262
ma³opolskie;Tarnów;8803;209;3645;159;t1263
mazowieckie;bia³obrzeski;1269;48;285;24;t1401
mazowieckie;ciechanowski;6340;53;1887;27;t1402
mazowieckie;garwoliñski;3386;186;694;32;t1403
mazowieckie;gostyniñski;1970;90;549;59;t1404
mazowieckie;grodziski;7160;226;2557;127;t1405
mazowieckie;grójecki;4980;228;1465;54;t1406
mazowieckie;kozienicki;2314;194;460;133;t1407
mazowieckie;legionowski;2008;58;369;23;t1408
mazowieckie;lipski;1918;11;382;0;t1409
mazowieckie;³osicki;1115;57;177;5;t1410
mazowieckie;makowski;2275;139;410;11;t1411
mazowieckie;miñski;4587;95;1261;40;t1412
mazowieckie;m³awski;3236;49;900;18;t1413
mazowieckie;nowodworski;7677;193;3174;95;t1414
mazowieckie;ostro³êcki;2022;0;124;0;t1415
mazowieckie;ostrowski;3239;141;994;64;t1416
mazowieckie;otwocki;9650;203;3964;84;t1417
mazowieckie;piaseczyñski;10454;405;3319;199;t1418
mazowieckie;p³ocki;4049;172;1026;76;t1419
mazowieckie;p³oñski;3774;135;990;95;t1420
mazowieckie;pruszkowski;8061;387;3184;141;t1421
mazowieckie;przasnyski;3042;93;860;59;t1422
mazowieckie;przysuski;1621;103;362;11;t1423
mazowieckie;pu³tuski;3234;76;713;0;t1424
mazowieckie;radomski;3904;152;859;89;t1425
mazowieckie;siedlecki;1472;60;138;48;t1426
mazowieckie;sierpecki;2111;36;562;24;t1427
mazowieckie;sochaczewski;3135;179;1021;70;t1428
mazowieckie;soko³owski;2706;0;738;0;t1429
mazowieckie;szyd³owiecki;1168;35;275;10;t1430
mazowieckie;warszawski zachodni;4513;101;1355;83;t1432
mazowieckie;wêgrowski;2637;0;706;0;t1433
mazowieckie;wo³omiñski;9549;267;3366;81;t1434
mazowieckie;wyszkowski;4019;77;1148;76;t1435
mazowieckie;zwoleñski;1407;62;297;32;t1436
mazowieckie;¿uromiñski;1775;102;455;18;t1437
mazowieckie;¿yrardowski;3260;24;505;23;t1438
mazowieckie;Ostro³êka;5633;212;1546;70;t1461
mazowieckie;P³ock;9746;404;2385;323;t1462
mazowieckie;Radom;15381;573;4219;339;t1463
mazowieckie;Siedlce;6615;242;1902;191;t1464
mazowieckie;Warszawa;178657;4657;63437;1703;t1465
opolskie;brzeski;3756;126;880;32;t1601
opolskie;g³ubczycki;4532;133;1553;54;t1602
opolskie;kêdzierzyñsko-kozielski;4942;177;1578;86;t1603
opolskie;kluczborski;2940;58;978;24;t1604
opolskie;krapkowicki;3740;59;1199;36;t1605
opolskie;namys³owski;1760;100;491;51;t1606
opolskie;nyski;7232;131;2585;23;t1607
opolskie;oleski;2636;52;564;36;t1608
opolskie;opolski;3591;30;744;24;t1609
opolskie;prudnicki;3035;73;1082;8;t1610
opolskie;strzelecki;3666;18;1259;11;t1611
opolskie;Opole;17071;637;5590;356;t1661
podkarpackie;bieszczadzki;1010;30;264;0;t1801
podkarpackie;brzozowski;3953;23;1217;17;t1802
podkarpackie;dêbicki;4399;219;1282;126;t1803
podkarpackie;jaros³awski;3133;114;926;80;t1804
podkarpackie;jasielski;3807;144;671;137;t1805
podkarpackie;kolbuszowski;1673;102;336;0;t1806
podkarpackie;kroœnieñski;3067;36;392;35;t1807
podkarpackie;le¿ajski;2880;59;709;13;t1808
podkarpackie;lubaczowski;3641;8;1241;5;t1809
podkarpackie;³añcucki;3558;138;1056;54;t1810
podkarpackie;mielecki;4685;207;1000;62;t1811
podkarpackie;ni¿añski;2534;154;504;79;t1812
podkarpackie;przemyski;882;24;98;12;t1813
podkarpackie;przeworski;2586;114;622;100;t1814
podkarpackie;ropczycko-sêdziszowski;2509;165;515;78;t1815
podkarpackie;rzeszowski;4223;82;496;72;t1816
podkarpackie;sanocki;2313;60;639;23;t1817
podkarpackie;stalowowolski;6090;195;1707;164;t1818
podkarpackie;strzy¿owski;2239;67;409;12;t1819
podkarpackie;tarnobrzeski;1507;78;428;78;t1820
podkarpackie;leski;909;71;239;0;t1821
podkarpackie;Krosno;2965;69;1025;51;t1861
podkarpackie;Przemyœl;5223;122;1808;84;t1862
podkarpackie;Rzeszów;29954;1292;9550;930;t1863
podkarpackie;Tarnobrzeg;3851;102;1287;60;t1864
podlaskie;augustowski;2563;90;675;48;t2001
podlaskie;bia³ostocki;6704;260;1920;73;t2002
podlaskie;bielski;3310;174;712;106;t2003
podlaskie;grajewski;1594;23;412;10;t2004
podlaskie;hajnowski;3007;179;779;26;t2005
podlaskie;kolneñski;2048;128;448;5;t2006
podlaskie;³om¿yñski;491;0;23;0;t2007
podlaskie;moniecki;1867;78;357;48;t2008
podlaskie;sejneñski;1048;27;243;1;t2009
podlaskie;siemiatycki;1890;149;431;80;t2010
podlaskie;sokólski;2749;99;533;25;t2011
podlaskie;suwalski;446;0;0;0;t2012
podlaskie;wysokomazowiecki;3570;211;783;162;t2013
podlaskie;zambrowski;1406;88;396;37;t2014
podlaskie;Bia³ystok;30564;1323;10512;932;t2061
podlaskie;£om¿a;4113;160;1155;38;t2062
podlaskie;Suwa³ki;3780;106;1189;6;t2063
pomorskie;bytowski;5187;187;1394;65;t2201
pomorskie;chojnicki;3175;60;746;54;t2202
pomorskie;cz³uchowski;2596;162;777;30;t2203
pomorskie;gdañski;2528;52;541;30;t2204
pomorskie;kartuski;5581;84;1915;60;t2205
pomorskie;koœcierski;4577;74;1686;50;t2206
pomorskie;kwidzyñski;4055;194;1551;89;t2207
pomorskie;lêborski;3730;110;901;85;t2208
pomorskie;malborski;2911;48;829;45;t2209
pomorskie;nowodworski;1812;0;357;0;t2210
pomorskie;pucki;2863;138;764;21;t2211
pomorskie;s³upski;1943;18;356;10;t2212
pomorskie;starogardzki;6359;177;1995;145;t2213
pomorskie;tczewski;5917;62;2331;26;t2214
pomorskie;wejherowski;9231;302;3031;134;t2215
pomorskie;sztumski;2238;92;609;22;t2216
pomorskie;Gdañsk;52023;1298;19657;659;t2261
pomorskie;Gdynia;19904;558;6466;271;t2262
pomorskie;S³upsk;4261;207;1429;154;t2263
pomorskie;Sopot;3185;436;699;274;t2264
œl¹skie;bêdziñski;5591;34;2043;10;t2401
œl¹skie;bielski;4546;64;1069;18;t2402
œl¹skie;cieszyñski;9948;177;3181;94;t2403
œl¹skie;czêstochowski;3025;105;475;35;t2404
œl¹skie;gliwicki;7151;117;2386;114;t2405
œl¹skie;k³obucki;3526;0;1133;0;t2406
œl¹skie;lubliniecki;4005;127;1305;17;t2407
œl¹skie;miko³owski;4269;88;1559;88;t2408
œl¹skie;myszkowski;3548;99;1075;11;t2409
œl¹skie;pszczyñski;1739;24;252;6;t2410
œl¹skie;raciborski;5343;144;1556;31;t2411
œl¹skie;rybnicki;654;29;102;12;t2412
œl¹skie;tarnogórski;8844;289;2980;198;t2413
œl¹skie;bieruñsko-lêdziñski;1114;47;110;24;t2414
œl¹skie;wodzis³awski;4604;165;1173;126;t2415
œl¹skie;zawierciañski;3843;322;742;210;t2416
œl¹skie;¿ywiecki;5127;127;1291;108;t2417
œl¹skie;Bielsko-Bia³a;13215;108;5064;41;t2461
œl¹skie;Bytom;8153;311;2816;166;t2462
œl¹skie;Chorzów;9666;433;2372;306;t2463
œl¹skie;Czêstochowa;12740;561;4237;79;t2464
œl¹skie;D¹browa Górnicza;5827;19;2477;19;t2465
œl¹skie;Gliwice;10737;244;3563;124;t2466
œl¹skie;Jastrzêbie-Zdrój;6171;32;2665;0;t2467
œl¹skie;Jaworzno;3255;130;636;120;t2468
œl¹skie;Katowice;42453;994;14327;479;t2469
œl¹skie;Mys³owice;3233;88;589;30;t2470
œl¹skie;Piekary Œl¹skie;2640;130;983;12;t2471
œl¹skie;Ruda Œl¹ska;7927;190;2879;145;t2472
œl¹skie;Rybnik;4603;103;1675;6;t2473
œl¹skie;Siemianowice Œl¹skie;4595;328;1605;154;t2474
œl¹skie;Sosnowiec;8559;267;2780;47;t2475
œl¹skie;Œwiêtoch³owice;2777;76;926;24;t2476
œl¹skie;Tychy;8065;132;2874;22;t2477
œl¹skie;Zabrze;11486;376;4060;168;t2478
œl¹skie;¯ory;1927;100;502;62;t2479
œwiêtokrzyskie;buski;5152;71;1944;8;t2601
œwiêtokrzyskie;jêdrzejowski;2675;12;546;12;t2602
œwiêtokrzyskie;kazimierski;1313;0;351;0;t2603
œwiêtokrzyskie;kielecki;5414;125;1201;80;t2604
œwiêtokrzyskie;konecki;3942;120;1343;103;t2605
œwiêtokrzyskie;opatowski;1963;0;302;0;t2606
œwiêtokrzyskie;ostrowiecki;3752;185;682;167;t2607
œwiêtokrzyskie;piñczowski;1884;61;534;11;t2608
œwiêtokrzyskie;sandomierski;3895;136;927;56;t2609
œwiêtokrzyskie;skar¿yski;2715;98;804;70;t2610
œwiêtokrzyskie;starachowicki;3801;95;1344;88;t2611
œwiêtokrzyskie;staszowski;3033;33;811;11;t2612
œwiêtokrzyskie;w³oszczowski;2627;49;761;5;t2613
œwiêtokrzyskie;Kielce;21190;575;7574;390;t2661
warmiñsko-mazurskie;bartoszycki;3206;153;1073;35;t2801
warmiñsko-mazurskie;braniewski;1943;72;467;29;t2802
warmiñsko-mazurskie;dzia³dowski;2669;102;782;71;t2803
warmiñsko-mazurskie;elbl¹ski;1345;0;181;0;t2804
warmiñsko-mazurskie;e³cki;4011;183;968;77;t2805
warmiñsko-mazurskie;gi¿ycki;2256;82;616;18;t2806
warmiñsko-mazurskie;i³awski;3272;178;794;12;t2807
warmiñsko-mazurskie;kêtrzyñski;2424;90;774;89;t2808
warmiñsko-mazurskie;lidzbarski;2056;82;577;18;t2809
warmiñsko-mazurskie;mr¹gowski;1947;123;634;23;t2810
warmiñsko-mazurskie;nidzicki;2116;147;379;30;t2811
warmiñsko-mazurskie;nowomiejski;1651;19;496;0;t2812
warmiñsko-mazurskie;olecki;1480;20;439;0;t2813
warmiñsko-mazurskie;olsztyñski;5518;174;1563;21;t2814
warmiñsko-mazurskie;ostródzki;3894;125;1225;40;t2815
warmiñsko-mazurskie;piski;3984;191;1175;101;t2816
warmiñsko-mazurskie;szczycieñski;2863;116;655;48;t2817
warmiñsko-mazurskie;go³dapski;1011;73;192;42;t2818
warmiñsko-mazurskie;wêgorzewski;1410;30;499;0;t2819
warmiñsko-mazurskie;Elbl¹g;8650;231;2984;18;t2861
warmiñsko-mazurskie;Olsztyn;18633;778;5978;203;t2862
wielkopolskie;chodzieski;1932;216;362;3;t3001
wielkopolskie;czarnkowsko-trzcianecki;3946;109;1164;0;t3002
wielkopolskie;gnieŸnieñski;7045;272;2221;85;t3003
wielkopolskie;gostyñski;4144;30;1090;23;t3004
wielkopolskie;grodziski;1494;62;281;12;t3005
wielkopolskie;jarociñski;2543;60;643;30;t3006
wielkopolskie;kaliski;1800;12;263;0;t3007
wielkopolskie;kêpiñski;2200;54;539;14;t3008
wielkopolskie;kolski;2745;122;733;42;t3009
wielkopolskie;koniñski;2403;48;185;12;t3010
wielkopolskie;koœciañski;2805;168;1102;138;t3011
wielkopolskie;krotoszyñski;3416;151;896;67;t3012
wielkopolskie;leszczyñski;655;35;18;18;t3013
wielkopolskie;miêdzychodzki;2376;42;822;11;t3014
wielkopolskie;nowotomyski;2355;119;470;0;t3015
wielkopolskie;obornicki;3417;190;845;97;t3016
wielkopolskie;ostrowski;5343;152;1303;71;t3017
wielkopolskie;ostrzeszowski;2545;124;688;65;t3018
wielkopolskie;pilski;5011;126;1362;72;t3019
wielkopolskie;pleszewski;4780;156;1546;23;t3020
wielkopolskie;poznañski;6696;143;1615;69;t3021
wielkopolskie;rawicki;3113;106;1143;0;t3022
wielkopolskie;s³upecki;4428;133;1781;36;t3023
wielkopolskie;szamotulski;4874;202;1738;181;t3024
wielkopolskie;œredzki;2256;71;720;12;t3025
wielkopolskie;œremski;4075;120;1397;30;t3026
wielkopolskie;turecki;3011;131;844;40;t3027
wielkopolskie;w¹growiecki;1300;0;483;0;t3028
wielkopolskie;wolsztyñski;2571;117;794;0;t3029
wielkopolskie;wrzesiñski;1775;104;242;0;t3030
wielkopolskie;z³otowski;2376;164;530;86;t3031
wielkopolskie;Kalisz;6410;96;2409;52;t3061
wielkopolskie;Konin;4015;184;1266;35;t3062
wielkopolskie;Leszno;4332;123;1626;0;t3063
wielkopolskie;Poznañ;72646;1807;23439;544;t3064
zachodniopomorskie;bia³ogardzki;1678;71;421;71;t3201
zachodniopomorskie;choszczeñski;1950;138;460;32;t3202
zachodniopomorskie;drawski;2340;76;394;49;t3203
zachodniopomorskie;goleniowski;3648;48;999;6;t3204
zachodniopomorskie;gryficki;2829;221;409;74;t3205
zachodniopomorskie;gryfiñski;3376;173;1018;109;t3206
zachodniopomorskie;kamieñski;1731;47;347;44;t3207
zachodniopomorskie;ko³obrzeski;3982;60;870;29;t3208
zachodniopomorskie;koszaliñski;2123;0;472;0;t3209
zachodniopomorskie;myœliborski;2322;161;721;36;t3210
zachodniopomorskie;policki;1904;43;450;12;t3211
zachodniopomorskie;pyrzycki;1483;60;394;42;t3212
zachodniopomorskie;s³awieñski;2113;59;634;14;t3213
zachodniopomorskie;stargardzki;3614;140;712;18;t3214
zachodniopomorskie;szczecinecki;4319;115;1283;24;t3215
zachodniopomorskie;œwidwiñski;1392;0;474;0;t3216
zachodniopomorskie;wa³ecki;2100;116;641;29;t3217
zachodniopomorskie;³obeski;821;30;165;0;t3218
zachodniopomorskie;Koszalin;7133;81;2468;5;t3261
zachodniopomorskie;Szczecin;43124;752;13293;282;t3262
zachodniopomorskie;Œwinoujœcie;2684;77;958;44;t3263
Ca³y kraj;;2230117;68964;691380;31941;t0000
