wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;3304;29;658;8;t00
dolnoœl¹skie;boles³awiecki;9025;43;3399;0;t0201
dolnoœl¹skie;dzier¿oniowski;7829;80;3006;0;t0202
dolnoœl¹skie;g³ogowski;7440;5;2379;4;t0203
dolnoœl¹skie;górowski;2159;0;811;0;t0204
dolnoœl¹skie;jaworski;4332;0;1592;0;t0205
dolnoœl¹skie;jeleniogórski;5897;149;2065;0;t0206
dolnoœl¹skie;kamiennogórski;3547;0;1357;0;t0207
dolnoœl¹skie;k³odzki;19911;20;7701;0;t0208
dolnoœl¹skie;legnicki;2417;3;866;0;t0209
dolnoœl¹skie;lubañski;3609;0;1247;0;t0210
dolnoœl¹skie;lubiñski;15058;124;5360;4;t0211
dolnoœl¹skie;lwówecki;3769;10;1304;0;t0212
dolnoœl¹skie;milicki;4083;20;1463;0;t0213
dolnoœl¹skie;oleœnicki;6882;0;2499;0;t0214
dolnoœl¹skie;o³awski;7415;41;2477;0;t0215
dolnoœl¹skie;polkowicki;1610;10;533;0;t0216
dolnoœl¹skie;strzeliñski;3785;29;1176;29;t0217
dolnoœl¹skie;œredzki;2359;0;767;0;t0218
dolnoœl¹skie;œwidnicki;12556;35;4415;0;t0219
dolnoœl¹skie;trzebnicki;8127;128;2988;0;t0220
dolnoœl¹skie;wa³brzyski;4500;1;1876;1;t0221
dolnoœl¹skie;wo³owski;4415;19;1560;0;t0222
dolnoœl¹skie;wroc³awski;7933;0;2577;0;t0223
dolnoœl¹skie;z¹bkowicki;6777;30;2438;0;t0224
dolnoœl¹skie;zgorzelecki;8983;0;3540;0;t0225
dolnoœl¹skie;z³otoryjski;3212;105;1013;0;t0226
dolnoœl¹skie;Jelenia Góra;10282;78;3733;0;t0261
dolnoœl¹skie;Legnica;10111;211;3558;0;t0262
dolnoœl¹skie;Wroc³aw;124528;963;44480;57;t0264
dolnoœl¹skie;Wa³brzych;29977;632;11223;7;t0265
kujawsko-pomorskie;aleksandrowski;16068;281;7533;16;t0401
kujawsko-pomorskie;brodnicki;6426;48;2099;0;t0402
kujawsko-pomorskie;bydgoski;4796;0;1633;0;t0403
kujawsko-pomorskie;che³miñski;3997;0;1526;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;2956;0;999;0;t0405
kujawsko-pomorskie;grudzi¹dzki;1610;0;611;0;t0406
kujawsko-pomorskie;inowroc³awski;13165;191;4661;0;t0407
kujawsko-pomorskie;lipnowski;5279;44;1834;0;t0408
kujawsko-pomorskie;mogileñski;3013;40;979;3;t0409
kujawsko-pomorskie;nakielski;4046;66;1195;0;t0410
kujawsko-pomorskie;radziejowski;3665;3;1363;0;t0411
kujawsko-pomorskie;rypiñski;3312;0;903;0;t0412
kujawsko-pomorskie;sêpoleñski;5339;20;1898;0;t0413
kujawsko-pomorskie;œwiecki;7222;39;2780;0;t0414
kujawsko-pomorskie;toruñski;5236;0;1821;0;t0415
kujawsko-pomorskie;tucholski;3541;60;1185;0;t0416
kujawsko-pomorskie;w¹brzeski;3114;0;1056;0;t0417
kujawsko-pomorskie;w³oc³awski;4892;0;1842;0;t0418
kujawsko-pomorskie;¿niñski;4980;71;1768;36;t0419
kujawsko-pomorskie;Bydgoszcz;53061;680;20054;28;t0461
kujawsko-pomorskie;Grudzi¹dz;9518;0;3320;0;t0462
kujawsko-pomorskie;Toruñ;22741;309;8393;0;t0463
kujawsko-pomorskie;W³oc³awek;9263;85;3376;0;t0464
lubelskie;bialski;7510;10;2579;0;t0601
lubelskie;bi³gorajski;7254;0;2636;0;t0602
lubelskie;che³mski;3465;1;1294;0;t0603
lubelskie;hrubieszowski;5582;0;1836;0;t0604
lubelskie;janowski;5265;50;2013;0;t0605
lubelskie;krasnostawski;5869;56;2250;0;t0606
lubelskie;kraœnicki;7264;74;2813;0;t0607
lubelskie;lubartowski;6962;30;2486;0;t0608
lubelskie;lubelski;9644;30;3341;0;t0609
lubelskie;³êczyñski;5584;0;2075;0;t0610
lubelskie;³ukowski;7761;70;2541;0;t0611
lubelskie;opolski;5001;0;1702;0;t0612
lubelskie;parczewski;4038;0;1544;0;t0613
lubelskie;pu³awski;13240;56;5032;5;t0614
lubelskie;radzyñski;5283;0;1934;0;t0615
lubelskie;rycki;6256;50;1931;0;t0616
lubelskie;œwidnicki;5574;29;2114;0;t0617
lubelskie;tomaszowski;7011;0;2479;0;t0618
lubelskie;w³odawski;4616;30;1617;0;t0619
lubelskie;zamojski;6335;0;2422;0;t0620
lubelskie;Bia³a Podlaska;9219;87;3602;0;t0661
lubelskie;Che³m;7512;98;2471;0;t0662
lubelskie;Lublin;74575;1044;27418;25;t0663
lubelskie;Zamoœæ;10028;66;3404;0;t0664
lubuskie;gorzowski;4110;26;1372;0;t0801
lubuskie;kroœnieñski;5110;1;1811;1;t0802
lubuskie;miêdzyrzecki;7323;0;2629;0;t0803
lubuskie;nowosolski;8307;10;2995;0;t0804
lubuskie;s³ubicki;3477;0;1209;0;t0805
lubuskie;strzelecko-drezdenecki;4408;50;1539;0;t0806
lubuskie;sulêciñski;3151;50;1135;0;t0807
lubuskie;œwiebodziñski;5920;0;2312;0;t0808
lubuskie;zielonogórski;6559;0;2373;0;t0809
lubuskie;¿agañski;4661;0;1660;0;t0810
lubuskie;¿arski;10581;40;3768;0;t0811
lubuskie;wschowski;2438;0;781;0;t0812
lubuskie;Gorzów Wielkopolski;14396;139;5314;0;t0861
lubuskie;Zielona Góra;18143;254;7477;24;t0862
³ódzkie;be³chatowski;8045;55;3008;0;t1001
³ódzkie;kutnowski;8813;148;3417;17;t1002
³ódzkie;³aski;3206;50;1015;0;t1003
³ódzkie;³êczycki;6009;38;2147;0;t1004
³ódzkie;³owicki;12096;166;4578;3;t1005
³ódzkie;³ódzki wschodni;3078;0;1202;0;t1006
³ódzkie;opoczyñski;5799;42;1956;0;t1007
³ódzkie;pabianicki;10044;158;3338;0;t1008
³ódzkie;pajêczañski;2956;0;1011;0;t1009
³ódzkie;piotrkowski;3846;0;1422;0;t1010
³ódzkie;poddêbicki;3172;0;1223;0;t1011
³ódzkie;radomszczañski;9981;1;3883;0;t1012
³ódzkie;rawski;3173;12;1234;0;t1013
³ódzkie;sieradzki;8768;0;3369;0;t1014
³ódzkie;skierniewicki;1809;5;632;2;t1015
³ódzkie;tomaszowski;9794;0;3134;0;t1016
³ódzkie;wieluñski;6882;0;2337;0;t1017
³ódzkie;wieruszowski;3536;0;1273;0;t1018
³ódzkie;zduñskowolski;5387;59;1858;0;t1019
³ódzkie;zgierski;13405;116;4818;1;t1020
³ódzkie;brzeziñski;5005;102;1754;1;t1021
³ódzkie;£ódŸ;116987;798;47315;244;t1061
³ódzkie;Piotrków Trybunalski;9323;103;3093;28;t1062
³ódzkie;Skierniewice;7695;121;2661;0;t1063
ma³opolskie;bocheñski;6012;83;2109;0;t1201
ma³opolskie;brzeski;7752;40;2616;0;t1202
ma³opolskie;chrzanowski;11240;26;3941;19;t1203
ma³opolskie;d¹browski;4906;70;1714;0;t1204
ma³opolskie;gorlicki;11143;57;4251;36;t1205
ma³opolskie;krakowski;11898;46;4466;6;t1206
ma³opolskie;limanowski;8961;99;3254;0;t1207
ma³opolskie;miechowski;7615;0;2691;0;t1208
ma³opolskie;myœlenicki;8099;112;2610;0;t1209
ma³opolskie;nowos¹decki;11439;98;4063;0;t1210
ma³opolskie;nowotarski;13864;147;5180;0;t1211
ma³opolskie;olkuski;7763;0;2743;0;t1212
ma³opolskie;oœwiêcimski;10095;79;3455;2;t1213
ma³opolskie;proszowicki;3735;0;1377;0;t1214
ma³opolskie;suski;7918;120;3108;0;t1215
ma³opolskie;tarnowski;8349;0;3156;0;t1216
ma³opolskie;tatrzañski;5330;52;2085;0;t1217
ma³opolskie;wadowicki;7982;87;2689;0;t1218
ma³opolskie;wielicki;4157;65;1401;1;t1219
ma³opolskie;Kraków;151139;1941;53617;341;t1261
ma³opolskie;Nowy S¹cz;7650;207;2402;0;t1262
ma³opolskie;Tarnów;13825;86;4904;1;t1263
mazowieckie;bia³obrzeski;2721;0;963;0;t1401
mazowieckie;ciechanowski;11521;62;4145;0;t1402
mazowieckie;garwoliñski;7039;73;2351;0;t1403
mazowieckie;gostyniñski;3737;0;1350;0;t1404
mazowieckie;grodziski;11772;143;4118;0;t1405
mazowieckie;grójecki;8821;105;3080;1;t1406
mazowieckie;kozienicki;4503;0;1745;0;t1407
mazowieckie;legionowski;4474;0;1523;0;t1408
mazowieckie;lipski;4019;9;1372;0;t1409
mazowieckie;³osicki;2457;42;799;0;t1410
mazowieckie;makowski;4482;0;1614;0;t1411
mazowieckie;miñski;9939;83;2983;12;t1412
mazowieckie;m³awski;6519;61;2295;0;t1413
mazowieckie;nowodworski;10809;127;4233;0;t1414
mazowieckie;ostro³êcki;5272;0;1848;0;t1415
mazowieckie;ostrowski;6054;30;2000;0;t1416
mazowieckie;otwocki;13598;106;5597;0;t1417
mazowieckie;piaseczyñski;17246;131;6316;0;t1418
mazowieckie;p³ocki;7466;0;2870;0;t1419
mazowieckie;p³oñski;7006;10;2558;0;t1420
mazowieckie;pruszkowski;12489;65;4440;0;t1421
mazowieckie;przasnyski;5213;19;1943;0;t1422
mazowieckie;przysuski;3512;20;1196;0;t1423
mazowieckie;pu³tuski;6003;0;2099;0;t1424
mazowieckie;radomski;7437;49;2811;0;t1425
mazowieckie;siedlecki;3636;0;1283;0;t1426
mazowieckie;sierpecki;4345;0;1529;0;t1427
mazowieckie;sochaczewski;5603;0;1883;0;t1428
mazowieckie;soko³owski;5603;19;1917;0;t1429
mazowieckie;szyd³owiecki;2036;0;842;0;t1430
mazowieckie;warszawski zachodni;8263;0;2942;0;t1432
mazowieckie;wêgrowski;5619;0;1977;0;t1433
mazowieckie;wo³omiñski;16431;0;5872;0;t1434
mazowieckie;wyszkowski;7413;62;2881;53;t1435
mazowieckie;zwoleñski;2850;0;993;0;t1436
mazowieckie;¿uromiñski;3593;40;1204;0;t1437
mazowieckie;¿yrardowski;6390;1;2311;0;t1438
mazowieckie;Ostro³êka;10795;270;3502;0;t1461
mazowieckie;P³ock;18091;274;7052;29;t1462
mazowieckie;Radom;28203;439;10439;2;t1463
mazowieckie;Siedlce;14076;328;4273;0;t1464
mazowieckie;Warszawa;297382;3218;109217;653;t1465
opolskie;brzeski;7530;49;2648;0;t1601
opolskie;g³ubczycki;6308;0;2693;0;t1602
opolskie;kêdzierzyñsko-kozielski;8962;63;3250;6;t1603
opolskie;kluczborski;5369;0;1914;0;t1604
opolskie;krapkowicki;6250;0;2404;0;t1605
