wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;424;0;1;0;t00
dolnoœl¹skie;boles³awiecki;5575;281;1669;0;t0201
dolnoœl¹skie;dzier¿oniowski;4225;60;1120;0;t0202
dolnoœl¹skie;g³ogowski;3471;16;1010;6;t0203
dolnoœl¹skie;górowski;891;0;90;0;t0204
dolnoœl¹skie;jaworski;2267;100;549;0;t0205
dolnoœl¹skie;jeleniogórski;2763;40;515;0;t0206
dolnoœl¹skie;kamiennogórski;1983;99;525;0;t0207
dolnoœl¹skie;k³odzki;11584;182;3546;70;t0208
dolnoœl¹skie;legnicki;705;0;0;0;t0209
dolnoœl¹skie;lubañski;1946;100;623;90;t0210
dolnoœl¹skie;lubiñski;8201;130;2386;0;t0211
dolnoœl¹skie;lwówecki;2070;50;622;0;t0212
dolnoœl¹skie;milicki;2138;18;525;0;t0213
dolnoœl¹skie;oleœnicki;3520;0;1130;0;t0214
dolnoœl¹skie;o³awski;3773;199;1040;0;t0215
dolnoœl¹skie;polkowicki;532;8;0;0;t0216
dolnoœl¹skie;strzeliñski;1582;30;114;0;t0217
dolnoœl¹skie;œredzki;1038;9;262;0;t0218
dolnoœl¹skie;œwidnicki;6788;147;2055;0;t0219
dolnoœl¹skie;trzebnicki;4442;186;1336;81;t0220
dolnoœl¹skie;wa³brzyski;2588;0;781;0;t0221
dolnoœl¹skie;wo³owski;2011;75;529;0;t0222
dolnoœl¹skie;wroc³awski;3099;66;265;0;t0223
dolnoœl¹skie;z¹bkowicki;3784;38;1330;0;t0224
dolnoœl¹skie;zgorzelecki;5662;0;2048;0;t0225
dolnoœl¹skie;z³otoryjski;1389;4;427;0;t0226
dolnoœl¹skie;Jelenia Góra;5849;4;2064;0;t0261
dolnoœl¹skie;Legnica;6225;94;2485;0;t0262
dolnoœl¹skie;Wroc³aw;74271;1055;27013;347;t0264
dolnoœl¹skie;Wa³brzych;14952;462;3328;226;t0265
kujawsko-pomorskie;aleksandrowski;5417;255;1237;94;t0401
kujawsko-pomorskie;brodnicki;2949;52;780;0;t0402
kujawsko-pomorskie;bydgoski;1968;10;260;0;t0403
kujawsko-pomorskie;che³miñski;2139;41;532;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1431;0;411;0;t0405
kujawsko-pomorskie;grudzi¹dzki;712;0;85;0;t0406
kujawsko-pomorskie;inowroc³awski;6792;93;1943;0;t0407
kujawsko-pomorskie;lipnowski;2641;66;713;0;t0408
kujawsko-pomorskie;mogileñski;1380;0;386;0;t0409
kujawsko-pomorskie;nakielski;1734;30;429;0;t0410
kujawsko-pomorskie;radziejowski;2175;60;664;0;t0411
kujawsko-pomorskie;rypiñski;1432;0;363;0;t0412
kujawsko-pomorskie;sêpoleñski;2857;51;771;0;t0413
kujawsko-pomorskie;œwiecki;3617;0;797;0;t0414
kujawsko-pomorskie;toruñski;2266;0;470;0;t0415
kujawsko-pomorskie;tucholski;1546;0;351;0;t0416
kujawsko-pomorskie;w¹brzeski;1357;0;186;0;t0417
kujawsko-pomorskie;w³oc³awski;2293;0;436;0;t0418
kujawsko-pomorskie;¿niñski;2698;57;814;0;t0419
kujawsko-pomorskie;Bydgoszcz;33039;508;12038;343;t0461
kujawsko-pomorskie;Grudzi¹dz;5628;122;2202;30;t0462
kujawsko-pomorskie;Toruñ;13741;210;4865;0;t0463
kujawsko-pomorskie;W³oc³awek;5437;36;2007;21;t0464
lubelskie;bialski;3281;80;532;54;t0601
lubelskie;bi³gorajski;3392;0;715;0;t0602
lubelskie;che³mski;1414;0;89;0;t0603
lubelskie;hrubieszowski;2576;70;544;6;t0604
lubelskie;janowski;3021;98;888;0;t0605
lubelskie;krasnostawski;3363;130;980;63;t0606
lubelskie;kraœnicki;3882;48;938;48;t0607
lubelskie;lubartowski;3558;0;1122;0;t0608
lubelskie;lubelski;4523;29;876;0;t0609
lubelskie;³êczyñski;3048;92;695;0;t0610
lubelskie;³ukowski;3810;12;898;0;t0611
lubelskie;opolski;2240;0;531;0;t0612
lubelskie;parczewski;2196;30;619;0;t0613
lubelskie;pu³awski;7841;69;2454;24;t0614
lubelskie;radzyñski;2687;0;612;0;t0615
lubelskie;rycki;2471;24;427;12;t0616
lubelskie;œwidnicki;2811;73;681;73;t0617
lubelskie;tomaszowski;3856;106;1128;5;t0618
lubelskie;w³odawski;2419;50;677;0;t0619
lubelskie;zamojski;2966;30;446;0;t0620
lubelskie;Bia³a Podlaska;6051;63;2455;0;t0661
lubelskie;Che³m;4204;145;1480;0;t0662
lubelskie;Lublin;43521;1073;14317;417;t0663
lubelskie;Zamoœæ;5538;78;1796;0;t0664
lubuskie;gorzowski;1818;3;263;0;t0801
lubuskie;kroœnieñski;2542;31;590;1;t0802
lubuskie;miêdzyrzecki;4141;2;1386;0;t0803
lubuskie;nowosolski;4515;0;1340;0;t0804
lubuskie;s³ubicki;1734;95;353;0;t0805
lubuskie;strzelecko-drezdenecki;2178;50;529;0;t0806
lubuskie;sulêciñski;1718;50;442;0;t0807
