wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;247;12;1;0;t00
dolnoœl¹skie;boles³awiecki;4221;0;1048;0;t0201
dolnoœl¹skie;dzier¿oniowski;2958;12;513;0;t0202
dolnoœl¹skie;g³ogowski;2768;36;535;0;t0203
dolnoœl¹skie;górowski;587;24;0;0;t0204
dolnoœl¹skie;jaworski;1725;65;358;0;t0205
dolnoœl¹skie;jeleniogórski;1939;78;268;0;t0206
dolnoœl¹skie;kamiennogórski;1445;0;258;0;t0207
dolnoœl¹skie;k³odzki;8683;83;2078;0;t0208
dolnoœl¹skie;legnicki;490;18;0;0;t0209
dolnoœl¹skie;lubañski;1477;47;355;30;t0210
dolnoœl¹skie;lubiñski;6488;182;1811;118;t0211
dolnoœl¹skie;lwówecki;1610;0;517;0;t0212
dolnoœl¹skie;milicki;1560;6;261;0;t0213
dolnoœl¹skie;oleœnicki;2730;24;626;0;t0214
dolnoœl¹skie;o³awski;2707;42;607;0;t0215
dolnoœl¹skie;polkowicki;346;0;0;0;t0216
dolnoœl¹skie;strzeliñski;1214;18;110;0;t0217
dolnoœl¹skie;œredzki;623;10;0;0;t0218
dolnoœl¹skie;œwidnicki;5492;72;1681;0;t0219
dolnoœl¹skie;trzebnicki;3105;66;611;6;t0220
dolnoœl¹skie;wa³brzyski;1786;0;438;0;t0221
dolnoœl¹skie;wo³owski;1591;6;353;0;t0222
dolnoœl¹skie;wroc³awski;2116;54;0;0;t0223
dolnoœl¹skie;z¹bkowicki;2619;5;578;0;t0224
dolnoœl¹skie;zgorzelecki;4721;117;1607;0;t0225
dolnoœl¹skie;z³otoryjski;1201;18;427;0;t0226
dolnoœl¹skie;Jelenia Góra;5051;144;1841;73;t0261
dolnoœl¹skie;Legnica;5158;17;1967;8;t0262
dolnoœl¹skie;Wroc³aw;64990;901;24238;288;t0264
dolnoœl¹skie;Wa³brzych;10809;284;2521;0;t0265
kujawsko-pomorskie;aleksandrowski;2798;36;587;0;t0401
kujawsko-pomorskie;brodnicki;2218;30;516;0;t0402
kujawsko-pomorskie;bydgoski;1272;53;18;18;t0403
kujawsko-pomorskie;che³miñski;1648;29;334;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1252;0;411;0;t0405
kujawsko-pomorskie;grudzi¹dzki;545;12;85;0;t0406
kujawsko-pomorskie;inowroc³awski;5508;24;1529;0;t0407
kujawsko-pomorskie;lipnowski;2031;12;510;0;t0408
kujawsko-pomorskie;mogileñski;1031;7;201;1;t0409
kujawsko-pomorskie;nakielski;1390;0;345;0;t0410
kujawsko-pomorskie;radziejowski;1751;33;549;0;t0411
kujawsko-pomorskie;rypiñski;1119;24;307;0;t0412
kujawsko-pomorskie;sêpoleñski;2008;18;422;0;t0413
kujawsko-pomorskie;œwiecki;2815;47;448;0;t0414
kujawsko-pomorskie;toruñski;1695;6;340;0;t0415
