wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;87;54;1;0;t00
dolnoœl¹skie;boles³awiecki;2543;216;176;1;t0201
dolnoœl¹skie;dzier¿oniowski;1751;203;63;2;t0202
dolnoœl¹skie;g³ogowski;1523;236;142;48;t0203
dolnoœl¹skie;górowski;268;55;0;0;t0204
dolnoœl¹skie;jaworski;939;93;90;1;t0205
dolnoœl¹skie;jeleniogórski;932;161;87;40;t0206
dolnoœl¹skie;kamiennogórski;1008;54;80;1;t0207
dolnoœl¹skie;k³odzki;5023;425;373;1;t0208
dolnoœl¹skie;legnicki;128;50;0;0;t0209
dolnoœl¹skie;lubañski;829;63;28;28;t0210
dolnoœl¹skie;lubiñski;3619;552;419;112;t0211
dolnoœl¹skie;lwówecki;1027;66;210;0;t0212
dolnoœl¹skie;milicki;992;122;72;0;t0213
dolnoœl¹skie;oleœnicki;1503;157;80;1;t0214
dolnoœl¹skie;o³awski;1505;144;107;2;t0215
dolnoœl¹skie;polkowicki;149;78;0;0;t0216
dolnoœl¹skie;strzeliñski;850;88;111;2;t0217
dolnoœl¹skie;œredzki;196;42;0;0;t0218
dolnoœl¹skie;œwidnicki;3314;381;877;216;t0219
dolnoœl¹skie;trzebnicki;2045;171;167;58;t0220
dolnoœl¹skie;wa³brzyski;996;49;85;0;t0221
dolnoœl¹skie;wo³owski;878;148;58;0;t0222
dolnoœl¹skie;wroc³awski;1110;204;0;0;t0223
dolnoœl¹skie;z¹bkowicki;1814;113;268;0;t0224
dolnoœl¹skie;zgorzelecki;3049;125;772;6;t0225
dolnoœl¹skie;z³otoryjski;768;155;228;103;t0226
dolnoœl¹skie;Jelenia Góra;2863;261;329;71;t0261
dolnoœl¹skie;Legnica;3136;101;481;7;t0262
dolnoœl¹skie;Wroc³aw;37604;2680;7447;1375;t0264
dolnoœl¹skie;Wa³brzych;5213;476;1198;140;t0265
kujawsko-pomorskie;aleksandrowski;1756;120;255;0;t0401
kujawsko-pomorskie;brodnicki;1271;152;198;24;t0402
kujawsko-pomorskie;bydgoski;675;194;0;0;t0403
kujawsko-pomorskie;che³miñski;935;153;210;67;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;855;173;335;91;t0405
kujawsko-pomorskie;grudzi¹dzki;294;85;53;5;t0406
kujawsko-pomorskie;inowroc³awski;3024;338;401;163;t0407
kujawsko-pomorskie;lipnowski;1207;103;236;54;t0408
kujawsko-pomorskie;mogileñski;719;96;116;27;t0409
kujawsko-pomorskie;nakielski;780;132;45;0;t0410
kujawsko-pomorskie;radziejowski;1099;90;311;61;t0411
kujawsko-pomorskie;rypiñski;803;34;221;0;t0412
kujawsko-pomorskie;sêpoleñski;1203;116;193;28;t0413
kujawsko-pomorskie;œwiecki;1536;254;36;0;t0414
kujawsko-pomorskie;toruñski;930;159;129;34;t0415
kujawsko-pomorskie;tucholski;618;84;109;21;t0416
kujawsko-pomorskie;w¹brzeski;468;90;54;28;t0417
kujawsko-pomorskie;w³oc³awski;813;120;0;0;t0418
kujawsko-pomorskie;¿niñski;1245;140;145;42;t0419
kujawsko-pomorskie;Bydgoszcz;17512;1258;2586;301;t0461
kujawsko-pomorskie;Grudzi¹dz;3236;229;654;3;t0462
kujawsko-pomorskie;Toruñ;7320;365;1188;114;t0463
kujawsko-pomorskie;W³oc³awek;2772;257;298;77;t0464
lubelskie;bialski;1092;180;65;24;t0601
lubelskie;bi³gorajski;1458;269;154;2;t0602
lubelskie;che³mski;349;62;0;0;t0603
lubelskie;hrubieszowski;1031;184;191;60;t0604
lubelskie;janowski;1348;102;171;0;t0605
lubelskie;krasnostawski;1377;189;67;67;t0606
lubelskie;kraœnicki;1465;196;84;0;t0607
lubelskie;lubartowski;1610;160;85;1;t0608
lubelskie;lubelski;1770;422;137;65;t0609
lubelskie;³êczyñski;1314;229;251;64;t0610
lubelskie;³ukowski;1678;160;44;44;t0611
lubelskie;opolski;1048;108;184;3;t0612
lubelskie;parczewski;974;69;171;2;t0613
lubelskie;pu³awski;3709;330;634;134;t0614
lubelskie;radzyñski;1128;226;128;103;t0615
lubelskie;rycki;932;158;122;25;t0616
lubelskie;œwidnicki;1241;205;72;48;t0617
lubelskie;tomaszowski;1709;143;266;59;t0618
lubelskie;w³odawski;1144;132;195;60;t0619
lubelskie;zamojski;1005;232;56;25;t0620
lubelskie;Bia³a Podlaska;3418;211;625;78;t0661
lubelskie;Che³m;2145;141;353;46;t0662
lubelskie;Lublin;21117;1380;3081;410;t0663
lubelskie;Zamoœæ;2654;197;479;28;t0664
lubuskie;gorzowski;608;75;78;25;t0801
lubuskie;kroœnieñski;1002;87;75;1;t0802
lubuskie;miêdzyrzecki;2059;182;292;69;t0803
lubuskie;nowosolski;2121;279;257;0;t0804
lubuskie;s³ubicki;754;98;155;2;t0805
lubuskie;strzelecko-drezdenecki;910;108;140;31;t0806
lubuskie;sulêciñski;880;178;160;81;t0807
lubuskie;œwiebodziñski;1684;197;185;1;t0808
lubuskie;zielonogórski;1496;191;168;7;t0809
lubuskie;¿agañski;839;155;113;0;t0810
lubuskie;¿arski;2659;398;421;63;t0811
lubuskie;wschowski;670;114;211;84;t0812
lubuskie;Gorzów Wielkopolski;4391;217;441;65;t0861
lubuskie;Zielona Góra;3900;446;556;0;t0862
³ódzkie;be³chatowski;2185;204;408;13;t1001
³ódzkie;kutnowski;1898;174;154;1;t1002
³ódzkie;³aski;584;104;61;0;t1003
³ódzkie;³êczycki;1524;145;173;62;t1004
³ódzkie;³owicki;3004;354;336;82;t1005
³ódzkie;³ódzki wschodni;639;127;0;0;t1006
³ódzkie;opoczyñski;1112;104;108;0;t1007
³ódzkie;pabianicki;2266;270;236;30;t1008
³ódzkie;pajêczañski;618;77;90;46;t1009
³ódzkie;piotrkowski;495;67;85;5;t1010
³ódzkie;poddêbicki;828;139;93;59;t1011
³ódzkie;radomszczañski;3291;361;896;167;t1012
³ódzkie;rawski;606;90;0;0;t1013
³ódzkie;sieradzki;2610;151;583;42;t1014
³ódzkie;skierniewicki;122;12;0;0;t1015
³ódzkie;tomaszowski;2181;159;278;1;t1016
³ódzkie;wieluñski;1301;244;55;2;t1017
³ódzkie;wieruszowski;768;182;74;0;t1018
³ódzkie;zduñskowolski;1214;77;162;0;t1019
³ódzkie;zgierski;4741;382;1482;238;t1020
³ódzkie;brzeziñski;811;173;36;0;t1021
³ódzkie;£ódŸ;35314;2810;6132;1406;t1061
³ódzkie;Piotrków Trybunalski;2186;174;178;35;t1062
³ódzkie;Skierniewice;1917;122;237;1;t1063
ma³opolskie;bocheñski;1295;227;182;45;t1201
ma³opolskie;brzeski;1677;173;196;7;t1202
ma³opolskie;chrzanowski;2231;362;306;74;t1203
ma³opolskie;d¹browski;1415;94;328;31;t1204
ma³opolskie;gorlicki;2029;295;90;0;t1205
ma³opolskie;krakowski;1978;368;119;17;t1206
ma³opolskie;limanowski;1928;222;161;58;t1207
ma³opolskie;miechowski;1805;199;354;80;t1208
ma³opolskie;myœlenicki;1304;156;54;0;t1209
ma³opolskie;nowos¹decki;1674;427;89;0;t1210
ma³opolskie;nowotarski;3142;438;383;35;t1211
ma³opolskie;olkuski;1648;236;37;0;t1212
ma³opolskie;oœwiêcimski;2322;271;245;22;t1213
ma³opolskie;proszowicki;1125;135;241;4;t1214
ma³opolskie;suski;1949;267;374;116;t1215
ma³opolskie;tarnowski;1352;273;0;0;t1216
ma³opolskie;tatrzañski;1500;180;265;95;t1217
ma³opolskie;wadowicki;1731;297;128;21;t1218
ma³opolskie;wielicki;558;85;0;0;t1219
ma³opolskie;Kraków;40119;3457;5224;693;t1261
ma³opolskie;Nowy S¹cz;1785;145;164;3;t1262
ma³opolskie;Tarnów;5189;425;1134;253;t1263
mazowieckie;bia³obrzeski;413;69;0;0;t1401
mazowieckie;ciechanowski;2931;353;384;118;t1402
mazowieckie;garwoliñski;1144;193;0;0;t1403
mazowieckie;gostyniñski;779;95;0;0;t1404
mazowieckie;grodziski;3189;191;380;77;t1405
mazowieckie;grójecki;2343;292;379;68;t1406
mazowieckie;kozienicki;894;155;160;0;t1407
mazowieckie;legionowski;807;125;87;0;t1408
mazowieckie;lipski;714;119;36;17;t1409
mazowieckie;³osicki;427;94;84;36;t1410
mazowieckie;makowski;851;115;0;0;t1411
mazowieckie;miñski;1922;200;196;71;t1412
mazowieckie;m³awski;1504;198;273;48;t1413
mazowieckie;nowodworski;3943;364;504;200;t1414
mazowieckie;ostro³êcki;664;189;0;0;t1415
mazowieckie;ostrowski;1463;232;124;48;t1416
mazowieckie;otwocki;2648;200;242;89;t1417
mazowieckie;piaseczyñski;4666;395;223;141;t1418
mazowieckie;p³ocki;1454;195;1;0;t1419
mazowieckie;p³oñski;1702;236;153;42;t1420
mazowieckie;pruszkowski;3767;205;263;29;t1421
mazowieckie;przasnyski;1407;155;263;3;t1422
mazowieckie;przysuski;733;81;164;0;t1423
mazowieckie;pu³tuski;1258;132;121;1;t1424
mazowieckie;radomski;1669;339;145;0;t1425
mazowieckie;siedlecki;347;102;0;0;t1426
mazowieckie;sierpecki;956;115;181;11;t1427
mazowieckie;sochaczewski;1742;48;669;0;t1428
mazowieckie;soko³owski;1119;92;210;0;t1429
mazowieckie;szyd³owiecki;511;119;41;1;t1430
mazowieckie;warszawski zachodni;1959;227;37;7;t1432
mazowieckie;wêgrowski;1098;114;179;60;t1433
mazowieckie;wo³omiñski;4246;301;395;107;t1434
mazowieckie;wyszkowski;1791;237;100;4;t1435
mazowieckie;zwoleñski;494;74;74;0;t1436
mazowieckie;¿uromiñski;794;65;239;0;t1437
mazowieckie;¿yrardowski;1079;176;76;0;t1438
mazowieckie;Ostro³êka;2339;174;421;18;t1461
mazowieckie;P³ock;3460;467;270;13;t1462
mazowieckie;Radom;5940;699;539;28;t1463
mazowieckie;Siedlce;2834;263;507;81;t1464
mazowieckie;Warszawa;83545;5573;13147;1554;t1465
opolskie;brzeski;1645;257;261;0;t1601
opolskie;g³ubczycki;2366;439;308;81;t1602
opolskie;kêdzierzyñsko-kozielski;2182;166;324;25;t1603
opolskie;kluczborski;1377;135;142;89;t1604
opolskie;krapkowicki;1922;211;490;70;t1605
opolskie;namys³owski;711;95;87;34;t1606
opolskie;nyski;4345;522;1206;102;t1607
opolskie;oleski;1069;173;27;0;t1608
opolskie;opolski;1378;221;107;5;t1609
opolskie;prudnicki;1495;101;265;24;t1610
opolskie;strzelecki;2213;231;634;155;t1611
opolskie;Opole;7941;804;1348;272;t1661
podkarpackie;bieszczadzki;391;48;81;21;t1801
podkarpackie;brzozowski;1641;131;139;0;t1802
podkarpackie;dêbicki;2103;189;591;30;t1803
podkarpackie;jaros³awski;1414;189;187;1;t1804
podkarpackie;jasielski;1412;390;76;0;t1805
podkarpackie;kolbuszowski;615;60;223;37;t1806
podkarpackie;kroœnieñski;889;240;0;0;t1807
podkarpackie;le¿ajski;1222;157;161;0;t1808
podkarpackie;lubaczowski;1669;162;137;67;t1809
podkarpackie;³añcucki;1569;157;240;1;t1810
podkarpackie;mielecki;1726;223;153;28;t1811
podkarpackie;ni¿añski;1031;272;233;149;t1812
podkarpackie;przemyski;246;78;0;0;t1813
podkarpackie;przeworski;1127;171;163;1;t1814
podkarpackie;ropczycko-sêdziszowski;1016;199;153;6;t1815
podkarpackie;rzeszowski;1468;403;142;0;t1816
podkarpackie;sanocki;1097;160;247;41;t1817
podkarpackie;stalowowolski;2574;269;320;144;t1818
podkarpackie;strzy¿owski;768;140;51;3;t1819
podkarpackie;tarnobrzeski;618;100;79;23;t1820
podkarpackie;leski;471;35;189;0;t1821
podkarpackie;Krosno;1330;163;108;1;t1861
podkarpackie;Przemyœl;2580;357;319;143;t1862
podkarpackie;Rzeszów;12141;896;1233;308;t1863
podkarpackie;Tarnobrzeg;1664;114;121;0;t1864
podlaskie;augustowski;1143;96;252;0;t2001
podlaskie;bia³ostocki;2811;240;179;0;t2002
podlaskie;bielski;1184;178;151;0;t2003
podlaskie;grajewski;810;118;257;83;t2004
podlaskie;hajnowski;1387;163;315;81;t2005
podlaskie;kolneñski;921;122;300;50;t2006
podlaskie;³om¿yñski;92;38;0;0;t2007
podlaskie;moniecki;572;67;73;0;t2008
podlaskie;sejneñski;483;60;82;0;t2009
podlaskie;siemiatycki;687;113;84;18;t2010
podlaskie;sokólski;962;176;105;53;t2011
podlaskie;suwalski;114;42;0;0;t2012
podlaskie;wysokomazowiecki;1254;192;86;0;t2013
podlaskie;zambrowski;707;41;269;0;t2014
podlaskie;Bia³ystok;14959;1200;2308;278;t2061
podlaskie;£om¿a;1998;252;283;139;t2062
podlaskie;Suwa³ki;1635;139;197;26;t2063
pomorskie;bytowski;2569;374;590;157;t2201
pomorskie;chojnicki;1157;120;140;6;t2202
pomorskie;cz³uchowski;979;42;95;0;t2203
pomorskie;gdañski;982;226;80;41;t2204
pomorskie;kartuski;2719;208;271;6;t2205
pomorskie;koœcierski;2376;108;410;4;t2206
pomorskie;kwidzyñski;2003;103;327;65;t2207
pomorskie;lêborski;1609;210;88;28;t2208
pomorskie;malborski;1521;209;345;0;t2209
pomorskie;nowodworski;729;95;83;0;t2210
pomorskie;pucki;979;104;137;0;t2211
pomorskie;s³upski;581;101;0;0;t2212
pomorskie;starogardzki;2752;299;180;102;t2213
pomorskie;tczewski;3096;329;639;263;t2214
pomorskie;wejherowski;4356;315;812;134;t2215
pomorskie;sztumski;969;78;207;26;t2216
pomorskie;Gdañsk;25494;1499;4835;569;t2261
pomorskie;Gdynia;8897;743;1475;348;t2262
pomorskie;S³upsk;1963;163;541;0;t2263
pomorskie;Sopot;757;178;215;107;t2264
œl¹skie;bêdziñski;2564;115;133;0;t2401
œl¹skie;bielski;1930;261;285;85;t2402
œl¹skie;cieszyñski;4845;536;644;142;t2403
œl¹skie;czêstochowski;1042;221;75;18;t2404
œl¹skie;gliwicki;3427;432;602;198;t2405
œl¹skie;k³obucki;1747;187;291;89;t2406
œl¹skie;lubliniecki;1650;124;77;0;t2407
œl¹skie;miko³owski;1987;198;87;52;t2408
œl¹skie;myszkowski;1749;185;313;48;t2409
œl¹skie;pszczyñski;495;99;0;0;t2410
œl¹skie;raciborski;2359;256;469;58;t2411
œl¹skie;rybnicki;190;24;0;0;t2412
œl¹skie;tarnogórski;3988;348;315;122;t2413
œl¹skie;bieruñsko-lêdziñski;292;78;0;0;t2414
œl¹skie;wodzis³awski;1715;280;41;41;t2415
œl¹skie;zawierciañski;1512;264;84;2;t2416
œl¹skie;¿ywiecki;2230;379;174;6;t2417
œl¹skie;Bielsko-Bia³a;7273;718;1550;548;t2461
œl¹skie;Bytom;4122;397;311;4;t2462
œl¹skie;Chorzów;3782;423;448;203;t2463
œl¹skie;Czêstochowa;6031;495;819;29;t2464
œl¹skie;D¹browa Górnicza;3775;430;1121;324;t2465
œl¹skie;Gliwice;5621;692;898;226;t2466
œl¹skie;Jastrzêbie-Zdrój;4657;530;1903;487;t2467
œl¹skie;Jaworzno;1093;257;73;4;t2468
œl¹skie;Katowice;20351;1904;3536;670;t2469
œl¹skie;Mys³owice;1147;185;81;19;t2470
œl¹skie;Piekary Œl¹skie;1362;72;244;48;t2471
œl¹skie;Ruda Œl¹ska;3766;228;475;1;t2472
œl¹skie;Rybnik;2189;126;361;84;t2473
œl¹skie;Siemianowice Œl¹skie;2179;156;190;0;t2474
œl¹skie;Sosnowiec;3542;255;59;0;t2475
œl¹skie;Œwiêtoch³owice;1188;91;0;0;t2476
œl¹skie;Tychy;3868;234;469;9;t2477
œl¹skie;Zabrze;5713;423;1029;88;t2478
œl¹skie;¯ory;828;90;163;0;t2479
œwiêtokrzyskie;buski;3064;263;879;161;t2601
œwiêtokrzyskie;jêdrzejowski;1079;188;114;0;t2602
œwiêtokrzyskie;kazimierski;594;91;90;48;t2603
œwiêtokrzyskie;kielecki;2027;322;212;27;t2604
œwiêtokrzyskie;konecki;1903;148;142;4;t2605
œwiêtokrzyskie;opatowski;935;133;128;62;t2606
œwiêtokrzyskie;ostrowiecki;1139;207;59;1;t2607
œwiêtokrzyskie;piñczowski;841;34;170;0;t2608
œwiêtokrzyskie;sandomierski;1717;336;336;82;t2609
œwiêtokrzyskie;skar¿yski;1172;136;158;3;t2610
œwiêtokrzyskie;starachowicki;1780;173;187;68;t2611
œwiêtokrzyskie;staszowski;1466;172;322;0;t2612
œwiêtokrzyskie;w³oszczowski;1117;156;81;36;t2613
œwiêtokrzyskie;Kielce;9986;777;1492;220;t2661
warmiñsko-mazurskie;bartoszycki;1434;83;169;48;t2801
warmiñsko-mazurskie;braniewski;621;78;0;0;t2802
warmiñsko-mazurskie;dzia³dowski;1064;77;112;42;t2803
warmiñsko-mazurskie;elbl¹ski;568;187;180;89;t2804
warmiñsko-mazurskie;e³cki;1971;64;146;0;t2805
warmiñsko-mazurskie;gi¿ycki;873;77;106;0;t2806
warmiñsko-mazurskie;i³awski;1274;167;180;2;t2807
warmiñsko-mazurskie;kêtrzyñski;1067;124;76;34;t2808
warmiñsko-mazurskie;lidzbarski;874;96;174;7;t2809
warmiñsko-mazurskie;mr¹gowski;818;126;116;58;t2810
warmiñsko-mazurskie;nidzicki;756;109;127;59;t2811
warmiñsko-mazurskie;nowomiejski;731;57;69;0;t2812
warmiñsko-mazurskie;olecki;664;84;96;42;t2813
warmiñsko-mazurskie;olsztyñski;2156;219;284;40;t2814
warmiñsko-mazurskie;ostródzki;1779;154;274;7;t2815
warmiñsko-mazurskie;piski;1623;167;203;58;t2816
warmiñsko-mazurskie;szczycieñski;1176;190;231;25;t2817
warmiñsko-mazurskie;go³dapski;401;22;66;0;t2818
warmiñsko-mazurskie;wêgorzewski;753;90;100;0;t2819
warmiñsko-mazurskie;Elbl¹g;4066;339;489;111;t2861
warmiñsko-mazurskie;Olsztyn;9720;606;1578;376;t2862
wielkopolskie;chodzieski;901;129;240;1;t3001
wielkopolskie;czarnkowsko-trzcianecki;1647;126;256;59;t3002
wielkopolskie;gnieŸnieñski;3181;250;358;5;t3003
wielkopolskie;gostyñski;1960;230;230;26;t3004
wielkopolskie;grodziski;645;162;151;41;t3005
wielkopolskie;jarociñski;1162;247;201;1;t3006
wielkopolskie;kaliski;382;106;0;0;t3007
wielkopolskie;kêpiñski;909;136;169;29;t3008
wielkopolskie;kolski;1031;99;51;0;t3009
wielkopolskie;koniñski;675;150;0;0;t3010
wielkopolskie;koœciañski;1333;102;101;48;t3011
wielkopolskie;krotoszyñski;1342;214;250;86;t3012
wielkopolskie;leszczyñski;136;65;0;0;t3013
wielkopolskie;miêdzychodzki;1210;96;364;84;t3014
wielkopolskie;nowotomyski;677;47;85;0;t3015
wielkopolskie;obornicki;1390;226;193;0;t3016
wielkopolskie;ostrowski;2199;308;344;0;t3017
wielkopolskie;ostrzeszowski;1125;119;111;8;t3018
wielkopolskie;pilski;2294;231;318;30;t3019
wielkopolskie;pleszewski;2592;226;660;4;t3020
wielkopolskie;poznañski;2563;328;101;0;t3021
wielkopolskie;rawicki;1667;36;348;0;t3022
wielkopolskie;s³upecki;2730;83;798;0;t3023
wielkopolskie;szamotulski;2483;199;220;112;t3024
wielkopolskie;œredzki;1191;108;334;54;t3025
wielkopolskie;œremski;2489;353;826;101;t3026
wielkopolskie;turecki;1294;176;97;0;t3027
wielkopolskie;w¹growiecki;744;60;146;28;t3028
wielkopolskie;wolsztyñski;1247;204;166;88;t3029
wielkopolskie;wrzesiñski;539;51;38;0;t3030
wielkopolskie;z³otowski;1045;136;154;44;t3031
wielkopolskie;Kalisz;3387;269;415;229;t3061
wielkopolskie;Konin;1704;212;275;73;t3062
wielkopolskie;Leszno;2122;164;223;96;t3063
wielkopolskie;Poznañ;35544;3115;6136;1364;t3064
