wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;3603;0;715;0;t00
dolnoœl¹skie;boles³awiecki;9190;169;3399;0;t0201
dolnoœl¹skie;dzier¿oniowski;8016;195;3021;16;t0202
dolnoœl¹skie;g³ogowski;7462;41;2391;12;t0203
dolnoœl¹skie;górowski;2189;30;817;6;t0204
dolnoœl¹skie;jaworski;4332;0;1592;0;t0205
dolnoœl¹skie;jeleniogórski;5912;65;2088;23;t0206
dolnoœl¹skie;kamiennogórski;3576;32;1357;0;t0207
dolnoœl¹skie;k³odzki;20153;314;7779;85;t0208
dolnoœl¹skie;legnicki;2414;0;871;0;t0209
dolnoœl¹skie;lubañski;3717;108;1265;18;t0210
dolnoœl¹skie;lubiñski;15374;324;5370;13;t0211
dolnoœl¹skie;lwówecki;3786;18;1316;12;t0212
dolnoœl¹skie;milicki;4145;66;1463;0;t0213
dolnoœl¹skie;oleœnicki;6972;94;2498;0;t0214
dolnoœl¹skie;o³awski;7535;120;2481;6;t0215
dolnoœl¹skie;polkowicki;1632;22;533;0;t0216
dolnoœl¹skie;strzeliñski;4406;88;1589;7;t0217
dolnoœl¹skie;œredzki;2380;36;767;0;t0218
dolnoœl¹skie;œwidnicki;12684;131;4436;23;t0219
dolnoœl¹skie;trzebnicki;8395;272;3055;69;t0220
dolnoœl¹skie;wa³brzyski;4680;103;1891;15;t0221
dolnoœl¹skie;wo³owski;4474;48;1560;1;t0222
dolnoœl¹skie;wroc³awski;8108;191;2619;42;t0223
dolnoœl¹skie;z¹bkowicki;6836;27;2464;12;t0224
dolnoœl¹skie;zgorzelecki;9109;127;3545;6;t0225
dolnoœl¹skie;z³otoryjski;3299;91;1045;32;t0226
dolnoœl¹skie;Jelenia Góra;10494;152;3750;13;t0261
dolnoœl¹skie;Legnica;10233;132;3578;20;t0262
dolnoœl¹skie;Wroc³aw;126250;1561;44604;114;t0264
dolnoœl¹skie;Wa³brzych;30859;891;11309;97;t0265
kujawsko-pomorskie;aleksandrowski;20023;417;7556;25;t0401
kujawsko-pomorskie;brodnicki;6496;66;2112;11;t0402
kujawsko-pomorskie;bydgoski;4827;48;1633;0;t0403
kujawsko-pomorskie;che³miñski;4077;85;1526;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;2993;48;1016;18;t0405
kujawsko-pomorskie;grudzi¹dzki;1627;19;609;0;t0406
kujawsko-pomorskie;inowroc³awski;13518;354;4682;21;t0407
kujawsko-pomorskie;lipnowski;5443;165;1866;33;t0408
kujawsko-pomorskie;mogileñski;2969;17;988;10;t0409
kujawsko-pomorskie;nakielski;4084;43;1195;0;t0410
kujawsko-pomorskie;radziejowski;3710;52;1363;0;t0411
kujawsko-pomorskie;rypiñski;3296;12;903;0;t0412
kujawsko-pomorskie;sêpoleñski;5389;59;1905;7;t0413
kujawsko-pomorskie;œwiecki;7224;24;2777;0;t0414
kujawsko-pomorskie;toruñski;5360;118;1858;37;t0415
kujawsko-pomorskie;tucholski;3575;32;1191;6;t0416
kujawsko-pomorskie;w¹brzeski;3267;155;1090;35;t0417
kujawsko-pomorskie;w³oc³awski;4939;48;1842;0;t0418
kujawsko-pomorskie;¿niñski;5051;72;1768;0;t0419
kujawsko-pomorskie;Bydgoszcz;53775;689;20069;14;t0461
kujawsko-pomorskie;Grudzi¹dz;9900;398;3333;13;t0462
kujawsko-pomorskie;Toruñ;22981;252;8403;12;t0463
