wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4893;0;1068;0;t00
dolnoœl¹skie;boles³awiecki;10821;0;4169;0;t0201
dolnoœl¹skie;dzier¿oniowski;9755;0;3505;0;t0202
dolnoœl¹skie;g³ogowski;9173;19;2940;0;t0203
dolnoœl¹skie;górowski;2975;228;1128;146;t0204
dolnoœl¹skie;jaworski;5631;0;1955;0;t0205
dolnoœl¹skie;jeleniogórski;7719;0;2801;0;t0206
dolnoœl¹skie;kamiennogórski;4351;0;1672;0;t0207
dolnoœl¹skie;k³odzki;24835;12;9611;1;t0208
dolnoœl¹skie;legnicki;3366;111;1216;106;t0209
dolnoœl¹skie;lubañski;4443;33;1432;33;t0210
dolnoœl¹skie;lubiñski;19053;85;6476;84;t0211
dolnoœl¹skie;lwówecki;4731;0;1752;0;t0212
dolnoœl¹skie;milicki;5207;80;1837;0;t0213
dolnoœl¹skie;oleœnicki;8201;60;2891;1;t0214
dolnoœl¹skie;o³awski;9468;0;2883;0;t0215
dolnoœl¹skie;polkowicki;2287;0;857;0;t0216
dolnoœl¹skie;strzeliñski;5380;0;2007;0;t0217
dolnoœl¹skie;œredzki;3441;0;1196;0;t0218
dolnoœl¹skie;œwidnicki;15275;0;5470;0;t0219
dolnoœl¹skie;trzebnicki;10203;0;3579;0;t0220
dolnoœl¹skie;wa³brzyski;5764;60;2314;28;t0221
dolnoœl¹skie;wo³owski;5961;48;2124;30;t0222
dolnoœl¹skie;wroc³awski;10537;0;3674;0;t0223
dolnoœl¹skie;z¹bkowicki;8539;60;3252;32;t0224
dolnoœl¹skie;zgorzelecki;10625;0;4164;0;t0225
dolnoœl¹skie;z³otoryjski;4244;0;1429;0;t0226
dolnoœl¹skie;Jelenia Góra;12635;0;4572;0;t0261
dolnoœl¹skie;Legnica;11936;237;4172;11;t0262
dolnoœl¹skie;Wroc³aw;150360;1259;52934;293;t0264
dolnoœl¹skie;Wa³brzych;40796;844;12718;35;t0265
kujawsko-pomorskie;aleksandrowski;26186;437;8869;0;t0401
kujawsko-pomorskie;brodnicki;8261;0;2949;0;t0402
kujawsko-pomorskie;bydgoski;6630;0;2472;0;t0403
kujawsko-pomorskie;che³miñski;4986;0;1804;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3947;0;1337;0;t0405
kujawsko-pomorskie;grudzi¹dzki;2126;0;793;0;t0406
kujawsko-pomorskie;inowroc³awski;16731;343;5919;26;t0407
kujawsko-pomorskie;lipnowski;6695;0;2391;0;t0408
kujawsko-pomorskie;mogileñski;3732;0;1209;0;t0409
kujawsko-pomorskie;nakielski;5119;0;1603;0;t0410
kujawsko-pomorskie;radziejowski;4552;0;1618;0;t0411
kujawsko-pomorskie;rypiñski;4364;0;1400;0;t0412
