wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;1320;176;333;92;t00
dolnoœl¹skie;boles³awiecki;7798;363;2838;226;t0201
dolnoœl¹skie;dzier¿oniowski;6150;503;2141;232;t0202
dolnoœl¹skie;g³ogowski;5172;416;1676;168;t0203
dolnoœl¹skie;górowski;1363;155;354;60;t0204
dolnoœl¹skie;jaworski;3292;263;1118;150;t0205
dolnoœl¹skie;jeleniogórski;4143;328;1198;233;t0206
dolnoœl¹skie;kamiennogórski;2898;150;1042;76;t0207
dolnoœl¹skie;k³odzki;16204;885;5759;367;t0208
dolnoœl¹skie;legnicki;1398;113;319;44;t0209
dolnoœl¹skie;lubañski;2664;86;907;24;t0210
dolnoœl¹skie;lubiñski;11517;531;3792;191;t0211
dolnoœl¹skie;lwówecki;2963;200;988;99;t0212
dolnoœl¹skie;milicki;3273;176;1131;81;t0213
dolnoœl¹skie;oleœnicki;4849;181;1762;144;t0214
dolnoœl¹skie;o³awski;5657;371;1806;271;t0215
dolnoœl¹skie;polkowicki;1033;108;260;83;t0216
dolnoœl¹skie;strzeliñski;2711;138;572;71;t0217
dolnoœl¹skie;œredzki;1679;128;487;48;t0218
dolnoœl¹skie;œwidnicki;9806;480;3311;210;t0219
dolnoœl¹skie;trzebnicki;6151;199;2148;56;t0220
dolnoœl¹skie;wa³brzyski;3400;90;1192;24;t0221
dolnoœl¹skie;wo³owski;3424;206;1106;110;t0222
dolnoœl¹skie;wroc³awski;5233;437;1249;206;t0223
dolnoœl¹skie;z¹bkowicki;5238;278;1809;85;t0224
dolnoœl¹skie;zgorzelecki;7219;311;2550;100;t0225
dolnoœl¹skie;z³otoryjski;2355;172;652;57;t0226
dolnoœl¹skie;Jelenia Góra;7781;316;2938;216;t0261
dolnoœl¹skie;Legnica;8253;247;3012;68;t0262
dolnoœl¹skie;Wroc³aw;95930;3589;36189;1618;t0264
dolnoœl¹skie;Wa³brzych;20008;1178;5778;624;t0265
kujawsko-pomorskie;aleksandrowski;9708;911;3640;703;t0401
kujawsko-pomorskie;brodnicki;4713;430;1475;252;t0402
kujawsko-pomorskie;bydgoski;3433;464;951;238;t0403
kujawsko-pomorskie;che³miñski;2977;119;994;84;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;2197;121;692;101;t0405
kujawsko-pomorskie;grudzi¹dzki;1191;118;375;88;t0406
kujawsko-pomorskie;inowroc³awski;9502;655;3474;421;t0407
kujawsko-pomorskie;lipnowski;3942;199;1313;98;t0408
kujawsko-pomorskie;mogileñski;2188;145;651;53;t0409
kujawsko-pomorskie;nakielski;2849;227;913;74;t0410
kujawsko-pomorskie;radziejowski;2919;138;967;35;t0411
kujawsko-pomorskie;rypiñski;2401;142;634;47;t0412
kujawsko-pomorskie;sêpoleñski;4192;296;1424;182;t0413
kujawsko-pomorskie;œwiecki;5535;413;2001;224;t0414
kujawsko-pomorskie;toruñski;3323;191;1056;109;t0415
kujawsko-pomorskie;tucholski;2485;223;727;82;t0416
kujawsko-pomorskie;w¹brzeski;2190;180;587;115;t0417
kujawsko-pomorskie;w³oc³awski;3625;305;1114;128;t0418
kujawsko-pomorskie;¿niñski;3794;219;1263;60;t0419
kujawsko-pomorskie;Bydgoszcz;43182;1311;16653;665;t0461
kujawsko-pomorskie;Grudzi¹dz;7413;255;2819;87;t0462
kujawsko-pomorskie;Toruñ;17887;882;6551;336;t0463
kujawsko-pomorskie;W³oc³awek;7345;368;2917;139;t0464
lubelskie;bialski;5215;272;1417;174;t0601
lubelskie;bi³gorajski;5141;347;1691;212;t0602
lubelskie;che³mski;2319;263;611;140;t0603
lubelskie;hrubieszowski;3904;298;1161;141;t0604
lubelskie;janowski;3995;150;1430;107;t0605
lubelskie;krasnostawski;4601;263;1578;153;t0606
lubelskie;kraœnicki;5394;352;1974;240;t0607
lubelskie;lubartowski;4953;243;1722;102;t0608
lubelskie;lubelski;7018;529;2045;263;t0609
lubelskie;³êczyñski;4220;197;1269;116;t0610
lubelskie;³ukowski;5562;289;1715;119;t0611
lubelskie;opolski;3337;255;1065;136;t0612
lubelskie;parczewski;2984;171;913;48;t0613
lubelskie;pu³awski;10602;487;3765;299;t0614
lubelskie;radzyñski;4013;254;1214;158;t0615
lubelskie;rycki;3954;311;1136;199;t0616
lubelskie;œwidnicki;4165;273;1506;134;t0617
lubelskie;tomaszowski;5268;315;1681;136;t0618
lubelskie;w³odawski;3344;167;1050;46;t0619
lubelskie;zamojski;4499;351;1308;223;t0620
lubelskie;Bia³a Podlaska;7498;176;3074;96;t0661
lubelskie;Che³m;5471;165;1898;43;t0662
lubelskie;Lublin;56678;1890;20680;869;t0663
lubelskie;Zamoœæ;7717;384;2645;151;t0664
lubuskie;gorzowski;3090;330;887;175;t0801
lubuskie;kroœnieñski;3822;294;1189;184;t0802
lubuskie;miêdzyrzecki;5876;190;2065;107;t0803
lubuskie;nowosolski;6251;350;2141;239;t0804
lubuskie;s³ubicki;2709;206;762;99;t0805
lubuskie;strzelecko-drezdenecki;3338;199;1026;116;t0806
lubuskie;sulêciñski;2424;131;861;87;t0807
lubuskie;œwiebodziñski;4612;209;1660;91;t0808
lubuskie;zielonogórski;4880;426;1519;132;t0809
lubuskie;¿agañski;3351;293;1089;186;t0810
lubuskie;¿arski;7999;488;2863;266;t0811
lubuskie;wschowski;1852;60;585;39;t0812
lubuskie;Gorzów Wielkopolski;10827;376;4127;171;t0861
