wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;9573;587;1290;0;t00
dolnoœl¹skie;boles³awiecki;15557;484;4735;0;t0201
dolnoœl¹skie;dzier¿oniowski;13677;613;3965;0;t0202
dolnoœl¹skie;g³ogowski;12747;645;3252;0;t0203
dolnoœl¹skie;górowski;4571;148;1337;0;t0204
dolnoœl¹skie;jaworski;8267;243;2397;0;t0205
dolnoœl¹skie;jeleniogórski;11850;310;3461;10;t0206
dolnoœl¹skie;kamiennogórski;5588;263;1795;0;t0207
dolnoœl¹skie;k³odzki;34623;1278;10739;4;t0208
dolnoœl¹skie;legnicki;5835;286;1549;2;t0209
dolnoœl¹skie;lubañski;6132;172;1765;1;t0210
dolnoœl¹skie;lubiñski;27016;944;8114;2;t0211
dolnoœl¹skie;lwówecki;7654;303;2079;13;t0212
dolnoœl¹skie;milicki;7212;404;2267;13;t0213
dolnoœl¹skie;oleœnicki;11776;464;3269;3;t0214
dolnoœl¹skie;o³awski;14223;348;3956;13;t0215
dolnoœl¹skie;polkowicki;3659;127;1050;0;t0216
dolnoœl¹skie;strzeliñski;7861;310;2381;40;t0217
dolnoœl¹skie;œredzki;5534;146;1590;0;t0218
dolnoœl¹skie;œwidnicki;21118;594;6406;4;t0219
dolnoœl¹skie;trzebnicki;15179;577;4564;43;t0220
dolnoœl¹skie;wa³brzyski;8563;376;2716;0;t0221
dolnoœl¹skie;wo³owski;8478;285;2485;18;t0222
dolnoœl¹skie;wroc³awski;17213;975;4914;60;t0223
dolnoœl¹skie;z¹bkowicki;12978;528;3869;33;t0224
dolnoœl¹skie;zgorzelecki;13891;273;4733;8;t0225
dolnoœl¹skie;z³otoryjski;6814;216;1644;21;t0226
dolnoœl¹skie;Jelenia Góra;19288;679;5281;1;t0261
dolnoœl¹skie;Legnica;15904;511;4787;35;t0262
dolnoœl¹skie;Wroc³aw;205800;6103;62022;51;t0264
dolnoœl¹skie;Wa³brzych;63216;1190;16475;2;t0265
kujawsko-pomorskie;aleksandrowski;36802;912;10406;13;t0401
kujawsko-pomorskie;brodnicki;12430;351;3419;2;t0402
kujawsko-pomorskie;bydgoski;11396;592;3027;7;t0403
kujawsko-pomorskie;che³miñski;7257;235;1943;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;5825;199;1553;1;t0405
kujawsko-pomorskie;grudzi¹dzki;3312;54;918;0;t0406
kujawsko-pomorskie;inowroc³awski;23888;750;6695;4;t0407
kujawsko-pomorskie;lipnowski;9632;408;2702;4;t0408
kujawsko-pomorskie;mogileñski;4910;169;1358;1;t0409
kujawsko-pomorskie;nakielski;7216;335;1819;1;t0410
kujawsko-pomorskie;radziejowski;7034;242;1834;2;t0411
kujawsko-pomorskie;rypiñski;6399;309;1704;2;t0412
kujawsko-pomorskie;sêpoleñski;9194;379;2902;49;t0413
kujawsko-pomorskie;œwiecki;13351;287;4003;12;t0414
kujawsko-pomorskie;toruñski;9429;284;2856;36;t0415
kujawsko-pomorskie;tucholski;6339;188;1735;2;t0416
kujawsko-pomorskie;w¹brzeski;5439;212;1676;3;t0417
kujawsko-pomorskie;w³oc³awski;10066;415;3021;3;t0418
kujawsko-pomorskie;¿niñski;8727;296;2488;18;t0419
kujawsko-pomorskie;Bydgoszcz;88381;3308;25216;81;t0461
kujawsko-pomorskie;Grudzi¹dz;22066;749;4414;0;t0462
kujawsko-pomorskie;Toruñ;35472;891;10379;58;t0463
kujawsko-pomorskie;W³oc³awek;15566;532;4403;28;t0464
lubelskie;bialski;14687;621;4535;1;t0601
lubelskie;bi³gorajski;12815;424;3703;6;t0602
lubelskie;che³mski;7840;286;2235;55;t0603
lubelskie;hrubieszowski;10481;309;3253;37;t0604
lubelskie;janowski;8231;282;2600;0;t0605
lubelskie;krasnostawski;9445;343;3041;0;t0606
lubelskie;kraœnicki;13534;473;4062;30;t0607
lubelskie;lubartowski;12931;368;3954;19;t0608
lubelskie;lubelski;18650;580;5737;9;t0609
lubelskie;³êczyñski;9966;297;2860;7;t0610
lubelskie;³ukowski;13351;407;4114;7;t0611
lubelskie;opolski;9894;360;2918;2;t0612
lubelskie;parczewski;7368;159;2369;15;t0613
lubelskie;pu³awski;23837;1064;7063;31;t0614
lubelskie;radzyñski;8758;188;2919;8;t0615
lubelskie;rycki;12960;552;3603;5;t0616
lubelskie;œwidnicki;9853;291;3075;0;t0617
lubelskie;tomaszowski;12230;373;3731;0;t0618
lubelskie;w³odawski;8700;347;2552;10;t0619
lubelskie;zamojski;12450;564;3804;53;t0620
lubelskie;Bia³a Podlaska;16936;449;4294;13;t0661
lubelskie;Che³m;13239;387;3344;1;t0662
lubelskie;Lublin;123559;3691;38094;106;t0663
lubelskie;Zamoœæ;21355;948;4965;22;t0664
lubuskie;gorzowski;7739;401;2284;1;t0801
lubuskie;kroœnieñski;10585;298;2683;0;t0802
lubuskie;miêdzyrzecki;14773;327;3985;30;t0803
lubuskie;nowosolski;16461;865;4366;12;t0804
lubuskie;s³ubicki;7313;192;1898;0;t0805
lubuskie;strzelecko-drezdenecki;8763;377;2385;8;t0806
lubuskie;sulêciñski;5178;87;1563;1;t0807
lubuskie;œwiebodziñski;10022;509;3158;1;t0808
lubuskie;zielonogórski;16257;1075;3645;4;t0809
lubuskie;¿agañski;9599;496;2641;2;t0810
