wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;11483;2.99;283;46;237;429;316146;37742;12276;24238;1228;t0000;2020-11-28
dolnoœl¹skie;boles³awiecki;1;0.11;0;0;0;1;956;15;1;14;0;t0201;2020-11-28
dolnoœl¹skie;dzier¿oniowski;35;3.48;0;0;0;1;597;52;37;14;1;t0202;2020-11-28
dolnoœl¹skie;g³ogowski;34;3.83;2;0;2;3;901;92;35;57;0;t0203;2020-11-28
dolnoœl¹skie;górowski;3;0.86;0;0;0;1;333;25;4;21;0;t0204;2020-11-28
dolnoœl¹skie;jaworski;3;0.6;0;0;0;0;354;13;3;7;3;t0205;2020-11-28
dolnoœl¹skie;jeleniogórski;19;3.0;0;0;0;0;395;52;21;31;0;t0206;2020-11-28
dolnoœl¹skie;kamiennogórski;23;5.34;0;0;0;0;211;28;23;5;0;t0207;2020-11-28
dolnoœl¹skie;k³odzki;41;2.61;0;0;0;1;1263;125;42;82;1;t0208;2020-11-28
dolnoœl¹skie;legnicki;9;1.63;0;0;0;1;458;45;10;23;12;t0209;2020-11-28
dolnoœl¹skie;lubañski;18;3.33;0;0;0;0;535;38;18;20;0;t0210;2020-11-28
dolnoœl¹skie;lubiñski;7;0.66;0;0;0;2;884;52;9;41;2;t0211;2020-11-28
dolnoœl¹skie;lwówecki;3;0.66;0;0;0;1;264;9;3;6;0;t0212;2020-11-28
dolnoœl¹skie;milicki;6;1.63;0;0;0;0;335;19;6;13;0;t0213;2020-11-28
dolnoœl¹skie;oleœnicki;39;3.63;3;0;3;2;1318;95;41;51;3;t0214;2020-11-28
dolnoœl¹skie;o³awski;29;3.77;0;0;0;2;1278;77;30;47;0;t0215;2020-11-28
dolnoœl¹skie;polkowicki;12;1.9;1;0;1;0;691;34;13;20;1;t0216;2020-11-28
dolnoœl¹skie;strzeliñski;18;4.14;0;0;0;0;423;46;20;26;0;t0217;2020-11-28
dolnoœl¹skie;œredzki;10;1.81;0;0;0;2;614;30;11;19;0;t0218;2020-11-28
dolnoœl¹skie;œwidnicki;22;1.41;0;0;0;0;1357;66;22;44;0;t0219;2020-11-28
dolnoœl¹skie;trzebnicki;45;5.27;3;0;3;1;970;114;49;64;1;t0220;2020-11-28
dolnoœl¹skie;wa³brzyski;26;4.69;0;0;0;0;430;67;27;40;0;t0221;2020-11-28
dolnoœl¹skie;wo³owski;35;7.49;2;0;2;0;700;71;37;34;0;t0222;2020-11-28
dolnoœl¹skie;wroc³awski;47;3.05;0;0;0;1;1521;141;48;91;2;t0223;2020-11-28
dolnoœl¹skie;z¹bkowicki;16;2.48;0;0;0;0;468;51;17;30;4;t0224;2020-11-28
dolnoœl¹skie;zgorzelecki;3;0.34;0;0;0;2;819;7;3;4;0;t0225;2020-11-28
dolnoœl¹skie;z³otoryjski;14;3.24;0;0;0;0;435;40;14;20;6;t0226;2020-11-28
dolnoœl¹skie;Jelenia Góra;29;3.68;0;0;0;1;668;74;30;42;2;t0261;2020-11-28
dolnoœl¹skie;Legnica;19;1.92;0;0;0;0;819;85;20;47;18;t0262;2020-11-28
dolnoœl¹skie;Wroc³aw;168;2.61;0;0;0;3;3966;745;179;555;11;t0264;2020-11-28
dolnoœl¹skie;Wa³brzych;48;4.34;0;0;0;0;850;157;50;105;2;t0265;2020-11-28
kujawsko-pomorskie;aleksandrowski;8;1.45;0;0;0;14;483;19;8;11;0;t0401;2020-11-28
kujawsko-pomorskie;brodnicki;12;1.52;0;0;0;4;682;45;15;25;5;t0402;2020-11-28
kujawsko-pomorskie;bydgoski;51;4.27;0;0;0;4;1334;142;51;81;10;t0403;2020-11-28
kujawsko-pomorskie;che³miñski;19;3.67;1;0;1;2;654;63;19;37;7;t0404;2020-11-28
kujawsko-pomorskie;golubsko-dobrzyñski;0;0.0;0;0;0;1;408;9;0;9;0;t0405;2020-11-28
kujawsko-pomorskie;grudzi¹dzki;17;4.23;0;0;0;0;429;54;17;36;1;t0406;2020-11-28
