wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;10141;2.64;540.0;55.0;485.0;40085;348135;47540;11502;34425;1613;t0000;2020-11-23
dolnoœl¹skie;boles³awiecki;62;6.89;2.0;0.0;2.0;140;1011;197;66;125;6;t0201;2020-11-23
dolnoœl¹skie;dzier¿oniowski;31;3.08;;;;63;755;107;31;74;2;t0202;2020-11-23
dolnoœl¹skie;g³ogowski;19;2.14;1.0;0.0;1.0;111;1105;76;21;54;1;t0203;2020-11-23
dolnoœl¹skie;górowski;3;0.86;;;;31;322;19;6;13;0;t0204;2020-11-23
dolnoœl¹skie;jaworski;30;6.01;1.0;0.0;1.0;64;399;81;31;47;3;t0205;2020-11-23
dolnoœl¹skie;jeleniogórski;40;6.31;3.0;0.0;3.0;38;428;110;47;62;1;t0206;2020-11-23
dolnoœl¹skie;kamiennogórski;21;4.88;;;;31;241;44;22;21;1;t0207;2020-11-23
dolnoœl¹skie;k³odzki;20;1.27;4.0;0.0;4.0;129;1596;129;23;101;5;t0208;2020-11-23
dolnoœl¹skie;legnicki;28;5.07;2.0;1.0;1.0;66;505;57;28;26;3;t0209;2020-11-23
dolnoœl¹skie;lubañski;18;3.33;4.0;0.0;4.0;45;633;52;19;32;1;t0210;2020-11-23
dolnoœl¹skie;lubiñski;50;4.71;5.0;0.0;5.0;103;1128;180;54;120;6;t0211;2020-11-23
dolnoœl¹skie;lwówecki;17;3.71;;;;45;282;62;22;39;1;t0212;2020-11-23
dolnoœl¹skie;milicki;4;1.08;;;;37;494;27;5;20;2;t0213;2020-11-23
dolnoœl¹skie;oleœnicki;29;2.7;1.0;0.0;1.0;129;1506;112;37;69;6;t0214;2020-11-23
dolnoœl¹skie;o³awski;19;2.47;1.0;0.0;1.0;104;1462;91;26;60;5;t0215;2020-11-23
dolnoœl¹skie;polkowicki;8;1.27;;;;54;834;59;10;46;3;t0216;2020-11-23
dolnoœl¹skie;strzeliñski;21;4.83;;;;51;563;57;21;36;0;t0217;2020-11-23
dolnoœl¹skie;œredzki;25;4.52;1.0;0.0;1.0;82;603;74;29;38;7;t0218;2020-11-23
dolnoœl¹skie;œwidnicki;50;3.19;;;;131;1433;210;55;153;2;t0219;2020-11-23
dolnoœl¹skie;trzebnicki;35;4.1;;;;92;967;103;43;58;2;t0220;2020-11-23
dolnoœl¹skie;wa³brzyski;20;3.61;1.0;0.0;1.0;49;526;77;21;56;0;t0221;2020-11-23
dolnoœl¹skie;wo³owski;5;1.07;1.0;0.0;1.0;50;782;30;6;22;2;t0222;2020-11-23
dolnoœl¹skie;wroc³awski;48;3.12;;;;195;1466;186;53;120;13;t0223;2020-11-23
dolnoœl¹skie;z¹bkowicki;11;1.71;2.0;0.0;2.0;45;707;78;12;64;2;t0224;2020-11-23
dolnoœl¹skie;zgorzelecki;42;4.73;;;;181;930;120;43;75;2;t0225;2020-11-23
dolnoœl¹skie;z³otoryjski;22;5.08;;;;36;426;57;25;31;1;t0226;2020-11-23
dolnoœl¹skie;Jelenia Góra;58;7.36;4.0;0.0;4.0;77;729;170;70;98;2;t0261;2020-11-23
dolnoœl¹skie;Legnica;29;2.93;2.0;0.0;2.0;98;952;92;29;59;4;t0262;2020-11-23
dolnoœl¹skie;Wroc³aw;217;3.37;14.0;0.0;14.0;694;3730;1254;251;956;47;t0264;2020-11-23
dolnoœl¹skie;Wa³brzych;51;4.61;2.0;0.0;2.0;89;959;249;56;188;5;t0265;2020-11-23
kujawsko-pomorskie;aleksandrowski;9;1.64;1.0;0.0;1.0;65;471;53;11;39;3;t0401;2020-11-23
kujawsko-pomorskie;brodnicki;16;2.02;;;;77;670;49;16;32;1;t0402;2020-11-23
kujawsko-pomorskie;bydgoski;35;2.93;2.0;0.0;2.0;170;1194;150;40;106;4;t0403;2020-11-23
kujawsko-pomorskie;che³miñski;15;2.89;;;;94;702;90;19;69;2;t0404;2020-11-23
kujawsko-pomorskie;golubsko-dobrzyñski;3;0.67;;;;69;408;25;3;22;0;t0405;2020-11-23
kujawsko-pomorskie;grudzi¹dzki;11;2.74;;;;51;388;66;13;51;2;t0406;2020-11-23
kujawsko-pomorskie;inowroc³awski;27;1.69;2.0;0.0;2.0;212;1561;133;31;97;5;t0407;2020-11-23
kujawsko-pomorskie;lipnowski;10;1.52;;;;63;574;78;12;65;1;t0408;2020-11-23
kujawsko-pomorskie;mogileñski;2;0.44;;;;60;532;22;2;20;0;t0409;2020-11-23
kujawsko-pomorskie;nakielski;29;3.36;;;;152;1194;94;31;58;5;t0410;2020-11-23
kujawsko-pomorskie;radziejowski;14;3.48;;;;68;464;51;18;33;0;t0411;2020-11-23
kujawsko-pomorskie;rypiñski;6;1.38;;;;36;337;45;7;38;0;t0412;2020-11-23
kujawsko-pomorskie;sêpoleñski;13;3.18;;;;73;726;48;16;28;4;t0413;2020-11-23
kujawsko-pomorskie;œwiecki;17;1.72;;;;171;1209;79;18;59;2;t0414;2020-11-23
kujawsko-pomorskie;toruñski;16;1.47;1.0;0.0;1.0;212;1384;124;19;104;1;t0415;2020-11-23
kujawsko-pomorskie;tucholski;10;2.07;;;;62;547;56;11;45;0;t0416;2020-11-23
kujawsko-pomorskie;w¹brzeski;2;0.59;;;;71;335;20;3;14;3;t0417;2020-11-23
kujawsko-pomorskie;w³oc³awski;14;1.63;;;;97;713;53;14;39;0;t0418;2020-11-23
kujawsko-pomorskie;¿niñski;14;2.0;;;;74;758;56;14;41;1;t0419;2020-11-23
kujawsko-pomorskie;Bydgoszcz;167;4.82;9.0;0.0;9.0;494;2677;681;183;484;14;t0461;2020-11-23
kujawsko-pomorskie;Grudzi¹dz;32;3.4;;;;128;868;223;41;181;1;t0462;2020-11-23
kujawsko-pomorskie;Toruñ;47;2.34;2.0;0.0;2.0;338;1832;402;60;340;2;t0463;2020-11-23
kujawsko-pomorskie;W³oc³awek;20;1.83;;;;145;837;93;21;69;3;t0464;2020-11-23
lubelskie;bialski;38;3.44;3.0;1.0;2.0;95;1449;85;49;34;2;t0601;2020-11-23
lubelskie;bi³gorajski;17;1.69;;;;63;609;71;17;54;0;t0602;2020-11-23
lubelskie;che³mski;35;4.5;;;;84;567;100;37;60;3;t0603;2020-11-23
lubelskie;hrubieszowski;17;2.72;;;;59;668;77;21;54;2;t0604;2020-11-23
lubelskie;janowski;8;1.76;;;;39;359;28;9;17;2;t0605;2020-11-23
lubelskie;krasnostawski;5;0.79;;;;68;666;26;7;18;1;t0606;2020-11-23
lubelskie;kraœnicki;50;5.26;;;;77;608;111;52;59;0;t0607;2020-11-23
lubelskie;lubartowski;34;3.86;;;;91;988;88;34;53;1;t0608;2020-11-23
lubelskie;lubelski;65;4.17;;;;179;1806;223;72;149;2;t0609;2020-11-23
lubelskie;³êczyñski;24;4.19;1.0;0.0;1.0;73;563;58;25;32;1;t0610;2020-11-23
lubelskie;³ukowski;11;1.03;;;;62;742;73;14;59;0;t0611;2020-11-23
lubelskie;opolski;21;3.56;1.0;0.0;1.0;63;480;59;23;36;0;t0612;2020-11-23
lubelskie;parczewski;8;2.31;;;;27;251;25;10;15;0;t0613;2020-11-23
lubelskie;pu³awski;28;2.48;;;;122;985;98;32;64;2;t0614;2020-11-23
lubelskie;radzyñski;6;1.02;1.0;0.0;1.0;31;509;70;6;64;0;t0615;2020-11-23
lubelskie;rycki;8;1.43;2.0;1.0;1.0;57;308;28;10;18;0;t0616;2020-11-23
lubelskie;œwidnicki;23;3.21;;;;163;1005;64;25;39;0;t0617;2020-11-23
lubelskie;tomaszowski;5;0.61;;;;72;563;33;7;24;2;t0618;2020-11-23
lubelskie;w³odawski;19;4.97;;;;21;263;62;20;39;3;t0619;2020-11-23
lubelskie;zamojski;29;2.74;;;;61;718;97;31;62;4;t0620;2020-11-23
lubelskie;Bia³a Podlaska;31;5.42;;;;89;916;73;36;37;0;t0661;2020-11-23
lubelskie;Che³m;14;2.27;;;;89;547;47;17;29;1;t0662;2020-11-23
lubelskie;Lublin;162;4.77;;;;470;3002;615;187;421;7;t0663;2020-11-23
lubelskie;Zamoœæ;13;2.06;;;;61;444;69;16;52;1;t0664;2020-11-23
lubuskie;gorzowski;7;0.97;;;;64;795;51;7;40;4;t0801;2020-11-23
lubuskie;kroœnieñski;18;3.29;;;;90;724;50;19;29;2;t0802;2020-11-23
lubuskie;miêdzyrzecki;17;2.96;;;;54;670;55;18;35;2;t0803;2020-11-23
lubuskie;nowosolski;27;3.14;1.0;1.0;0.0;92;915;75;31;44;0;t0804;2020-11-23
lubuskie;s³ubicki;9;1.92;;;;42;728;38;11;27;0;t0805;2020-11-23
lubuskie;strzelecko-drezdenecki;13;2.66;3.0;3.0;0.0;42;387;56;14;39;3;t0806;2020-11-23
