wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;15360;4.0;674;152;522;23488;341659;54288;16672;36105;1511;t0000;2020-11-24
dolnoœl¹skie;boles³awiecki;70;7.78;2;1;1;74;943;150;72;75;3;t0201;2020-11-24
dolnoœl¹skie;dzier¿oniowski;3;0.3;1;1;0;53;753;44;3;41;0;t0202;2020-11-24
dolnoœl¹skie;g³ogowski;21;2.36;1;0;1;60;1058;114;23;91;0;t0203;2020-11-24
dolnoœl¹skie;górowski;9;2.59;0;0;0;31;313;32;9;22;1;t0204;2020-11-24
dolnoœl¹skie;jaworski;23;4.61;5;5;0;44;385;76;26;45;5;t0205;2020-11-24
dolnoœl¹skie;jeleniogórski;30;4.73;3;0;3;16;431;90;34;53;3;t0206;2020-11-24
dolnoœl¹skie;kamiennogórski;10;2.32;0;0;0;15;240;37;11;26;0;t0207;2020-11-24
dolnoœl¹skie;k³odzki;6;0.38;0;0;0;67;1587;128;48;80;0;t0208;2020-11-24
dolnoœl¹skie;legnicki;23;4.17;1;0;1;33;519;74;24;47;3;t0209;2020-11-24
dolnoœl¹skie;lubañski;10;1.85;1;0;1;39;645;31;11;20;0;t0210;2020-11-24
dolnoœl¹skie;lubiñski;50;4.71;0;0;0;80;1106;187;52;129;6;t0211;2020-11-24
dolnoœl¹skie;lwówecki;23;5.03;0;0;0;23;301;85;27;53;5;t0212;2020-11-24
dolnoœl¹skie;milicki;4;1.08;0;0;0;26;477;27;4;22;1;t0213;2020-11-24
dolnoœl¹skie;oleœnicki;17;1.58;2;2;0;87;1537;74;21;49;4;t0214;2020-11-24
dolnoœl¹skie;o³awski;11;1.43;1;1;0;76;1408;68;12;56;0;t0215;2020-11-24
dolnoœl¹skie;polkowicki;22;3.49;1;1;0;45;770;78;23;54;1;t0216;2020-11-24
dolnoœl¹skie;strzeliñski;11;2.53;0;0;0;29;508;43;14;28;1;t0217;2020-11-24
dolnoœl¹skie;œredzki;27;4.88;4;4;0;45;580;101;27;70;4;t0218;2020-11-24
dolnoœl¹skie;œwidnicki;20;1.28;3;1;2;60;1430;138;24;112;2;t0219;2020-11-24
dolnoœl¹skie;trzebnicki;24;2.81;2;2;0;54;998;70;28;40;2;t0220;2020-11-24
dolnoœl¹skie;wa³brzyski;8;1.44;0;0;0;25;505;47;9;38;0;t0221;2020-11-24
dolnoœl¹skie;wo³owski;8;1.71;0;0;0;33;759;40;10;30;0;t0222;2020-11-24
dolnoœl¹skie;wroc³awski;36;2.34;0;0;0;113;1516;160;42;116;2;t0223;2020-11-24
dolnoœl¹skie;z¹bkowicki;6;0.93;0;0;0;23;689;50;7;42;1;t0224;2020-11-24
dolnoœl¹skie;zgorzelecki;34;3.83;3;0;3;43;902;86;35;51;0;t0225;2020-11-24
dolnoœl¹skie;z³otoryjski;10;2.31;0;0;0;24;415;39;10;24;5;t0226;2020-11-24
dolnoœl¹skie;Jelenia Góra;53;6.73;1;1;0;54;739;148;58;88;2;t0261;2020-11-24
dolnoœl¹skie;Legnica;37;3.73;3;0;3;56;936;138;40;93;5;t0262;2020-11-24
dolnoœl¹skie;Wroc³aw;197;3.06;0;0;0;418;3926;1139;214;888;37;t0264;2020-11-24
dolnoœl¹skie;Wa³brzych;17;1.54;3;2;1;42;956;177;17;160;0;t0265;2020-11-24
kujawsko-pomorskie;aleksandrowski;43;7.82;0;0;0;39;475;112;44;68;0;t0401;2020-11-24
kujawsko-pomorskie;brodnicki;58;7.33;4;0;4;57;677;123;58;62;3;t0402;2020-11-24
kujawsko-pomorskie;bydgoski;73;6.11;0;0;0;112;1187;356;80;266;10;t0403;2020-11-24
kujawsko-pomorskie;che³miñski;53;10.23;3;1;2;50;739;180;53;124;3;t0404;2020-11-24
kujawsko-pomorskie;golubsko-dobrzyñski;5;1.11;1;1;0;38;407;32;7;21;4;t0405;2020-11-24
kujawsko-pomorskie;grudzi¹dzki;38;9.45;1;0;1;35;440;84;38;45;1;t0406;2020-11-24
kujawsko-pomorskie;inowroc³awski;84;5.27;0;0;0;131;1532;261;92;166;3;t0407;2020-11-24
kujawsko-pomorskie;lipnowski;39;5.95;0;0;0;29;588;114;39;74;1;t0408;2020-11-24
kujawsko-pomorskie;mogileñski;16;3.52;0;0;0;22;512;43;16;27;0;t0409;2020-11-24
kujawsko-pomorskie;nakielski;55;6.38;0;0;0;77;1119;236;58;171;7;t0410;2020-11-24
kujawsko-pomorskie;radziejowski;18;4.48;1;0;1;33;470;45;18;24;3;t0411;2020-11-24
kujawsko-pomorskie;rypiñski;16;3.69;0;0;0;18;351;40;16;21;3;t0412;2020-11-24
kujawsko-pomorskie;sêpoleñski;26;6.35;0;0;0;43;705;123;31;89;3;t0413;2020-11-24
kujawsko-pomorskie;œwiecki;79;7.99;0;0;0;87;1222;226;81;142;3;t0414;2020-11-24
kujawsko-pomorskie;toruñski;65;5.97;1;0;1;100;1399;228;66;160;2;t0415;2020-11-24
kujawsko-pomorskie;tucholski;34;7.03;0;0;0;32;573;97;36;56;5;t0416;2020-11-24
kujawsko-pomorskie;w¹brzeski;27;7.91;0;0;0;32;359;63;27;34;2;t0417;2020-11-24
kujawsko-pomorskie;w³oc³awski;61;7.1;0;0;0;44;741;101;62;38;1;t0418;2020-11-24
kujawsko-pomorskie;¿niñski;21;3.0;0;0;0;52;728;88;22;64;2;t0419;2020-11-24
