wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;12164;3.17;568;133;435;18088;225269;51537;13353;36964;1220;t0000;2020-12-08
dolnoœl¹skie;boles³awiecki;49;5.44;0;0;0;65;625;159;52;99;8;t0201;2020-12-08
dolnoœl¹skie;dzier¿oniowski;16;1.59;2;0;2;29;350;76;18;58;0;t0202;2020-12-08
dolnoœl¹skie;g³ogowski;16;1.8;0;0;0;38;577;93;19;71;3;t0203;2020-12-08
dolnoœl¹skie;górowski;9;2.59;1;0;1;19;199;33;9;24;0;t0204;2020-12-08
dolnoœl¹skie;jaworski;8;1.6;1;1;0;19;261;68;12;54;2;t0205;2020-12-08
dolnoœl¹skie;jeleniogórski;6;0.95;7;3;4;16;291;51;7;42;2;t0206;2020-12-08
dolnoœl¹skie;kamiennogórski;3;0.7;0;0;0;18;185;36;3;32;1;t0207;2020-12-08
dolnoœl¹skie;k³odzki;34;2.16;1;0;1;50;604;132;35;97;0;t0208;2020-12-08
dolnoœl¹skie;legnicki;11;1.99;1;1;0;22;286;59;13;42;4;t0209;2020-12-08
dolnoœl¹skie;lubañski;9;1.66;2;2;0;30;388;28;9;18;1;t0210;2020-12-08
dolnoœl¹skie;lubiñski;46;4.34;2;0;2;62;571;140;47;93;0;t0211;2020-12-08
dolnoœl¹skie;lwówecki;5;1.09;2;0;2;28;225;32;6;25;1;t0212;2020-12-08
dolnoœl¹skie;milicki;10;2.71;0;0;0;14;166;32;11;21;0;t0213;2020-12-08
dolnoœl¹skie;oleœnicki;40;3.73;0;0;0;41;821;176;46;127;3;t0214;2020-12-08
dolnoœl¹skie;o³awski;14;1.82;1;0;1;32;658;71;16;54;1;t0215;2020-12-08
dolnoœl¹skie;polkowicki;21;3.33;0;0;0;26;421;64;22;42;0;t0216;2020-12-08
dolnoœl¹skie;strzeliñski;19;4.37;0;0;0;16;235;61;19;40;2;t0217;2020-12-08
dolnoœl¹skie;œredzki;12;2.17;1;0;1;17;369;47;13;31;3;t0218;2020-12-08
dolnoœl¹skie;œwidnicki;53;3.39;3;0;3;43;1126;205;59;142;4;t0219;2020-12-08
dolnoœl¹skie;trzebnicki;16;1.87;2;0;2;27;575;90;18;65;7;t0220;2020-12-08
dolnoœl¹skie;wa³brzyski;37;6.68;1;0;1;48;388;167;38;127;2;t0221;2020-12-08
dolnoœl¹skie;wo³owski;10;2.14;0;0;0;31;386;52;10;42;0;t0222;2020-12-08
dolnoœl¹skie;wroc³awski;58;3.77;2;0;2;81;1044;215;66;144;5;t0223;2020-12-08
dolnoœl¹skie;z¹bkowicki;6;0.93;0;0;0;22;276;31;8;23;0;t0224;2020-12-08
dolnoœl¹skie;zgorzelecki;25;2.82;4;2;2;34;584;53;25;26;2;t0225;2020-12-08
dolnoœl¹skie;z³otoryjski;10;2.31;3;0;3;14;437;49;12;35;2;t0226;2020-12-08
dolnoœl¹skie;Jelenia Góra;18;2.28;6;4;2;37;413;84;19;65;0;t0261;2020-12-08
dolnoœl¹skie;Legnica;38;3.84;2;2;0;50;575;145;39;100;6;t0262;2020-12-08
dolnoœl¹skie;Wroc³aw;202;3.14;5;0;5;359;3580;1102;227;844;31;t0264;2020-12-08
dolnoœl¹skie;Wa³brzych;18;1.63;1;0;1;58;512;330;21;309;0;t0265;2020-12-08
kujawsko-pomorskie;aleksandrowski;23;4.18;2;0;2;16;303;77;25;49;3;t0401;2020-12-08
kujawsko-pomorskie;brodnicki;29;3.66;2;0;2;31;609;104;31;73;0;t0402;2020-12-08
kujawsko-pomorskie;bydgoski;66;5.53;1;0;1;115;1048;258;67;181;10;t0403;2020-12-08
kujawsko-pomorskie;che³miñski;29;5.6;0;0;0;35;487;111;30;76;5;t0404;2020-12-08
kujawsko-pomorskie;golubsko-dobrzyñski;2;0.44;1;0;1;19;269;31;2;29;0;t0405;2020-12-08
kujawsko-pomorskie;grudzi¹dzki;25;6.22;0;0;0;13;436;97;25;66;6;t0406;2020-12-08
kujawsko-pomorskie;inowroc³awski;55;3.45;1;0;1;105;1083;166;58;105;3;t0407;2020-12-08
kujawsko-pomorskie;lipnowski;5;0.76;0;0;0;12;539;40;6;29;5;t0408;2020-12-08
kujawsko-pomorskie;mogileñski;8;1.76;0;0;0;26;268;55;9;44;2;t0409;2020-12-08
kujawsko-pomorskie;nakielski;61;7.07;0;0;0;92;827;157;61;91;5;t0410;2020-12-08
kujawsko-pomorskie;radziejowski;37;9.2;1;0;1;20;336;88;39;46;3;t0411;2020-12-08
kujawsko-pomorskie;rypiñski;9;2.07;0;0;0;13;220;66;14;46;6;t0412;2020-12-08
