wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;16846;4.39;580;78;502;21671;345501;57120;18161;37467;1492;t0000;2020-11-25
dolnoœl¹skie;boles³awiecki;75;8.33;1;0;1;57;981;213;85;126;2;t0201;2020-11-25
dolnoœl¹skie;dzier¿oniowski;21;2.09;2;0;2;43;659;64;22;42;0;t0202;2020-11-25
dolnoœl¹skie;g³ogowski;47;5.29;1;0;1;64;1056;151;50;99;2;t0203;2020-11-25
dolnoœl¹skie;górowski;4;1.15;0;0;0;20;337;17;4;13;0;t0204;2020-11-25
dolnoœl¹skie;jaworski;23;4.61;0;0;0;20;401;63;25;36;2;t0205;2020-11-25
dolnoœl¹skie;jeleniogórski;29;4.57;5;4;1;13;433;76;30;46;0;t0206;2020-11-25
dolnoœl¹skie;kamiennogórski;2;0.46;0;0;0;14;236;21;4;15;2;t0207;2020-11-25
dolnoœl¹skie;k³odzki;45;2.86;0;0;0;69;1568;210;87;122;1;t0208;2020-11-25
dolnoœl¹skie;legnicki;58;10.51;1;0;1;22;534;145;61;81;3;t0209;2020-11-25
dolnoœl¹skie;lubañski;53;9.8;1;0;1;22;681;91;53;34;4;t0210;2020-11-25
dolnoœl¹skie;lubiñski;9;0.85;2;0;2;48;1097;110;16;92;2;t0211;2020-11-25
dolnoœl¹skie;lwówecki;13;2.84;2;2;0;29;287;67;19;47;1;t0212;2020-11-25
dolnoœl¹skie;milicki;15;4.06;0;0;0;28;477;47;15;32;0;t0213;2020-11-25
dolnoœl¹skie;oleœnicki;47;4.38;1;0;1;72;1425;131;49;79;3;t0214;2020-11-25
dolnoœl¹skie;o³awski;31;4.03;0;0;0;62;1387;101;35;66;0;t0215;2020-11-25
dolnoœl¹skie;polkowicki;18;2.85;2;0;2;36;763;67;18;47;2;t0216;2020-11-25
dolnoœl¹skie;strzeliñski;19;4.37;3;2;1;25;494;52;19;31;2;t0217;2020-11-25
dolnoœl¹skie;œredzki;25;4.52;5;0;5;53;603;91;26;65;0;t0218;2020-11-25
dolnoœl¹skie;œwidnicki;76;4.85;4;0;4;58;1431;194;78;110;6;t0219;2020-11-25
dolnoœl¹skie;trzebnicki;19;2.22;0;0;0;47;1032;84;24;57;3;t0220;2020-11-25
dolnoœl¹skie;wa³brzyski;11;1.99;4;0;4;15;498;70;13;57;0;t0221;2020-11-25
dolnoœl¹skie;wo³owski;8;1.71;2;0;2;36;781;21;8;13;0;t0222;2020-11-25
dolnoœl¹skie;wroc³awski;68;4.42;14;0;14;112;1548;252;68;181;3;t0223;2020-11-25
dolnoœl¹skie;z¹bkowicki;7;1.09;1;0;1;22;623;47;7;40;0;t0224;2020-11-25
dolnoœl¹skie;zgorzelecki;28;3.15;0;0;0;51;909;78;29;47;2;t0225;2020-11-25
dolnoœl¹skie;z³otoryjski;11;2.54;0;0;0;21;399;42;13;27;2;t0226;2020-11-25
dolnoœl¹skie;Jelenia Góra;23;2.92;0;0;0;19;699;89;25;62;2;t0261;2020-11-25
dolnoœl¹skie;Legnica;42;4.24;0;0;0;54;861;130;45;78;7;t0262;2020-11-25
dolnoœl¹skie;Wroc³aw;267;4.15;0;0;0;380;4063;1483;285;1163;35;t0264;2020-11-25
dolnoœl¹skie;Wa³brzych;23;2.08;0;0;0;57;961;232;24;206;2;t0265;2020-11-25
kujawsko-pomorskie;aleksandrowski;29;5.27;0;0;0;44;477;101;30;66;5;t0401;2020-11-25
