wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;6908;1.8;349;77;272;27615;193924;46647;8974;36805;868;t0000;2020-12-14
dolnoœl¹skie;boles³awiecki;29;3.22;2;0;2;97;468;128;32;88;8;t0201;2020-12-14
dolnoœl¹skie;dzier¿oniowski;8;0.8;1;0;1;42;267;66;9;57;0;t0202;2020-12-14
dolnoœl¹skie;g³ogowski;17;1.91;0;0;0;53;410;110;20;89;1;t0203;2020-12-14
dolnoœl¹skie;górowski;5;1.44;0;0;0;18;156;18;6;12;0;t0204;2020-12-14
dolnoœl¹skie;jaworski;9;1.8;1;1;0;34;166;38;9;28;1;t0205;2020-12-14
dolnoœl¹skie;jeleniogórski;10;1.58;0;0;0;28;273;71;11;59;1;t0206;2020-12-14
dolnoœl¹skie;kamiennogórski;5;1.16;1;0;1;17;170;75;6;69;0;t0207;2020-12-14
dolnoœl¹skie;k³odzki;21;1.34;5;0;5;60;439;140;23;116;1;t0208;2020-12-14
dolnoœl¹skie;legnicki;13;2.35;0;0;0;30;225;52;14;35;3;t0209;2020-12-14
dolnoœl¹skie;lubañski;16;2.96;0;0;0;45;355;51;17;34;0;t0210;2020-12-14
dolnoœl¹skie;lubiñski;19;1.79;2;0;2;62;469;165;27;135;3;t0211;2020-12-14
dolnoœl¹skie;lwówecki;10;2.18;0;0;0;28;203;42;13;29;0;t0212;2020-12-14
dolnoœl¹skie;milicki;3;0.81;0;0;0;20;135;27;4;22;1;t0213;2020-12-14
dolnoœl¹skie;oleœnicki;9;0.84;0;0;0;72;651;85;12;70;3;t0214;2020-12-14
dolnoœl¹skie;o³awski;6;0.78;0;0;0;63;540;94;9;84;1;t0215;2020-12-14
dolnoœl¹skie;polkowicki;7;1.11;0;0;0;23;323;64;8;54;2;t0216;2020-12-14
