wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;8315;2.17;411;94;317;30246;231665;48586;10483;36901;1202;t0000;2020-12-07
dolnoœl¹skie;boles³awiecki;50;5.55;0;0;0;105;635;166;55;105;6;t0201;2020-12-07
dolnoœl¹skie;dzier¿oniowski;6;0.6;4;0;4;37;353;52;8;44;0;t0202;2020-12-07
dolnoœl¹skie;g³ogowski;16;1.8;1;0;1;58;609;118;22;94;2;t0203;2020-12-07
dolnoœl¹skie;górowski;14;4.03;0;0;0;38;188;29;15;13;1;t0204;2020-12-07
dolnoœl¹skie;jaworski;16;3.2;2;2;0;55;253;52;20;31;1;t0205;2020-12-07
dolnoœl¹skie;jeleniogórski;8;1.26;2;1;1;32;302;72;9;63;0;t0206;2020-12-07
dolnoœl¹skie;kamiennogórski;8;1.86;0;0;0;24;180;36;9;27;0;t0207;2020-12-07
dolnoœl¹skie;k³odzki;13;0.83;9;0;9;95;681;96;22;73;1;t0208;2020-12-07
dolnoœl¹skie;legnicki;12;2.17;0;0;0;35;291;50;14;36;0;t0209;2020-12-07
dolnoœl¹skie;lubañski;24;4.44;1;1;0;43;420;52;29;23;0;t0210;2020-12-07
dolnoœl¹skie;lubiñski;25;2.36;0;0;0;87;525;93;28;63;2;t0211;2020-12-07
dolnoœl¹skie;lwówecki;17;3.71;0;0;0;43;212;67;19;48;0;t0212;2020-12-07
dolnoœl¹skie;milicki;4;1.08;0;0;0;31;171;23;5;18;0;t0213;2020-12-07
dolnoœl¹skie;oleœnicki;14;1.3;1;0;1;110;867;91;18;72;1;t0214;2020-12-07
dolnoœl¹skie;o³awski;4;0.52;3;0;3;55;778;60;8;48;4;t0215;2020-12-07
dolnoœl¹skie;polkowicki;10;1.59;0;0;0;37;472;51;12;39;0;t0216;2020-12-07
dolnoœl¹skie;strzeliñski;8;1.84;1;1;0;46;282;44;14;30;0;t0217;2020-12-07
dolnoœl¹skie;œredzki;12;2.17;1;0;1;36;385;47;14;32;1;t0218;2020-12-07
dolnoœl¹skie;œwidnicki;28;1.79;2;0;2;110;1182;135;29;105;1;t0219;2020-12-07
dolnoœl¹skie;trzebnicki;9;1.05;1;0;1;64;622;67;11;56;0;t0220;2020-12-07
dolnoœl¹skie;wa³brzyski;15;2.71;0;0;0;56;347;91;19;72;0;t0221;2020-12-07
dolnoœl¹skie;wo³owski;4;0.86;1;0;1;30;390;35;8;27;0;t0222;2020-12-07
dolnoœl¹skie;wroc³awski;21;1.36;0;0;0;141;1079;144;33;110;1;t0223;2020-12-07
dolnoœl¹skie;z¹bkowicki;2;0.31;1;1;0;28;284;48;5;42;1;t0224;2020-12-07
dolnoœl¹skie;zgorzelecki;31;3.49;0;0;0;52;604;85;32;50;3;t0225;2020-12-07
dolnoœl¹skie;z³otoryjski;3;0.69;1;0;1;36;470;31;4;27;0;t0226;2020-12-07
dolnoœl¹skie;Jelenia Góra;7;0.89;1;1;0;47;476;85;10;74;1;t0261;2020-12-07
